model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.4316699934965147,distractor_nonsequitut,"[[4.482140064239502, 4.482140064239502], [5.693077564239502, 5.693077564239502], [5.107140064239502, 5.107140064239502], [4.950890064239502, 4.950890064239502], [3.419639825820923, 3.419639825820923]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.348270893096924, 4.348270893096924], [5.551395893096924, 5.551395893096924], [4.871708393096924, 4.871708393096924], [4.817020893096924, 4.817020893096924], [3.418583631515503, 3.418583631515503]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5464462412005258,distractor_nonsequitut,"[[4.469369888305664, 4.469369888305664], [5.852182388305664, 5.852182388305664], [5.375619888305664, 5.375619888305664], [5.258432388305664, 5.258432388305664], [3.570932626724243, 3.570932626724243]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.290379524230957, 4.290379524230957], [5.774754524230957, 5.774754524230957], [5.243504524230957, 5.243504524230957], [5.227879524230957, 5.227879524230957], [3.626317024230957, 3.626317024230957]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5412388827408825,distractor_nonsequitut,"[[4.369743824005127, 4.369743824005127], [5.736931324005127, 5.736931324005127], [5.283806324005127, 5.283806324005127], [5.119743824005127, 5.119743824005127], [3.557243824005127, 3.557243824005127]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.390961647033691, 4.390961647033691], [5.703461647033691, 5.703461647033691], [5.172211647033691, 5.172211647033691], [5.117524147033691, 5.117524147033691], [3.6175241470336914, 3.6175241470336914]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.4330369337442397,distractor_nonsequitut,"[[4.553606033325195, 4.553606033325195], [5.787981033325195, 5.787981033325195], [5.147356033325195, 5.147356033325195], [5.069231033325195, 5.069231033325195], [3.4676685333251953, 3.4676685333251953]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.458388328552246, 4.458388328552246], [5.638075828552246, 5.638075828552246], [4.919325828552246, 4.919325828552246], [4.911513328552246, 4.911513328552246], [3.520888328552246, 3.520888328552246]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6006675968870274,distractor_nonsequitut,"[[4.493814945220947, 4.493814945220947], [5.931314945220947, 5.931314945220947], [5.556314945220947, 5.556314945220947], [5.392252445220947, 5.392252445220947], [3.6735024452209473, 3.6735024452209473]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.004379749298096, 4.004379749298096], [5.637192249298096, 5.637192249298096], [5.223129749298096, 5.223129749298096], [5.066879749298096, 5.066879749298096], [3.4340672492980957, 3.4340672492980957]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6140017885335345,target,"[[4.155308246612549, 4.155308246612549], [5.483433246612549, 5.483433246612549], [4.999058246612549, 4.999058246612549], [4.983433246612549, 4.983433246612549], [3.725620746612549, 3.725620746612549]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.052439212799072, 4.052439212799072], [5.677439212799072, 5.677439212799072], [5.239939212799072, 5.239939212799072], [5.310251712799072, 5.310251712799072], [3.5446267127990723, 3.5446267127990723]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.541011300553824,target,"[[4.223909854888916, 4.223909854888916], [5.473909854888916, 5.473909854888916], [5.028597354888916, 5.028597354888916], [4.841097354888916, 4.841097354888916], [3.677034854888916, 3.677034854888916]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.156703948974609, 4.156703948974609], [5.625453948974609, 5.625453948974609], [5.164516448974609, 5.164516448974609], [5.039516448974609, 5.039516448974609], [3.3754539489746094, 3.3754539489746094]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5017734490752668,target,"[[4.286250591278076, 4.286250591278076], [5.419063091278076, 5.419063091278076], [4.895625591278076, 4.895625591278076], [4.770625591278076, 4.770625591278076], [3.6534383296966553, 3.6534383296966553]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.221934795379639, 4.221934795379639], [5.495372295379639, 5.495372295379639], [4.885997295379639, 4.885997295379639], [4.815684795379639, 4.815684795379639], [3.5813097953796387, 3.5813097953796387]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.426940080943964,target,"[[4.454590797424316, 4.454590797424316], [5.493653297424316, 5.493653297424316], [4.829590797424316, 4.829590797424316], [4.806153297424316, 4.806153297424316], [3.5795907974243164, 3.5795907974243164]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.4067888259887695, 4.4067888259887695], [5.5630388259887695, 5.5630388259887695], [4.8755388259887695, 4.8755388259887695], [5.0161638259887695, 5.0161638259887695], [3.4692890644073486, 3.4692890644073486]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.535231731135785,target,"[[4.525276184082031, 4.525276184082031], [5.540901184082031, 5.540901184082031], [5.033088684082031, 5.033088684082031], [5.001838684082031, 5.001838684082031], [3.7596511840820312, 3.7596511840820312]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.260510444641113, 4.260510444641113], [5.549572944641113, 5.549572944641113], [5.041760444641113, 5.041760444641113], [5.112072944641113, 5.112072944641113], [3.5026979446411133, 3.5026979446411133]]"
