model_name,item_id,phenomenon,metric,sentence_cond_probs,mean_sentence_cond_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,1,coherence,label_score,0,0,0,0,0,1
google/flan-t5-xl,1,coherence,label_score,1,1,0,1,1,1
google/flan-t5-xl,1,deceits,label_score,1,1,1,1,1,0
google/flan-t5-xl,1,deceits,label_score,0,0,0,0,0,0
google/flan-t5-xl,1,humour,label_score,0,0,0,0,0,0
google/flan-t5-xl,1,humour,label_score,0,0,0,0,0,0
google/flan-t5-xl,1,indirect_speech,label_score,0,0,0,0,0,0
google/flan-t5-xl,1,indirect_speech,label_score,0,0,0,0,0,0
google/flan-t5-xl,1,irony,label_score,1,1,0,1,1,0
google/flan-t5-xl,1,irony,label_score,0,0,0,0,0,0
google/flan-t5-xl,1,maxims,label_score,0,0,0,0,0,1
google/flan-t5-xl,1,maxims,label_score,1,1,0,1,1,1
google/flan-t5-xl,1,metaphor,label_score,1,1,1,1,1,0
google/flan-t5-xl,1,metaphor,label_score,0,0,0,0,0,1
google/flan-t5-xl,2,coherence,label_score,0,0,1,0,0,0
google/flan-t5-xl,2,coherence,label_score,1,1,1,1,1,0
google/flan-t5-xl,2,deceits,label_score,0,0,0,0,0,1
google/flan-t5-xl,2,deceits,label_score,1,1,1,1,1,0
google/flan-t5-xl,2,humour,label_score,0,0,0,0,0,1
google/flan-t5-xl,2,humour,label_score,0,0,0,0,0,1
google/flan-t5-xl,2,indirect_speech,label_score,0,0,0,0,0,1
google/flan-t5-xl,2,indirect_speech,label_score,1,1,1,1,1,0
google/flan-t5-xl,2,irony,label_score,0,0,0,0,0,0
google/flan-t5-xl,2,irony,label_score,0,0,0,0,0,0
google/flan-t5-xl,2,maxims,label_score,0,0,1,0,0,0
google/flan-t5-xl,2,maxims,label_score,0,0,1,0,0,0
google/flan-t5-xl,2,metaphor,label_score,0,0,0,0,0,0
google/flan-t5-xl,2,metaphor,label_score,0,0,0,0,0,1
google/flan-t5-xl,3,coherence,label_score,0,0,0,0,0,1
google/flan-t5-xl,3,coherence,label_score,1,1,1,1,1,0
google/flan-t5-xl,3,deceits,label_score,0,0,0,0,0,0
google/flan-t5-xl,3,deceits,label_score,0,0,1,0,0,0
google/flan-t5-xl,3,humour,label_score,0,0,0,0,0,0
google/flan-t5-xl,3,humour,label_score,1,1,0,1,1,0
google/flan-t5-xl,3,indirect_speech,label_score,0,0,0,0,0,0
google/flan-t5-xl,3,indirect_speech,label_score,0,0,0,0,0,0
google/flan-t5-xl,3,irony,label_score,0,0,0,0,0,1
google/flan-t5-xl,3,irony,label_score,0,0,0,0,0,0
google/flan-t5-xl,3,maxims,label_score,0,0,0,0,0,1
google/flan-t5-xl,3,maxims,label_score,0,0,0,0,0,1
google/flan-t5-xl,3,metaphor,label_score,0,0,1,0,0,0
google/flan-t5-xl,3,metaphor,label_score,1,1,1,1,1,0
google/flan-t5-xl,4,coherence,label_score,0,0,0,0,0,1
google/flan-t5-xl,4,coherence,label_score,1,1,0,1,1,1
google/flan-t5-xl,4,deceits,label_score,0,0,0,0,0,1
google/flan-t5-xl,4,deceits,label_score,1,1,0,1,1,0
google/flan-t5-xl,4,humour,label_score,0,0,1,0,0,0
google/flan-t5-xl,4,humour,label_score,1,1,0,1,1,0
google/flan-t5-xl,4,indirect_speech,label_score,1,1,1,1,1,0
google/flan-t5-xl,4,indirect_speech,label_score,0,0,0,0,0,0
google/flan-t5-xl,4,irony,label_score,1,1,1,1,1,0
google/flan-t5-xl,4,irony,label_score,0,0,1,0,0,0
google/flan-t5-xl,4,maxims,label_score,1,1,1,1,1,0
google/flan-t5-xl,4,maxims,label_score,1,1,1,1,1,0
google/flan-t5-xl,4,metaphor,label_score,0,0,0,0,0,0
google/flan-t5-xl,4,metaphor,label_score,0,0,0,0,0,0
google/flan-t5-xl,5,coherence,label_score,0,0,1,0,0,1
google/flan-t5-xl,5,coherence,label_score,0,0,0,0,0,1
google/flan-t5-xl,5,deceits,label_score,0,0,1,0,0,0
google/flan-t5-xl,5,deceits,label_score,0,0,0,0,0,1
google/flan-t5-xl,5,humour,label_score,0,0,0,0,0,0
google/flan-t5-xl,5,humour,label_score,0,0,0,0,0,0
google/flan-t5-xl,5,indirect_speech,label_score,0,0,1,0,0,0
google/flan-t5-xl,5,indirect_speech,label_score,0,0,0,0,0,0
google/flan-t5-xl,5,irony,label_score,0,0,1,0,0,0
google/flan-t5-xl,5,irony,label_score,1,1,1,1,1,0
google/flan-t5-xl,5,maxims,label_score,1,1,1,1,1,0
google/flan-t5-xl,5,maxims,label_score,0,0,1,0,0,0
google/flan-t5-xl,5,metaphor,label_score,0,0,0,0,0,0
google/flan-t5-xl,5,metaphor,label_score,0,0,0,0,0,0
google/flan-t5-xl,6,coherence,label_score,0,0,0,0,0,1
google/flan-t5-xl,6,coherence,label_score,0,0,0,0,0,1
google/flan-t5-xl,6,deceits,label_score,0,0,1,0,0,0
google/flan-t5-xl,6,deceits,label_score,0,0,1,0,0,0
google/flan-t5-xl,6,humour,label_score,0,0,0,0,0,0
google/flan-t5-xl,6,humour,label_score,0,0,0,0,0,0
google/flan-t5-xl,6,indirect_speech,label_score,0,0,0,0,0,1
