model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,possible,"very impossible, impossible, neutral, possible, very possible",4.033735816460334,incorrect_literal,"[[-9.046161], [-9.26108], [-4.576799], [-0.27389964], [-3.2668896]]","[[], [], [], [], []]","[[-7.119746], [-7.214076], [-2.7702796], [-0.52719957], [-3.095846]]"
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",4.118457177254507,incorrect_literal,"[[-7.558081], [-8.075606], [-3.407916], [-0.442962], [-2.0334103]]","[[], [], [], [], []]","[[-7.0551615], [-7.5375347], [-2.3110487], [-0.9140877], [-2.6259415]]"
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,possible,"very impossible, impossible, neutral, possible, very possible",3.5441379210467256,incorrect_literal,"[[-5.529256], [-5.0712676], [-1.0211172], [-0.95594114], [-3.5814538]]","[[], [], [], [], []]","[[-7.840778], [-8.653531], [-4.748075], [-0.8642592], [-1.4301707]]"
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,possible,"very impossible, impossible, neutral, possible, very possible",3.982626822064962,incorrect_literal,"[[-8.681024], [-8.487435], [-3.930188], [-0.19412225], [-5.149036]]","[[], [], [], [], []]","[[-8.282469], [-8.642169], [-4.6628084], [-0.616441], [-2.5237992]]"
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,possible,"very impossible, impossible, neutral, possible, very possible",4.094189098397835,incorrect_literal,"[[-9.625362], [-9.644695], [-5.185941], [-0.4667813], [-2.6264787]]","[[], [], [], [], []]","[[-7.5432515], [-7.9227057], [-4.018081], [-0.68291634], [-2.5415723]]"
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",4.7427107573135,incorrect_literal,"[[-10.940865], [-11.577359], [-6.769782], [-2.0914202], [-1.0087593]]","[[], [], [], [], []]","[[-8.834206], [-10.208574], [-6.1227403], [-2.56249], [-0.5956271]]"
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,possible,"very impossible, impossible, neutral, possible, very possible",3.1999646633584575,incorrect_literal,"[[-2.6276395], [-2.8199883], [-1.101279], [-1.5182381], [-2.6943128]]","[[], [], [], [], []]","[[-8.110574], [-8.33298], [-4.461749], [-0.9574949], [-3.3843782]]"
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,possible,"very impossible, impossible, neutral, possible, very possible",3.1485016009271947,incorrect_literal,"[[-4.7719336], [-3.436146], [-0.7887492], [-2.1661696], [-4.3033032]]","[[], [], [], [], []]","[[-6.3090653], [-7.1585307], [-2.8145397], [-0.90270644], [-2.0795252]]"
text-davinci-002,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,possible,"very impossible, impossible, neutral, possible, very possible",4.077906611251758,incorrect_lexical_overlap,"[[-8.528147], [-9.155215], [-4.452881], [-0.46120363], [-2.6914377]]","[[], [], [], [], []]","[[-6.537373], [-7.180332], [-3.1836302], [-0.8256801], [-2.0374663]]"
text-davinci-002,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",4.028308573368712,incorrect_lexical_overlap,"[[-6.0483227], [-6.8600984], [-2.7725713], [-0.99048394], [-2.4474628]]","[[], [], [], [], []]","[[-6.0664096], [-7.0854325], [-3.0624814], [-1.1551148], [-2.5340383]]"
