model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.883828622104364,distractor_nonsequitut,"[[-1.5044324398040771], [-1.7735246419906616], [-1.9454898834228516], [-1.867267370223999], [-1.718790054321289]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.1686508655548096], [-1.7681952714920044], [-1.9148657321929932], [-1.6101787090301514], [-1.9292932748794556]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.9835879322669117,distractor_nonsequitut,"[[-1.9845190048217773], [-2.317538022994995], [-2.1495201587677], [-2.187023401260376], [-2.073587656021118]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.276590585708618], [-1.7420440912246704], [-2.0199508666992188], [-1.6920709609985352], [-2.5808355808258057]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.974055685426804,distractor_nonsequitut,"[[-1.6207666397094727], [-1.8101873397827148], [-1.9156792163848877], [-1.8034319877624512], [-1.6817700862884521]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.0995631217956543], [-2.070927858352661], [-2.293220043182373], [-1.8742952346801758], [-2.34851336479187]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.910600358168506,distractor_nonsequitut,"[[-2.011077880859375], [-2.121250867843628], [-2.152796745300293], [-2.2018117904663086], [-2.189258575439453]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.058013439178467], [-1.8938030004501343], [-2.2616353034973145], [-1.735966444015503], [-2.6144964694976807]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.176923290600177,distractor_nonsequitut,"[[-2.119208812713623], [-2.5019237995147705], [-2.549938440322876], [-2.4150185585021973], [-1.8105531930923462]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.670043706893921], [-2.7841124534606934], [-3.268944025039673], [-2.497152328491211], [-2.9017374515533447]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.007323449984183,distractor_plausibleliteral,"[[-1.9578858613967896], [-1.7122905254364014], [-1.860123634338379], [-1.8205814361572266], [-1.8752365112304688]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.2812750339508057], [-1.8911230564117432], [-2.3179526329040527], [-1.8252344131469727], [-2.4740524291992188]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.9883288721746304,distractor_plausibleliteral,"[[-2.078117609024048], [-2.305386543273926], [-2.2476727962493896], [-2.1129229068756104], [-2.1955268383026123]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.525779962539673], [-2.410172700881958], [-2.670620918273926], [-2.528107166290283], [-3.1104531288146973]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0762306644571376,distractor_plausibleliteral,"[[-2.2946033477783203], [-2.2715470790863037], [-2.6694042682647705], [-2.2929959297180176], [-2.1139345169067383]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.859912633895874], [-1.9057132005691528], [-1.9643354415893555], [-1.5479395389556885], [-1.9813306331634521]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.968901378509825,distractor_plausibleliteral,"[[-1.5647687911987305], [-1.4827613830566406], [-1.7156143188476562], [-1.526167392730713], [-1.619882583618164]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.7681653499603271], [-2.108250856399536], [-2.355121374130249], [-1.793260097503662], [-2.3193085193634033]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0326872738426633,distractor_plausibleliteral,"[[-1.1634387969970703], [-1.1940927505493164], [-1.0650709867477417], [-1.104980707168579], [-1.1248466968536377]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-2.089442729949951], [-1.800828218460083], [-2.1349129676818848], [-1.7058119773864746], [-2.0102548599243164]]"
