model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
EleutherAI/pythia-12b,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-1.0195, -1.5850], dtype=torch.float16)","[tensor(0.3608, dtype=torch.float16), tensor(0.2050, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -1.9717], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.1393, dtype=torch.float16)]",0.074,0.282958984375,0.04742,1.56,-2.605,-1.302734375,0.8545
EleutherAI/pythia-12b,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-1.0195, -4.7734], dtype=torch.float16)","[tensor(0.3608, dtype=torch.float16), tensor(0.0085, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -5.2852], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.0051, dtype=torch.float16)]",0.00305,0.1846923828125,0.001725,1.768,-5.793,-2.896484375,0.91
EleutherAI/pythia-12b,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-1.2021, -1.2168], dtype=torch.float16)","[tensor(0.3005, dtype=torch.float16), tensor(0.2961, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -1.9717], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.1393, dtype=torch.float16)]",0.089,0.29833984375,0.04742,1.876,-2.418,-1.208984375,0.793
EleutherAI/pythia-12b,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-1.2021, -3.9980], dtype=torch.float16)","[tensor(0.3005, dtype=torch.float16), tensor(0.0184, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -5.2852], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.0051, dtype=torch.float16)]",0.005516,0.159423828125,0.001725,3.197,-5.2,-2.599609375,0.817
EleutherAI/pythia-12b,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. incoherent
B. coherent
Your answer:
",Is this story coherent or not?,A,target,incoherent,competitor,A,"tensor([-1.1514, -1.5986], dtype=torch.float16)","[tensor(0.3162, dtype=torch.float16), tensor(0.2021, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.1885, -1.9434], dtype=torch.float16)","[tensor(0.3047, dtype=torch.float16), tensor(0.1432, dtype=torch.float16)]",0.0639,0.25927734375,0.04364,1.464,-2.75,-1.375,0.878
EleutherAI/pythia-12b,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. incoherent
B. coherent
Your answer:
",Is this story coherent or not?,B,competitor,coherent,target,B,"tensor([-1.1514, -3.9590], dtype=torch.float16)","[tensor(0.3162, dtype=torch.float16), tensor(0.0191, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.1885, -4.5625], dtype=torch.float16)","[tensor(0.3047, dtype=torch.float16), tensor(0.0104, dtype=torch.float16)]",0.006035,0.1676025390625,0.00318,1.898,-5.11,-2.5546875,0.8887
EleutherAI/pythia-12b,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-1.2227, -1.4736], dtype=torch.float16)","[tensor(0.2944, dtype=torch.float16), tensor(0.2291, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -1.9717], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.1393, dtype=torch.float16)]",0.06744,0.26171875,0.04742,1.422,-2.695,-1.34765625,0.8843
EleutherAI/pythia-12b,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-1.2227, -4.3242], dtype=torch.float16)","[tensor(0.2944, dtype=torch.float16), tensor(0.0132, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -5.2852], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.0051, dtype=torch.float16)]",0.0039,0.15380859375,0.001725,2.262,-5.547,-2.7734375,0.8716
EleutherAI/pythia-12b,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-1.1934, -1.1729], dtype=torch.float16)","[tensor(0.3032, dtype=torch.float16), tensor(0.3096, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -1.9717], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.1393, dtype=torch.float16)]",0.0939,0.306396484375,0.04742,1.9795,-2.367,-1.18359375,0.7764
EleutherAI/pythia-12b,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-1.1934, -3.9551], dtype=torch.float16)","[tensor(0.3032, dtype=torch.float16), tensor(0.0191, dtype=torch.float16)]","tensor([], dtype=torch.float16)","tensor([-1.0771, -5.2852], dtype=torch.float16)","[tensor(0.3406, dtype=torch.float16), tensor(0.0051, dtype=torch.float16)]",0.005806,0.1611328125,0.001725,3.365,-5.15,-2.57421875,0.809
