model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8190576828965284,incorrect_social_convention,"[[-10.271675109863281, -4.545848846435547], [-10.271675109863281, -5.310627460479736], [-10.271675109863281, -5.681503772735596], [-10.271675109863281, -7.2153167724609375], [-10.271675109863281, -7.2907395362854]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.349223136901855, -5.049657821655273], [-10.349223136901855, -5.714652061462402], [-10.349223136901855, -6.396346569061279], [-10.349223136901855, -7.6604461669921875], [-10.349223136901855, -7.534449577331543]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8425414211848656,incorrect_social_convention,"[[-10.321094512939453, -4.705758571624756], [-10.321094512939453, -5.285770893096924], [-10.321094512939453, -6.083491325378418], [-10.321094512939453, -7.181488037109375], [-10.321094512939453, -7.124630451202393]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.811600685119629, -5.340945243835449], [-10.811600685119629, -6.0179314613342285], [-10.811600685119629, -6.913509368896484], [-10.811600685119629, -8.114233016967773], [-10.811600685119629, -7.88795280456543]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,likely,"very unlikely, unlikely, neutral, likely, very likely",1.7878794506709157,incorrect_social_convention,"[[-10.352153778076172, -4.879771709442139], [-10.352153778076172, -5.467810153961182], [-10.352153778076172, -6.4346923828125], [-10.352153778076172, -7.507394790649414], [-10.352153778076172, -7.416213512420654]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.04223346710205, -5.11540412902832], [-11.04223346710205, -5.800826072692871], [-11.04223346710205, -6.7668843269348145], [-11.04223346710205, -7.957583427429199], [-11.04223346710205, -7.7292094230651855]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,likely,"very unlikely, unlikely, neutral, likely, very likely",1.9035844926199106,incorrect_social_convention,"[[-10.308045387268066, -4.556652069091797], [-10.308045387268066, -5.13264799118042], [-10.308045387268066, -5.488887786865234], [-10.308045387268066, -6.978638172149658], [-10.308045387268066, -7.149168014526367]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.39062786102295, -4.821274280548096], [-10.39062786102295, -5.268128871917725], [-10.39062786102295, -5.864264488220215], [-10.39062786102295, -7.200624465942383], [-10.39062786102295, -7.190654754638672]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",1.833841757188738,incorrect_social_convention,"[[-9.338967323303223, -4.768342018127441], [-9.338967323303223, -5.499740123748779], [-9.338967323303223, -6.397531032562256], [-9.338967323303223, -7.250910758972168], [-9.338967323303223, -6.987176895141602]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.783167839050293, -5.030915260314941], [-10.783167839050293, -5.755112171173096], [-10.783167839050293, -6.707018852233887], [-10.783167839050293, -7.854858875274658], [-10.783167839050293, -7.650590419769287]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",1.947514581862172,incorrect_social_convention,"[[-9.215963363647461, -4.8892059326171875], [-9.215963363647461, -5.463113307952881], [-9.215963363647461, -6.249536514282227], [-9.215963363647461, -7.137457370758057], [-9.215963363647461, -6.8463521003723145]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.663268089294434, -5.1570024490356445], [-10.663268089294434, -5.967345237731934], [-10.663268089294434, -6.72335147857666], [-10.663268089294434, -7.926036834716797], [-10.663268089294434, -7.601835250854492]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,likely,"very unlikely, unlikely, neutral, likely, very likely",1.868659153782941,incorrect_social_convention,"[[-9.276525497436523, -4.721282958984375], [-9.276525497436523, -5.3500447273254395], [-9.276525497436523, -6.241026878356934], [-9.276525497436523, -7.150661945343018], [-9.276525497436523, -6.875085353851318]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.928605079650879, -5.030581474304199], [-10.928605079650879, -5.692503452301025], [-10.928605079650879, -6.66801118850708], [-10.928605079650879, -7.840178966522217], [-10.928605079650879, -7.621391773223877]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,likely,"very unlikely, unlikely, neutral, likely, very likely",2.0330267377352667,incorrect_social_convention,"[[-9.594793319702148, -4.56574821472168], [-9.594793319702148, -5.081055164337158], [-9.594793319702148, -5.5164384841918945], [-9.594793319702148, -6.635986328125], [-9.594793319702148, -6.495172023773193]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.351264953613281, -4.939128875732422], [-10.351264953613281, -5.6680402755737305], [-10.351264953613281, -6.257710933685303], [-10.351264953613281, -7.578134536743164], [-10.351264953613281, -7.474401473999023]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",1.813484939216402,incorrect_literal,"[[-10.414844512939453, -4.800686359405518], [-10.414844512939453, -5.393506050109863], [-10.414844512939453, -6.243088722229004], [-10.414844512939453, -7.3072710037231445], [-10.414844512939453, -7.339371204376221]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.946208953857422, -5.138053894042969], [-10.946208953857422, -5.7289886474609375], [-10.946208953857422, -6.605567932128906], [-10.946208953857422, -7.82402229309082], [-10.946208953857422, -7.67086935043335]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8282522149339042,incorrect_literal,"[[-10.316591262817383, -4.878594398498535], [-10.316591262817383, -5.370845317840576], [-10.316591262817383, -6.261556148529053], [-10.316591262817383, -7.327672958374023], [-10.316591262817383, -7.452620506286621]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.91979694366455, -5.225470542907715], [-10.91979694366455, -5.891119480133057], [-10.91979694366455, -6.846879482269287], [-10.91979694366455, -8.062932014465332], [-10.91979694366455, -7.871556282043457]]"
