model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,"[-6.5454154, -6.575884e-05]","[0.0014366871587575053, 0.9999342433220652]",[],"[-9.446908, -0.00018021514]","[7.893324994998263e-05, 0.9998198010977729]",0.0014365926869827138,0.5006854652404114,7.891902626499243e-05,18.203375725379036,-6.54548115884,-3.27274057942,0.692856995698436
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-11.4460125, -0.05327496, -7.3446927e-06]","[1.0692024160607131e-05, 0.9481192817609683, 0.9999926553342722]",[],"[-12.378945, -0.13284406, -2.2245786e-05]","[4.206224945770994e-06, 0.8756016227802543, 0.9999777544614357]",1.0137239812541078e-05,0.649374209706467,3.682895458480346e-06,2.752519023910593,-11.499294804692699,-3.8330982682308994,0.9190751461680796
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,"[-6.945222, -3.4167595e-05]","[0.0009632264723840137, 0.9999658329887057]",[],"[-9.427352, -0.0001831916]","[8.04920609614564e-05, 0.9998168251785565]",0.0009631935618142528,0.5004645297305449,8.047731684256216e-05,11.968509880846911,-6.945256167595001,-3.4726280837975003,0.7366990444950311
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-11.841491, -0.056745168, -3.7684315e-06]","[7.199557443585989e-06, 0.9448348128356752, 0.9999962315756006]",[],"[-12.373164, -0.13325481, -2.2126573e-05]","[4.230611553756294e-06, 0.8752420432673954, 0.9999778736717908]",6.802366875408351e-06,0.6482794146562397,3.702727171010854e-06,1.8371234393570746,-11.8982399364315,-3.9660799788105,0.9513689783347621
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,"[-6.9786687, -2.0098154e-05]","[0.0009315425406412947, 0.9999799020479665]",[],"[-9.450155, -0.0001815255]","[7.867736933438704e-05, 0.9998184909747567]",0.0009315238185439957,0.5004557222943039,7.866308868177045e-05,11.841943078442442,-6.978688798154,-3.489344399077,0.7384592897113544
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,"[-13.569154, -0.0063811284, -4.361666e-06]","[1.279355656675397e-06, 0.9936391877635099, 0.999995638343512]",[],"[-12.378946, -0.13284406, -2.2245786e-05]","[4.206220739548154e-06, 0.8756016227802543, 0.9999777544614357]",1.2712123709437243e-06,0.6645453684875595,3.6828917755867324e-06,0.3451669091582806,-13.575539490066,-4.525179830021999,1.0850178342100039
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,"[-8.101521, -1.771398e-05]","[0.0003030778059818472, 0.9999822861768917]",[],"[-9.43768, -0.00018236089]","[7.966501716157967e-05, 0.9998176557367364]",0.00030307243731520395,0.5001426819914367,7.965049070271746e-05,3.8050291296556185,-8.10153871398,-4.05076935699,0.8584082289176357
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-12.562268, -0.004845396, -3.4089344e-06]","[3.50167896571613e-06, 0.9951663239942198, 0.9999965910714104]",[],"[-12.373325, -0.13040943, -2.2245786e-05]","[4.2299304801240365e-06, 0.8777359858970888, 0.9999777544614357]",3.4847411048455272e-06,0.6650554722481986,3.7126796078531115e-06,0.9386053936554488,-12.5671168049344,-4.189038934978133,1.00506728743939
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,"[-4.613133, -6.551948e-05]","[0.0099206880520993, 0.9999344826663542]",[],"[-9.446908, -0.00018021514]","[7.893324994998263e-05, 0.9998198010977729]",0.009920038075070194,0.5049275853592268,7.891902626499243e-05,125.6989416184752,-4.61319851948,-2.30659925974,0.488319619169729
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-14.484159, -0.0106012095, -5.912312e-06]","[5.124006491721827e-07, 0.9894547852759656, 0.9999940877054777]",[],"[-12.378946, -0.13284406, -2.2245786e-05]","[4.206220739548154e-06, 0.8756016227802543, 0.9999777544614357]",5.069942767847198e-07,0.6631497951273642,3.6828917755867324e-06,0.13766200792146518,-14.494766121812,-4.831588707270667,1.1584865379661264
