model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
text-davinci-002,0.1,1,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-2.7143521],[0.06624786109470052],[],[-3.0867054],[0.04565211236298512],0.06624786109470052,0.06624786109470052,0.04565211236298512,1.4511455804707625,-2.7143521,-2.7143521,0.8793686951790087
text-davinci-002,0.1,1,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-6.947051],[0.0009614663412965748],[],[-3.8064804],[0.02222626902999263],0.0009614663412965748,0.0009614663412965748,0.02222626902999263,0.04325810778224408,-6.947051,-6.947051,1.8250589179442511
text-davinci-002,0.1,1,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-4.0050597],[0.01822320130108441],[],[-3.083751],[0.04578718639686395],0.01822320130108441,0.01822320130108441,0.04578718639686395,0.39799784033754365,-4.0050597,-4.0050597,1.2987623514349895
text-davinci-002,0.1,1,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-5.301424],[0.004984490935702546],[],[-3.8058772],[0.022239679959801324],0.004984490935702546,0.004984490935702546,0.022239679959801324,0.22412601911143126,-5.301424,-5.301424,1.3929571873732554
text-davinci-002,0.1,1,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-2.8229773],[0.05942874185665779],[],[-2.9279191],[0.05350826773055884],0.05942874185665779,0.05942874185665779,0.05350826773055884,1.1106459688792678,-2.8229773,-2.8229773,0.9641582310112324
text-davinci-002,0.1,1,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-4.8915753],[0.007509583305738382],[],[-4.017998],[0.01798894277711057],0.007509583305738382,0.007509583305738382,0.01798894277711057,0.41745551135410247,-4.8915753,-4.8915753,1.2174160614315885
text-davinci-002,0.1,1,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-3.4418995],[0.03200383626777111],[],[-3.083751],[0.04578718639686395],0.03200383626777111,0.03200383626777111,0.04578718639686395,0.6989692703625727,-3.4418995,-3.4418995,1.11614053793578
text-davinci-002,0.1,1,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-9.239558],[9.712050800235624e-05],[],[-3.8179162],[0.02197354168654517],9.712050800235624e-05,9.712050800235624e-05,0.02197354168654517,0.0044198841219039815,-9.239558,-9.239558,2.4200525930872976
text-davinci-002,0.1,1,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-2.7235322],[0.06564248207650938],[],[-2.9160433],[0.05414750945700372],0.06564248207650938,0.06564248207650938,0.05414750945700372,1.2122899600513175,-2.7235322,-2.7235322,0.9339820845595812
text-davinci-002,0.1,1,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-8.707134],[0.00016540161685487528],[],[-4.0403686],[0.01759098718259287],0.00016540161685487528,0.00016540161685487528,0.01759098718259287,0.009402634152252022,-8.707134,-8.707134,2.1550345678857123
