model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,A,"[-15.673385620117188, -10.976508140563965, -8.982330322265625, -11.282917976379395, -9.2327880859375, -10.794852256774902, -13.715567588806152, -14.179856300354004, -11.239375114440918, -12.851957321166992, -11.730565071105957, -11.95328140258789, -8.315193176269531, -12.77421760559082, -13.83571720123291, -9.964211463928223, -14.51986312866211, -1.5231688022613525, -3.500643253326416]","[1.5600377674014756e-07, 1.7098699660991474e-05, 0.0001256097948789731, 1.2586094351052664e-05, 9.778023612688724e-05, 2.0504785566912622e-05, 1.10510789104503e-06, 6.946509829287342e-07, 1.3146235495372488e-05, 2.6209929559566745e-06, 8.044152957695236e-06, 6.438072250858917e-06, 0.00024476960532972486, 2.832877423062413e-06, 9.799961427754967e-07, 4.705415131074762e-05, 4.944285782043545e-07, 0.21801992914799662, 0.03017796510110246]","[-2.1062793731689453, -18.958486557006836, -6.302586078643799, -6.883711338043213, -7.721101760864258, -7.926472187042236, -9.00261116027832, -11.708967208862305, -11.3008451461792, -7.42185115814209, -10.151999473571777, -7.609244346618652, -6.374024868011475, -6.815406799316406, -12.320549964904785, -11.16242790222168, -9.656033515930176, -11.910639762878418, -2.0953238010406494]","[-16.08824920654297, -10.26519775390625, -6.161027431488037, -10.628517150878906, -8.386512756347656, -10.440299987792969, -12.498578071594238, -13.60981559753418, -9.048340797424316, -7.02287483215332, -11.015511512756348, -10.599939346313477, -7.070498943328857, -10.991072654724121, -10.604046821594238, -8.844761848449707, -10.81595230102539, -2.7388415336608887, -2.2527475357055664]","[1.030296314053187e-07, 3.482420893794155e-05, 0.002110084190692517, 2.4215511698145083e-05, 0.0002279207091575371, 2.9230438191621913e-05, 3.731955975292262e-06, 1.2283784428078468e-06, 0.00011758597410535609, 0.0008912595846275187, 1.6444631069886157e-05, 2.491752102517917e-05, 0.0008498089968417333, 1.6851470166676505e-05, 2.4815382832162657e-05, 0.00014413476205020782, 2.0076666236049547e-05, 0.06464519281141688, 0.10511003389181131]",1.2047336891856436e-90,0.013094726849198894,1.6800963959556776e-78,7.170622424318477e-13,-207.04639983177185,-10.897178938514307,1.156149088140473
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,B,"[-9.8920259475708, -16.032926559448242, -9.529783248901367, -8.472793579101562, -11.755248069763184, -20.39579200744629, -14.643901824951172, -9.329660415649414, -14.930291175842285, -8.69964599609375, -11.988425254821777, -11.096052169799805, -12.0376615524292, -8.021461486816406, -9.332186698913574, -7.80931282043457, -7.436260223388672, -12.811116218566895, -1.957097053527832, -3.416208505630493]","[5.0576377041450014e-05, 1.0889011750763971e-07, 7.265537041722219e-05, 0.0002090800052307615, 7.848029555137299e-06, 1.3874587403340419e-09, 4.3675133775903255e-07, 8.875237089555883e-05, 3.27987225540921e-07, 0.0001666447934548448, 6.215743222823326e-06, 1.5172102628880466e-05, 5.9171150384886205e-06, 0.0003283398076852426, 8.852844024153842e-05, 0.0004059369035421744, 0.0005894856249808961, 2.7302531651852433e-06, 0.14126791946573708, 0.032836699376999574]","[-2.351269245147705, -7.328865051269531, -13.721750259399414, -7.797514915466309, -6.6732964515686035, -15.052932739257812, -23.107778549194336, -13.422248840332031, -7.55161714553833, -13.87488842010498, -6.750772476196289, -11.116278648376465, -6.545099258422852, -7.728819847106934, -6.684690952301025, -6.818691730499268, -3.365664482116699, -4.42410135269165, -9.49855899810791, -4.1220903396606445]","[-7.19455623626709, -16.25523567199707, -9.349101066589355, -7.816273212432861, -10.761246681213379, -20.206241607666016, -13.146782875061035, -8.350348472595215, -15.358025550842285, -7.931479454040527, -9.560714721679688, -10.736927032470703, -11.233095169067383, -7.030147552490234, -8.826936721801758, -8.637613296508789, -9.24697494506836, -13.609864234924316, -1.8111823797225952, -1.5268833637237549]","[0.0007506611275971246, 8.718481405027647e-08, 8.704363036329214e-05, 0.0004031212340163331, 2.1205569867102374e-05, 1.6770297610428213e-09, 1.9517524921618423e-06, 0.00023631415507188388, 2.138426119161885e-07, 0.00035925451902145926, 7.044243393117874e-05, 2.172760399162919e-05, 1.3229052908388642e-05, 0.0008848012163406777, 0.00014672701744126046, 0.00017730958303591616, 9.640283528903013e-05, 1.2283186991391882e-06, 0.16346074982078268, 0.2172115829763774]",9.487524702001804e-92,0.00880716883979882,5.670474749582331e-87,1.6731446873474967e-05,-209.5878508090973,-10.479392540454866,1.0553816458054834
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,C,"[-14.498237609863281, -8.82368278503418, -11.563477516174316, -9.440631866455078, -11.017300605773926, -13.725893020629883, -13.74777889251709, -11.085124015808105, -13.159750938415527, -11.365111351013184, -12.085033416748047, -7.880990505218506, -9.523447036743164, -10.645668983459473, -9.396207809448242, -8.404309272766113, -1.938592791557312, -4.587046146392822]","[5.052373036309221e-07, 0.00014720523550182293, 9.507044420734778e-06, 7.94302034097003e-05, 1.6415236398004153e-05, 1.0937558829084662e-06, 1.0700781310139156e-06, 1.5338814972744185e-05, 1.926605448832006e-06, 1.1592973791303568e-05, 5.643345939082823e-06, 0.00037785860044716325, 7.311719181270561e-05, 2.3803712942682005e-05, 8.30383665444014e-05, 0.00022390039442112125, 0.1439063135396809, 0.010182892767462638]","[-2.171907901763916, -14.045400619506836, -4.260244369506836, -9.862512588500977, -7.037083148956299, -9.246703147888184, -12.53754997253418, -10.912694931030273, -6.931589603424072, -11.090035438537598, -10.146190643310547, -8.40293025970459, -6.945350646972656, -8.627602577209473, -10.662393569946289, -8.159807205200195, -5.5971150398254395, -2.523984432220459]","[-15.571383476257324, -6.671009540557861, -10.891451835632324, -9.088228225708008, -12.451337814331055, -14.090221405029297, -15.29330825805664, -9.87213134765625, -8.892775535583496, -12.166728973388672, -10.915432929992676, -7.172894477844238, -6.391435623168945, -10.579425811767578, -7.855157852172852, -6.734993934631348, -2.148935317993164, -2.255054235458374]","[1.7275637425423392e-07, 0.0012671188971654364, 1.8616694321463496e-05, 0.00011298808065913917, 3.912485084666614e-06, 7.59791787490479e-07, 2.2813956728499524e-07, 5.159264947513649e-05, 0.00013737783128080512, 5.200639426049531e-06, 1.8175556246244667e-05, 0.0007670991632130922, 0.001675848586530454, 2.5433946196926022e-05, 0.00038774686068586715, 0.001188582409326043, 0.11660824240397522, 0.10486785602581022]",3.7378959597203725e-80,0.008620036283583965,3.855074322471854e-74,9.696041235655485e-07,-182.88828456401825,-10.160460253556568,1.0819109192961436
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,D,"[-13.512502670288086, -8.209877014160156, -15.341325759887695, -14.062639236450195, -8.93613052368164, -13.70980167388916, -10.308950424194336, -12.774120330810547, -8.265185356140137, -13.003548622131348, -8.250804901123047, -13.365718841552734, -8.358454704284668, -9.304187774658203, -11.88214111328125, -14.6033353805542, -1.7167044878005981, -10.664873123168945, -4.380492687225342]","[1.3539251437232877e-06, 0.00027195416574436873, 2.1744372405194522e-07, 7.810401839964875e-07, 0.00013154908267825577, 1.1114982545606796e-06, 3.333340788174858e-05, 2.833153003994603e-06, 0.00025732122363190317, 2.252322567050318e-06, 0.0002610483546030325, 1.5679855658162885e-06, 0.00023440628106110307, 9.104216795478226e-05, 6.912763218042826e-06, 4.548330626675227e-07, 0.17965723602051817, 2.335094454249143e-05, 0.012519189056846496]","[-1.6922860145568848, -6.168750286102295, -4.179884910583496, -10.594959259033203, -10.141636848449707, -4.539393424987793, -13.071110725402832, -10.06281852722168, -10.066707611083984, -4.917693138122559, -9.120758056640625, -6.443575859069824, -11.162652969360352, -6.671008110046387, -7.881431579589844, -6.385473728179932, -9.83072280883789, -2.275580644607544, -12.168044090270996]","[-11.190583229064941, -6.5848517417907715, -14.782633781433105, -13.802875518798828, -6.876944065093994, -12.147699356079102, -9.610288619995117, -13.077108383178711, -6.7791337966918945, -11.908361434936523, -6.33220100402832, -12.609399795532227, -7.0027642250061035, -8.536426544189453, -11.935650825500488, -13.520905494689941, -2.631960868835449, -10.668859481811523, -2.2099530696868896]","[1.380357102891746e-05, 0.0013811321165965935, 3.801751454119405e-07, 1.0127151985225703e-06, 0.001031290792128823, 5.300553249907588e-06, 6.703547373236333e-05, 2.092589249966321e-06, 0.0011372595697968862, 6.733863989986786e-06, 0.0017781158188908772, 3.3404674838937793e-06, 0.0009093647992325542, 0.00019619008560597205, 6.552585682677591e-06, 1.3425960134933102e-06, 0.07193726430900729, 2.325804459218516e-05, 0.10970579692210186]",7.218834824215693e-88,0.010184100824746644,7.375813514403489e-80,9.787171015263269e-09,-200.6507946252823,-10.560568138172751,1.1012147245728399
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,Alex thinks that Richard's painting is mediocre.,target,A,"[-11.978718757629395, -9.820290565490723, -9.025504112243652, -14.685580253601074, -7.736813545227051, -9.357382774353027, -15.738312721252441, -9.989328384399414, -10.67247486114502, -20.29290199279785, -9.241575241088867, -1.9620516300201416, -4.304386615753174]","[6.2763700781634586e-06, 5.433779321456127e-05, 0.00012030214409472739, 4.189223511701269e-07, 0.00043646012207192994, 8.632573724758351e-05, 1.4619672053368823e-07, 4.5887014730410206e-05, 2.3174109757987274e-05, 1.537816947468442e-09, 9.692478999461479e-05, 0.1405697278030909, 0.013509169312619345]","[-7.373210906982422, -12.225785255432129, -8.074491500854492, -7.84494686126709, -14.030640602111816, -7.268558025360107, -9.218814849853516, -17.53711700439453, -9.349044799804688, -11.077780723571777, -19.181739807128906, -8.22359848022461, -2.208378791809082]","[-12.22280502319336, -9.557095527648926, -7.830132484436035, -16.338167190551758, -6.368200302124023, -10.609728813171387, -14.423666000366211, -6.976257801055908, -10.788290023803711, -18.8558349609375, -9.151925086975098, -0.7475740909576416, -1.8563599586486816]","[4.917034155277877e-06, 7.069784067206236e-05, 0.00039757280459144865, 8.024613881475077e-08, 0.001715243369318148, 2.467478186096895e-05, 5.443540359635884e-07, 0.0009337911050104992, 2.0639785211931825e-05, 6.471648555690066e-09, 0.00010601551708461708, 0.47351386210403296, 0.1562403177557717]",2.8496581270003725e-59,0.01191916552721453,2.4996303246549635e-55,0.00011400318274638172,-134.80532145500183,-10.369640111923218,1.0722148282783799
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal, Alex is proud of the painting job that he did.,incorrect_literal,B,"[-10.24650764465332, -17.40782356262207, -9.006877899169922, -9.655158996582031, -16.36860466003418, -13.827590942382812, -9.112119674682617, -10.729470252990723, -12.929640769958496, -14.598413467407227, -2.515803098678589, -5.356917858123779]","[3.548119767846675e-05, 2.7534569124949747e-08, 0.00012256391619798826, 6.409405163292122e-05, 7.784044672772597e-08, 9.879922904840214e-07, 0.0001103206232873228, 2.1890227513557214e-05, 2.425092791044853e-06, 4.5707722976566264e-07, 0.08079799737875888, 0.004715417318471463]","[-8.242034912109375, -6.529900550842285, -17.11284637451172, -6.417804718017578, -5.033851146697998, -17.119474411010742, -12.45531177520752, -7.634871482849121, -12.203046798706055, -10.385110855102539, -12.623781204223633, -1.7669267654418945]","[-6.272141456604004, -16.191499710083008, -7.953979015350342, -7.089236736297607, -13.235880851745605, -10.75084114074707, -8.861531257629395, -11.205753326416016, -11.73388385772705, -13.374396324157715, -0.8429214358329773, -3.395237922668457]","[0.0018881807934440769, 9.292252922029546e-08, 0.00035126170453555735, 0.0008340337103840759, 1.7853771942593837e-06, 2.142737729419345e-05, 0.00014173786072762967, 1.359574983201842e-05, 8.017500382050324e-06, 1.5544382616001617e-06, 0.430451149322489, 0.03353257506324155]",6.019514248028528e-58,0.007155978354238979,6.816638906722707e-49,8.830619210432228e-10,-131.75492882728577,-10.979577402273813,1.1879734266498096
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,C,"[-13.58604907989502, -13.272652626037598, -9.525870323181152, -9.794302940368652, -13.781155586242676, -10.548225402832031, -14.536334037780762, -8.87503433227539, -14.154324531555176, -4.28516149520874, -3.841550827026367]","[1.257922408690034e-06, 1.7209181076424606e-06, 7.294022242376387e-05, 5.5768412094224446e-05, 1.0349519201961975e-06, 2.6240005013319224e-05, 4.863515902942448e-07, 0.00013983682759521215, 7.126150019695273e-07, 0.013771397327015024, 0.021460294320622308]","[-7.698635101318359, -10.416303634643555, -10.829116821289062, -5.2791571617126465, -7.634964466094971, -12.564908027648926, -10.143977165222168, -13.234489440917969, -5.739914417266846, -12.222654342651367, -3.6252856254577637]","[-10.389814376831055, -17.00327491760254, -10.233304977416992, -6.870882034301758, -13.563979148864746, -13.592594146728516, -12.867402076721191, -7.081854820251465, -13.031744003295898, -1.8958097696304321, -1.7846410274505615]","[3.0744040824083184e-05, 4.1264019402538857e-08, 3.5952750150056056e-05, 0.001037561496063541, 1.2859932913208518e-06, 1.2497161071448792e-06, 2.5808233637120676e-06, 0.000840213257601514, 2.1897043936917986e-06, 0.15019666109436697, 0.16785730635152815]",3.425264038558674e-51,0.00323015362489024,9.10463081284141e-48,0.0003762111950467659,-116.20066118240356,-10.563696471127598,1.072800054920535
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,D,"[-9.912878036499023, -16.632373809814453, -8.8519868850708, -14.764704704284668, -9.575977325439453, -13.989412307739258, -10.855964660644531, -8.941734313964844, -14.641536712646484, -14.898520469665527, -13.724294662475586, -11.484139442443848, -10.190630912780762, -13.102145195007324, -9.872343063354492, -2.7456462383270264, -9.949049949645996, -4.555305004119873]","[4.9532673447217445e-05, 5.979320508336073e-08, 0.00014309713607263478, 3.87052805739885e-07, 6.937546207082798e-05, 8.403794610735775e-07, 1.9289210484214e-05, 0.0001308139708369684, 4.377855262259062e-07, 3.385749098508459e-07, 1.095505494423154e-06, 1.0292043443662448e-05, 3.752020715019857e-05, 2.0408479085698467e-06, 5.1581727657529615e-05, 0.06420679464291239, 4.777299913852014e-05, 0.010511293755242995]","[-7.474196434020996, -7.735444068908691, -15.118302345275879, -5.994524002075195, -9.704137802124023, -4.985063076019287, -13.806849479675293, -11.334095001220703, -8.41757869720459, -10.672012329101562, -13.021114349365234, -10.743409156799316, -8.893213272094727, -9.619330406188965, -13.387495040893555, -8.174430847167969, -3.079483985900879, -10.228752136230469]","[-6.273322582244873, -15.74493408203125, -8.026102066040039, -15.090218544006348, -6.377399444580078, -11.247038841247559, -10.42225456237793, -7.62953519821167, -9.62618350982666, -12.74599552154541, -9.956716537475586, -9.518571853637695, -9.197141647338867, -11.307828903198242, -7.927799701690674, -2.3736085891723633, -10.335386276245117, -2.323025703430176]","[0.001885951931236611, 1.4523189704955787e-07, 0.00032681965072784775, 2.7951257787940456e-07, 0.001699536954751294, 1.3045871410684047e-05, 2.9762701902739555e-05, 0.0004858866468452532, 6.597837574659978e-05, 2.9139659898724818e-06, 4.740814363021933e-05, 7.347452182784287e-05, 0.00010132862122880814, 1.227643602681622e-05, 0.00036057892192494076, 0.09314400065899929, 3.246375647662268e-05, 0.09797668826745304]",5.135922088345946e-87,0.004182364653764896,7.139539112976765e-73,7.193632539964573e-15,-198.68864369392395,-11.038257982995775,1.1960328652199361
google/flan-t5-xl,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,She does not want to discuss the topic that Leslie has raised.,target,A,"[-13.54407787322998, -11.941305160522461, -12.627943992614746, -8.51366901397705, -13.692078590393066, -8.76815128326416, -9.283184051513672, -8.332294464111328, -11.626771926879883, -17.396198272705078, -6.455957889556885, -15.542088508605957, -2.3269996643066406, -3.9233906269073486]","[1.3118425618535972e-06, 6.515639718830985e-06, 3.2790920345815116e-06, 0.00020070607893077504, 1.1313730318685613e-06, 0.00015561099554441027, 9.29746157015988e-05, 0.00024061931862469444, 8.923949619826085e-06, 2.785653431706337e-08, 0.0015711335880478534, 1.778921251939511e-07, 0.09758810535949612, 0.019773934915960488]","[-1.2778501510620117, -13.435729026794434, -8.792036056518555, -9.74416446685791, -5.4661407470703125, -11.73973274230957, -6.5605010986328125, -8.899298667907715, -7.3116068840026855, -12.606254577636719, -17.008255004882812, -9.025972366333008, -14.435118675231934, -2.0743067264556885]","[-8.247138023376465, -10.907447814941406, -11.319659233093262, -5.984984397888184, -12.2092924118042, -7.335926532745361, -7.707737922668457, -8.281024932861328, -10.448055267333984, -15.352947235107422, -7.227077484130859, -14.322427749633789, -2.4318010807037354, -2.6526196002960205]","[0.0002620073441795299, 1.8321271154890763e-05, 1.2132057445698033e-05, 0.0025162529770327183, 4.983927058073581e-06, 0.0006516997991986037, 0.00044933676287934704, 0.00025327747455017405, 2.900462472739186e-05, 2.1493133431533144e-07, 0.0007266413839885328, 6.023496479866185e-07, 0.08787841384727835, 0.07046637732535536]",2.9705571863082593e-63,0.008546032322709457,9.152622297215702e-55,3.2455804356877323e-09,-143.97411131858826,-10.283865094184875,1.1570864249938728
google/flan-t5-xl,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,B,"[-14.742401123046875, -10.170344352722168, -9.894698143005371, -9.036199569702148, -9.897445678710938, -9.537524223327637, -9.32279109954834, -12.10372543334961, -9.17702579498291, -22.193693161010742, -11.067645072937012, -9.241496086120605, -13.5374174118042, -2.992706775665283, -5.043003559112549]","[3.957824588220668e-07, 3.828913617788271e-05, 5.044140749044569e-05, 0.00011902231401474037, 5.0303008137972104e-05, 7.209511829919842e-05, 8.936413779040649e-05, 5.538840177583127e-06, 0.0001033875721607099, 2.2982725348378065e-10, 1.5609278061998542e-05, 9.693246237694017e-05, 1.320609201156381e-06, 0.05015150396633285, 0.0064543332043527565]","[-1.2402350902557373, -9.647743225097656, -7.7002129554748535, -8.41859245300293, -6.045877456665039, -9.505414962768555, -7.079481601715088, -9.602069854736328, -13.383715629577637, -10.265559196472168, -19.534629821777344, -8.886185646057129, -7.014707088470459, -12.691427230834961, -3.4822325706481934]","[-13.101749420166016, -9.253029823303223, -7.701834678649902, -6.084290504455566, -7.968764305114746, -7.341455459594727, -7.779092788696289, -10.172897338867188, -7.576028823852539, -20.65281867980957, -8.6683931350708, -6.95016622543335, -11.464563369750977, -2.657304525375366, -2.5909621715545654]","[2.041655784684971e-06, 9.582089143735275e-05, 0.0004519971521748989, 0.0022783802515775175, 0.00034610640367350906, 0.0006481065412647523, 0.00041839157205171096, 3.8191509216880794e-05, 0.0005125927827359814, 1.0729878681815082e-09, 0.00017193515895081758, 0.0009584758173934128, 1.0495506237911739e-05, 0.07013701973719476, 0.07494789265140485]",2.5099276588241726e-69,0.0038165691377907143,3.6110516689786836e-57,6.950683315849804e-13,-157.9581174850464,-10.530541165669758,1.2154050812491441
