model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,possible,"very impossible, impossible, neutral, possible, very possible",2.432145189152193,incorrect_literal,"[[-10.062641143798828], [-11.059062957763672], [-10.879176139831543], [-10.559537887573242], [-11.955519676208496]]","[[], [], [], [], []]","[[-9.893847465515137], [-10.70772647857666], [-9.880048751831055], [-8.731060028076172], [-10.908509254455566]]"
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",3.4723324653305143,incorrect_literal,"[[-10.498307228088379], [-12.084145545959473], [-11.380339622497559], [-9.770934104919434], [-10.292231559753418]]","[[], [], [], [], []]","[[-10.501644134521484], [-11.695586204528809], [-10.972034454345703], [-9.123072624206543], [-9.815354347229004]]"
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,possible,"very impossible, impossible, neutral, possible, very possible",2.2480924816890115,incorrect_literal,"[[-10.21827507019043], [-11.162278175354004], [-11.27182388305664], [-11.169295310974121], [-12.132994651794434]]","[[], [], [], [], []]","[[-10.165977478027344], [-11.03750228881836], [-10.356856346130371], [-9.030621528625488], [-10.665128707885742]]"
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,possible,"very impossible, impossible, neutral, possible, very possible",1.2492037704781371,incorrect_literal,"[[-9.822620391845703], [-11.687978744506836], [-13.701875686645508], [-14.07065200805664], [-14.001388549804688]]","[[], [], [], [], []]","[[-10.050104141235352], [-11.058584213256836], [-10.35540771484375], [-8.918027877807617], [-10.468796730041504]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,Alex thinks that Richard's painting is mediocre.,target,possible,"very impossible, impossible, neutral, possible, very possible",2.430517634596229,incorrect_literal,"[[-10.393205642700195], [-11.719693183898926], [-11.416336059570312], [-10.965473175048828], [-12.125472068786621]]","[[], [], [], [], []]","[[-9.979500770568848], [-11.545172691345215], [-10.450434684753418], [-8.253917694091797], [-10.5623197555542]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",2.9253785152449847,incorrect_literal,"[[-10.103554725646973], [-11.542651176452637], [-10.83452320098877], [-10.026320457458496], [-10.886744499206543]]","[[], [], [], [], []]","[[-10.241296768188477], [-11.853875160217285], [-11.00052547454834], [-8.350920677185059], [-9.304367065429688]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,possible,"very impossible, impossible, neutral, possible, very possible",2.2451179576801934,incorrect_literal,"[[-10.300615310668945], [-11.701631546020508], [-11.59947395324707], [-11.235492706298828], [-12.204341888427734]]","[[], [], [], [], []]","[[-10.057665824890137], [-11.506308555603027], [-10.690367698669434], [-8.216962814331055], [-9.860138893127441]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,possible,"very impossible, impossible, neutral, possible, very possible",2.336799274373102,incorrect_literal,"[[-10.116623878479004], [-11.429125785827637], [-10.86963176727295], [-10.965932846069336], [-12.003121376037598]]","[[], [], [], [], []]","[[-9.63611125946045], [-10.94474983215332], [-10.102940559387207], [-9.159412384033203], [-10.696232795715332]]"
google/flan-t5-xl,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,She does not want to discuss the topic that Leslie has raised.,target,possible,"very impossible, impossible, neutral, possible, very possible",2.0508260203881457,incorrect_literal,"[[-9.890677452087402], [-11.520923614501953], [-11.44479751586914], [-11.234102249145508], [-12.01771354675293]]","[[], [], [], [], []]","[[-9.882405281066895], [-11.370697021484375], [-10.76156997680664], [-8.930728912353516], [-10.56673526763916]]"
google/flan-t5-xl,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",2.651579706908985,incorrect_literal,"[[-10.342522621154785], [-11.5997953414917], [-10.851492881774902], [-10.582131385803223], [-11.764813423156738]]","[[], [], [], [], []]","[[-10.292542457580566], [-11.713033676147461], [-10.870492935180664], [-8.372695922851562], [-9.469429016113281]]"
