model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.3029715688878807,target,"[[-8.690656661987305], [-10.486985206604004], [-10.322407722473145], [-7.564143180847168], [-10.067816734313965]]","[[], [], [], [], []]","[[-8.231179237365723], [-10.170236587524414], [-10.342058181762695], [-7.914417743682861], [-9.613271713256836]]"
google/flan-t5-xl,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.3036733260787075,target,"[[-8.299646377563477], [-9.842140197753906], [-10.426778793334961], [-9.00126838684082], [-10.102071762084961]]","[[], [], [], [], []]","[[-7.877821922302246], [-9.732561111450195], [-10.355762481689453], [-9.376391410827637], [-10.18928337097168]]"
google/flan-t5-xl,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.567684161819518,target,"[[-9.267136573791504], [-11.037772178649902], [-10.767760276794434], [-7.678580284118652], [-9.795769691467285]]","[[], [], [], [], []]","[[-8.231179237365723], [-10.170236587524414], [-10.342058181762695], [-7.914417743682861], [-9.613271713256836]]"
google/flan-t5-xl,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.0664991479687225,target,"[[-8.356578826904297], [-9.94161319732666], [-10.813400268554688], [-9.530570030212402], [-10.343045234680176]]","[[], [], [], [], []]","[[-7.877821922302246], [-9.732561111450195], [-10.355762481689453], [-9.376391410827637], [-10.18928337097168]]"
google/flan-t5-xl,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.7230996110042924,target,"[[-8.090513229370117], [-9.826223373413086], [-10.022930145263672], [-7.988412857055664], [-9.838889122009277]]","[[], [], [], [], []]","[[-8.231179237365723], [-10.170236587524414], [-10.342058181762695], [-7.914417743682861], [-9.613271713256836]]"
google/flan-t5-xl,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.2385884580167668,target,"[[-8.037043571472168], [-9.600229263305664], [-10.077272415161133], [-8.864736557006836], [-9.920890808105469]]","[[], [], [], [], []]","[[-7.877821922302246], [-9.732561111450195], [-10.355762481689453], [-9.376391410827637], [-10.18928337097168]]"
google/flan-t5-xl,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.629453668986404,target,"[[-8.083150863647461], [-9.873404502868652], [-10.071131706237793], [-8.093154907226562], [-10.064486503601074]]","[[], [], [], [], []]","[[-8.231179237365723], [-10.170236587524414], [-10.342058181762695], [-7.914417743682861], [-9.613271713256836]]"
google/flan-t5-xl,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.3681265243041683,target,"[[-8.060997009277344], [-9.689515113830566], [-10.047724723815918], [-8.643107414245605], [-9.845260620117188]]","[[], [], [], [], []]","[[-7.877821922302246], [-9.732561111450195], [-10.355762481689453], [-9.376391410827637], [-10.18928337097168]]"
google/flan-t5-xl,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.1599683019060563,target,"[[-8.66704273223877], [-10.474348068237305], [-10.380687713623047], [-7.843720436096191], [-10.041462898254395]]","[[], [], [], [], []]","[[-8.231179237365723], [-10.170236587524414], [-10.342058181762695], [-7.914417743682861], [-9.613271713256836]]"
google/flan-t5-xl,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.0921327343613463,target,"[[-8.37179946899414], [-9.829277038574219], [-10.530302047729492], [-9.455106735229492], [-10.452674865722656]]","[[], [], [], [], []]","[[-7.877821922302246], [-9.732561111450195], [-10.355762481689453], [-9.376391410827637], [-10.18928337097168]]"
google/flan-t5-xl,0.1,0,6,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Bob was looking forward to the long holiday. He turned on the TV for a weather report.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.9468672958304807,target,"[[-8.424036026000977], [-10.203489303588867], [-10.222379684448242], [-7.935454845428467], [-10.107763290405273]]","[[], [], [], [], []]","[[-8.231179237365723], [-10.170236587524414], [-10.342058181762695], [-7.914417743682861], [-9.613271713256836]]"
