model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not want to get into trouble for not studying. ,target,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,A,"[-12.181547164916992, -10.258151054382324, -11.476157188415527, -6.904257774353027, -10.71657943725586, -11.555418968200684, -12.288280487060547, -9.533543586730957, -9.778078079223633, -14.413461685180664, -2.3264451026916504, -10.047143936157227, -2.822382926940918]","[5.124143520191477e-06, 3.507047132397245e-05, 1.0374525908939091e-05, 0.0010035036280352243, 2.2174237027096773e-05, 9.583966919831613e-06, 4.6054025000989234e-06, 7.238267471463221e-05, 5.668062710635052e-05, 5.49937234028274e-07, 0.09764223898563634, 4.330926661981132e-05, 0.059464075199305785]","[-2.1742916107177734, -10.686203002929688, -8.138540267944336, -8.761085510253906, -5.270399570465088, -7.080811977386475, -9.045422554016113, -10.228437423706055, -7.1794209480285645, -5.058903694152832, -13.298973083496094, -1.805178165435791, -11.095244407653809]","[-8.159120559692383, -10.35333251953125, -10.457358360290527, -5.999881744384766, -10.259002685546875, -10.38817310333252, -10.28331470489502, -8.82104206085205, -8.87109375, -15.031195640563965, -2.2269792556762695, -10.029436111450195, -4.045742034912109]","[0.00028611390428740706, 3.1886350634664023e-05, 2.8736043263631095e-05, 0.0024790453203626262, 3.504061693190721e-05, 3.079454163501045e-05, 3.4198981162999934e-05, 0.00014759447764131796, 0.00014038895325331266, 2.9650681303886805e-07, 0.1078537371180113, 4.408300995874936e-05, 0.017496716663006943]",1.0388845922653466e-54,0.012182282543527101,1.2257858132917528e-50,8.47525384125227e-05,-124.30144739151001,-9.561649799346924,1.0815812050857707
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He has been reading for some time.,incorrect_literal,He does not want to get into trouble for not studying. ,target,B,"[-8.733892440795898, -13.687676429748535, -12.543060302734375, -9.156335830688477, -10.655762672424316, -12.438284873962402, -2.396873950958252, -2.9377405643463135]","[0.0001610344177799167, 1.1363644962569777e-06, 3.569588257940651e-06, 0.00010554893954252116, 2.356465419003323e-05, 3.963889277251679e-06, 0.09100198577880646, 0.0529853104934879]","[-2.1372311115264893, -6.808767795562744, -8.757457733154297, -9.205089569091797, -6.516707420349121, -7.401904106140137, -9.004878997802734, -1.5444982051849365]","[-8.859601020812988, -13.093790054321289, -10.607037544250488, -8.858153343200684, -9.486349105834961, -8.916653633117676, -1.777565360069275, -3.5149497985839844]","[0.00014201171257912105, 2.0579709129092153e-06, 2.4741277773577386e-05, 0.00014221744863992023, 7.588063034252062e-05, 0.00013413636407391306, 0.16904922064054992, 0.029749296373414766]",3.10525522523567e-32,0.018035764265729785,5.263877048150562e-29,0.000589917886916961,-72.54962706565857,-9.068703383207321,1.1141922751206312
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,He has been reading for some time.,incorrect_literal,C,"[-12.671070098876953, -9.908218383789062, -10.888015747070312, -8.338953971862793, -17.81414031982422, -10.247587203979492, -10.618029594421387, -11.34178352355957, -9.445975303649902, -13.828367233276367, -9.438218116760254, -14.609703063964844, -1.7575627565383911, -4.237665176391602]","[3.1406835241698316e-06, 4.976401707517426e-05, 1.868077295877386e-05, 0.00023902223620097016, 1.8340752877842466e-08, 3.544291428892243e-05, 2.4470809629974545e-05, 1.1866591731452567e-05, 7.900690504769324e-05, 9.87225618684686e-07, 7.962215961285596e-05, 4.519460313256788e-07, 0.17246469044453117, 0.014441270330051444]","[-2.1316089630126953, -5.757147789001465, -6.245386600494385, -11.798224449157715, -7.533696174621582, -11.6484956741333, -5.544051170349121, -11.069620132446289, -10.770476341247559, -8.150137901306152, -8.454469680786133, -11.390509605407715, -12.411487579345703, -2.727769613265991]","[-11.748658180236816, -10.954042434692383, -10.807199478149414, -6.8628926277160645, -15.529394149780273, -8.460820198059082, -9.835075378417969, -11.52920913696289, -6.895798683166504, -10.634626388549805, -11.485713958740234, -10.88415241241455, -2.399444103240967, -2.9873178005218506]","[7.899917984636138e-06, 1.7487181438015688e-05, 2.025316504413183e-05, 0.0010458841991725417, 1.8016474587592874e-07, 0.00021159844684499386, 5.3540328814462155e-05, 9.83848190289892e-06, 0.0010120283616471787, 2.4068024358184897e-05, 1.0275851204354798e-05, 1.875308262462366e-05, 0.09076839712511559, 0.05042249871075327]",9.208762327199116e-64,0.013389173955503961,1.262388258348904e-57,7.294714812417054e-07,-145.14529049396515,-10.36752074956894,1.1078580026545675
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,D,"[-11.746021270751953, -9.97860050201416, -9.996790885925293, -7.213596820831299, -11.094290733337402, -10.516213417053223, -10.315585136413574, -10.682687759399414, -10.589810371398926, -9.79334545135498, -12.871485710144043, -7.334145545959473, -14.022148132324219, -8.930819511413574, -10.966984748840332, -16.715499877929688, -10.297780990600586, -2.6860804557800293, -9.921658515930176, -2.9044547080993652]","[7.920776842673294e-06, 4.638193520518423e-05, 4.554585733996255e-05, 0.0007365033151635699, 1.5198850874413891e-05, 2.709358925136795e-05, 3.311298235172823e-05, 2.2938639397003012e-05, 2.5171192517863163e-05, 5.5821835308103305e-05, 2.5703057168886593e-06, 0.0006528615021110423, 8.133143625570652e-07, 0.00013224960005178026, 1.726231512632199e-05, 5.502380770943857e-08, 3.370781020607564e-05, 0.06814752381879566, 4.9099656656371374e-05, 0.05477865281464636]","[-2.1935057640075684, -10.480996131896973, -8.492128372192383, -9.379481315612793, -5.4795823097229, -9.21191692352295, -9.428245544433594, -9.71086597442627, -9.597908973693848, -10.02074146270752, -7.043337821960449, -9.595826148986816, -7.180495262145996, -11.72462272644043, -5.632012367248535, -6.11165189743042, -13.63277530670166, -8.224257469177246, -2.0282607078552246, -11.224247932434082]","[-9.97146224975586, -11.215444564819336, -9.701902389526367, -6.269944190979004, -10.819150924682617, -9.01438045501709, -9.310840606689453, -10.630806922912598, -9.649384498596191, -9.882810592651367, -11.327421188354492, -7.408534526824951, -9.198604583740234, -8.612937927246094, -9.115025520324707, -15.573636054992676, -10.312386512756348, -2.6128880977630615, -10.205744743347168, -3.101745367050171]","[4.671420566318819e-05, 1.346462657873582e-05, 6.116702079892193e-05, 0.0018923341895815354, 2.001255113117878e-05, 0.00012164781442138586, 9.043849001416079e-05, 2.4160127129893583e-05, 6.446523326736503e-05, 5.104461046136582e-05, 1.203825348062553e-05, 0.0006060582061075852, 0.00010118049227834762, 0.00018173918879641144, 0.00011000051390438704, 1.7236766488278742e-07, 3.321906789385371e-05, 0.07332247519649084, 3.695739691917167e-05, 0.044970643576991425]",5.736805630064078e-87,0.006241524256786632,1.312266141225157e-80,4.3716784650925194e-07,-198.5780005455017,-9.928900027275086,1.0796093429434945
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not want to hurt Monica by saying that he dislikes the gift.,target,He does not want to hurt Monica by saying that he dislikes the gift.,target,A,"[-12.506893157958984, -10.59157657623291, -12.597939491271973, -8.222415924072266, -12.766853332519531, -19.10666275024414, -10.421588897705078, -13.698431968688965, -9.849401473999023, -11.005446434020996, -13.283502578735352, -16.929838180541992, -10.50209903717041, -9.060749053955078, -11.611550331115723, -2.4913811683654785, -3.780250072479248]","[3.7010530971521843e-06, 2.512677427336685e-05, 3.378970464155429e-06, 0.00026856544677973817, 2.8538165119359582e-06, 5.035954527744871e-09, 2.9782520477495545e-05, 1.1242077768934031e-06, 5.277877303179982e-05, 1.661098334639014e-05, 1.702347156730258e-06, 4.440835628754859e-08, 2.7478709938805582e-05, 0.00011613595190229356, 9.060825465152762e-06, 0.08279553299636705, 0.02281698481162842]","[-2.366461992263794, -10.422723770141602, -8.498866081237793, -9.958464622497559, -5.645804405212402, -12.115165710449219, -13.053932189941406, -9.673001289367676, -11.400622367858887, -6.751871109008789, -10.366336822509766, -8.820575714111328, -14.673312187194824, -7.838747501373291, -6.223017692565918, -14.91018295288086, -2.7266883850097656]","[-9.010565757751465, -10.368547439575195, -9.931549072265625, -6.313152313232422, -9.579293251037598, -18.19807243347168, -9.299880027770996, -12.555642127990723, -8.359644889831543, -9.289155960083008, -9.663009643554688, -15.057724952697754, -7.817694664001465, -7.7565813064575195, -13.151911735534668, -2.9553544521331787, -4.984791278839111]","[0.0001221127502373125, 3.140487445822121e-05, 4.861642737860028e-05, 0.0018123112524589216, 6.914579918322371e-05, 1.2493311279778728e-08, 9.143520050498488e-05, 3.5249576780794162e-06, 0.00023412746005056935, 9.242103441101465e-05, 6.359284184529321e-05, 2.887441160316046e-07, 0.0004025486237711832, 0.0004279169999848227, 1.94176785274902e-06, 0.05206020445473046, 0.006841205782866247]",1.470198162952062e-82,0.0062453451548546,4.452899198593669e-72,3.3016650442399086e-11,-188.42658042907715,-11.083916495828067,1.146896533001876
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He likes the gift very much.,incorrect_literal,He likes the gift very much.,incorrect_literal,B,"[-13.394753456115723, -9.25973892211914, -8.701308250427246, -11.94645881652832, -9.857179641723633, -11.557212829589844, -3.4966442584991455, -3.9566962718963623]","[1.5231142718325435e-06, 9.518017133863767e-05, 0.00016636801752449443, 6.482146732857758e-06, 5.236984330653638e-05, 9.566790022711587e-06, 0.03029888825181662, 0.01912619778601868]","[-2.2347350120544434, -7.984564304351807, -6.998836994171143, -5.874053001403809, -9.486917495727539, -8.843537330627441, -8.546513557434082, -0.7538579702377319]","[-12.05043888092041, -8.60180950164795, -7.638789653778076, -12.190265655517578, -10.059584617614746, -11.462956428527832, -2.429903745651245, -3.9075329303741455]","[5.841991079730325e-06, 0.00018377295515727474, 0.0004814107732927872, 5.079662906734765e-06, 4.277380747405966e-05, 1.051238545786818e-05, 0.08804530691819851, 0.020090003410903563]",4.539108054158864e-32,0.006219572015129046,2.0881351100168147e-30,0.021737616653178696,-72.16999244689941,-9.021249055862427,1.056023401283215
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,C,"[-12.991327285766602, -19.27974510192871, -8.948650360107422, -14.969247817993164, -10.544636726379395, -10.435311317443848, -11.755232810974121, -16.43211555480957, -9.884422302246094, -10.223270416259766, -10.099267959594727, -2.4318196773529053, -4.041749000549316]","[2.2800178507172954e-06, 4.235581958261074e-09, 0.00012991237670560165, 3.154556239357684e-07, 2.6334341070978974e-05, 2.9376623544012686e-05, 7.848149307478473e-06, 7.305044881620541e-08, 5.096240763426296e-05, 3.631533637456104e-05, 4.1109638129163445e-05, 0.08787677961844205, 0.017566721326376853]","[-2.4050168991088867, -6.745499610900879, -9.672284126281738, -4.638558387756348, -11.623345375061035, -5.492293834686279, -12.143508911132812, -10.748834609985352, -15.279870986938477, -9.449094772338867, -10.652342796325684, -12.733933448791504, -4.320861339569092]","[-11.595675468444824, -18.76190948486328, -7.625359058380127, -12.603392601013184, -8.526424407958984, -8.66147232055664, -10.26960563659668, -15.061149597167969, -9.170744895935059, -7.284002780914307, -11.587042808532715, -1.746565341949463, -2.9800338745117188]","[9.205812605716522e-06, 7.108962785447694e-09, 0.00048792002029549454, 3.3605947154249853e-06, 0.00019816225206635777, 0.00017312921745705093, 3.467104572089213e-05, 2.8775696138297877e-07, 0.00010403898264450362, 0.0006864324186661765, 9.285627265897793e-06, 0.17437182369362622, 0.05079111331159413]",2.061593926265637e-62,0.00813600250593003,2.1571800532547066e-55,9.556893144617895e-08,-142.03679633140564,-10.925907410108127,1.1284101394262538
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,D,"[-12.405937194824219, -11.396330833435059, -12.708367347717285, -8.751175880432129, -17.301067352294922, -12.228109359741211, -15.394012451171875, -9.029884338378906, -14.428834915161133, -9.017979621887207, -8.977668762207031, -11.392356872558594, -9.698030471801758, -8.593822479248047, -2.8979742527008057, -11.01915168762207, -4.329380035400391]","[4.094208291236977e-06, 1.1236638394702302e-05, 3.0257022407601326e-06, 0.00015827510305319546, 3.063669534105541e-08, 4.891021601960342e-06, 2.0628390215145953e-07, 0.00011977634589721999, 5.415475757587639e-07, 0.00012121077060649669, 0.0001261966993642096, 1.1281381200262353e-05, 6.140431356349267e-05, 0.00018524663117417265, 0.05513479617017924, 1.6384878557966565e-05, 0.013175713434423933]","[-2.521958827972412, -10.542140007019043, -8.405146598815918, -9.851055145263672, -5.988204479217529, -14.407285690307617, -8.200675964355469, -10.762648582458496, -4.6876091957092285, -10.243610382080078, -5.013457298278809, -6.98015022277832, -6.046679496765137, -6.154980659484863, -6.3300628662109375, -3.5579895973205566, -10.803766250610352]","[-9.80844783782959, -10.680222511291504, -10.309621810913086, -6.935337543487549, -16.837203979492188, -12.629518508911133, -13.576645851135254, -7.838817119598389, -12.751381874084473, -7.2333760261535645, -7.998635768890381, -10.042593002319336, -9.305142402648926, -6.062669277191162, -2.9903111457824707, -10.376014709472656, -3.649503707885742]","[5.498512643110304e-05, 2.2995258595885945e-05, 3.3311035785410646e-05, 0.0009727946527907156, 4.871864726182191e-08, 3.2739331132043923e-06, 1.269806728783019e-06, 0.0003941349795686661, 2.898312537117534e-06, 0.0007220789860068879, 0.00033592058876681316, 4.3506813396972884e-05, 9.095529802374757e-05, 0.002328178033441105, 0.05027179243369769, 3.117123917901608e-05, 0.026004031172422188]",1.0320564827957787e-78,0.004066724221571888,8.632321155563142e-70,1.1955723891605502e-09,-179.57008385658264,-10.562946109210744,1.1291909041846608
google/flan-t5-xl,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,Dan does not want his mom to be angry with him for breaking the vase.,target,Dan does not want his mom to be angry with him for breaking the vase.,target,A,"[-12.501351356506348, -11.26060962677002, -12.29381275177002, -10.671304702758789, -9.549678802490234, -9.52864933013916, -12.06374740600586, -16.14742088317871, -9.59216022491455, -11.52810001373291, -9.401883125305176, -14.64635181427002, -8.723552703857422, -12.755414962768555, -3.284494161605835, -2.9254660606384277]","[3.7216205362761175e-06, 1.2870024576398107e-05, 4.579994540955431e-06, 2.3201243008868477e-05, 7.122413640852557e-05, 7.273780243168489e-05, 5.764757864923653e-06, 9.711005799036451e-08, 6.82618013758962e-05, 9.849400045388648e-06, 8.256843235983284e-05, 4.356826113652364e-07, 0.00016270810915085653, 2.8866469256564826e-06, 0.037459528769663034, 0.053639686739572354]","[-3.515437602996826, -10.405323028564453, -5.8608856201171875, -9.434999465942383, -5.688528060913086, -9.598730087280273, -7.4454474449157715, -7.1983256340026855, -14.520069122314453, -8.539566993713379, -7.566615104675293, -7.44111967086792, -13.650941848754883, -6.366891384124756, -13.598286628723145, -1.6199092864990234]","[-8.955896377563477, -10.229969024658203, -10.567913055419922, -11.75598430633545, -9.926477432250977, -7.184241771697998, -9.983572006225586, -14.738302230834961, -8.841296195983887, -11.442800521850586, -9.265010833740234, -16.302303314208984, -8.16977310180664, -9.65630054473877, -3.0876736640930176, -2.9498672485351562]","[0.00012897443164326138, 3.6072887100287674e-05, 2.5728453062434806e-05, 7.842253675226498e-06, 4.886361869991633e-05, 0.0007584438635792519, 4.6151919454866064e-05, 3.974080577615991e-07, 0.00014463514962760265, 1.0726421921439195e-05, 9.467971023971272e-05, 8.317630592702737e-08, 0.00028308224000676255, 6.402092693204645e-05, 0.04560793045514295, 0.052346654582277]",3.369329832582523e-73,0.005726257641945625,3.3730574918505434e-67,9.988948722999751e-07,-166.87399792671204,-10.429624870419502,1.0902708262066934
google/flan-t5-xl,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,Dan wants his mom to know that he knocked it over.,incorrect_lexical_overlap,B,"[-15.021127700805664, -10.405391693115234, -10.932869911193848, -8.379525184631348, -13.856314659118652, -10.360779762268066, -12.646764755249023, -8.547290802001953, -13.931004524230957, -10.972127914428711, -8.120360374450684, -12.70892333984375, -2.9134888648986816, -3.006610870361328]","[2.99507103800526e-07, 3.0268841946905182e-05, 1.7861376546857694e-05, 0.00022951889868760345, 9.600171777849256e-07, 3.164976728176119e-05, 3.2179541571653366e-06, 0.00019407016248290825, 8.909259478304351e-07, 1.717376010296876e-05, 0.00029742145803167685, 3.024020441714081e-06, 0.05428600256633233, 0.04945901805699959]","[-2.5128519535064697, -11.897403717041016, -9.26302719116211, -7.470541954040527, -6.730364799499512, -12.320375442504883, -7.603037357330322, -9.48391056060791, -9.107010841369629, -13.369526863098145, -8.494255065917969, -5.09241247177124, -15.363194465637207, -2.591275930404663]","[-12.884902954101562, -9.14675521850586, -9.219852447509766, -7.061498165130615, -13.89359188079834, -7.226595401763916, -12.323304176330566, -7.518141269683838, -12.428537368774414, -10.530904769897461, -6.984189987182617, -12.834674835205078, -2.951042652130127, -3.8600080013275146]","[2.536049623127182e-06, 0.00010656502257528749, 9.905330211559192e-05, 0.0008574924658610794, 9.248892088734613e-07, 0.0007269917694373823, 4.4468962531678e-06, 0.0005431411811626715, 4.00271623410355e-06, 2.669845738960266e-05, 0.0009264133995121595, 2.6666839193823964e-06, 0.05228516228251108, 0.021067830951751566]",2.6056845115391343e-62,0.007469384093802921,1.0841172694600273e-56,2.403507982892813e-06,-141.8025803565979,-10.128755739756992,1.1004049332301886
