model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,coherent,target,coherent,target,A,"[-5.5570693, -0.0011807624]","[0.003860072551332651, 0.9988199344256338]",[],"[-9.231982, -0.054896083]","[9.785908717628594e-05, 0.9465835089612057]",0.0038555174126002675,0.5013400034884832,9.263179812306926e-05,41.62196449514974,-5.5582500624,-2.7791250312,0.5985057640171457
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,incoherent,competitor,incoherent,competitor,B,"[-12.908631, -0.12069173, -0.0019716513]","[2.4765824314715767e-06, 0.8863071393860034, 0.998030291127618]",[],"[-10.812999, -1.3319999, -0.0073326607]","[2.0136046315496314e-05, 0.26394886177417165, 0.9926941576664418]",2.1906891543201483e-06,0.6281133023653509,5.276056782776532e-06,0.41521333914971537,-13.0312943813,-4.343764793766667,1.0723287392390215
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,coherent,target,coherent,target,A,"[-5.7372365, -0.0012227726]","[0.003223664574235024, 0.9987779746817994]",[],"[-9.231982, -0.054896083]","[9.785908717628594e-05, 0.9465835089612057]",0.0032197251745079225,0.5010008196280172,9.263179812306926e-05,34.75831452856224,-5.7384592726,-2.8692296363,0.6179104776991181
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,incoherent,competitor,incoherent,competitor,B,"[-13.221611, -0.20183855, -0.0021741332]","[1.8110369068591524e-06, 0.8172268585681661, 0.9978282285157141]",[],"[-10.872607, -1.3602309, -0.007149786]","[1.897084938212413e-05, 0.25660152082154103, 0.9928757129131414]",1.4768137195325136e-06,0.6050189660402623,4.833268137934669e-06,0.30555178760754187,-13.4256236832,-4.4752078943999996,1.0968657834971616
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,coherent,target,incoherent,competitor,A,"[-7.523429, -0.0018684588]","[0.0005402767768459341, 0.9981332856824766]",[],"[-9.231982, -0.054896083]","[9.785908717628594e-05, 0.9465835089612057]",0.0005392682344511704,0.4993367812296613,9.263179812306926e-05,5.821631938254145,-7.5252974588,-3.7626487294,0.810315090985781
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,incoherent,competitor,coherent,target,B,"[-12.203116, -0.10585894, -0.002468011]","[5.014805103587332e-06, 0.8995515298655439, 0.9975350320352184]",[],"[-10.872607, -1.3602309, -0.007149786]","[1.897084938212413e-05, 0.25660152082154103, 0.9928757129131414]",4.499955946061642e-06,0.6323638589019552,4.833268137934669e-06,0.9310379266449188,-12.311442950999998,-4.103814316999999,1.0058378543208608
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,coherent,target,coherent,target,A,"[-8.811571, -0.0036433158]","[0.00014899899455419568, 0.9963633130222681]",[],"[-9.231982, -0.054896083]","[9.785908717628594e-05, 0.9465835089612057]",0.0001484571318510053,0.49825615600841117,9.263179812306926e-05,1.6026584267938673,-8.8152143158,-4.4076071579,0.9492118058421163
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,incoherent,competitor,incoherent,competitor,B,"[-8.170946, -0.0298107, -0.002856658]","[0.0002827504079995087, 0.9706292562768165, 0.9971474183649471]",[],"[-10.872607, -1.3602309, -0.007149786]","[1.897084938212413e-05, 0.25660152082154103, 0.9928757129131414]",0.0002736629391276338,0.656019808349921,4.833268137934669e-06,56.620682179775415,-8.203613358000002,-2.7345377860000006,0.6702305237923752
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,coherent,target,coherent,target,A,"[-6.0924444, -0.0008001068]","[0.0022598781117643585, 0.9992002132000952]",[],"[-9.231982, -0.054896083]","[9.785908717628594e-05, 0.9465835089612057]",0.002258070691081176,0.5007300456559298,9.263179812306926e-05,24.37684182791244,-6.0932445068,-3.0466222534,0.6561133302647665
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not,incoherent,competitor,incoherent,competitor,B,"[-9.201819, -0.04808349, -0.0014559034]","[0.0001008557782214606, 0.9530542132594769, 0.9985451559132068]",[],"[-10.857152, -1.3603002, -0.007128954]","[1.9266321236811374e-05, 0.25658373895229697, 0.9928963967154345]",9.598118326161174e-05,0.6505667416503017,4.908308610585583e-06,19.55483871870085,-9.2513583934,-3.0837861311333334,0.7567832612713171
