model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,[-3.4622931480407715],[0.031357771495183984],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.031357771495183984,0.031357771495183984,0.0241837982725495,1.2966437753815332,-3.4622931480407715,-3.4622931480407715,0.9302057591764227
google/flan-t5-xl,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-10.664220809936523, -16.2613525390625, -13.271400451660156, -2.680025100708008]","[2.336618164174648e-05, 8.665314386826909e-08, 1.7230743469145715e-06, 0.06856143319216418]","[-2.5261614322662354, -8.206729888916016, -11.956279754638672, -7.33678674697876]","[-8.75297737121582, -14.036017417907715, -14.410269737243652, -2.787304162979126]","[0.0001579902285901607, 8.021121363988678e-07, 5.516954095575245e-07, 0.061587018888516]",2.3919713665710377e-19,0.01714665227532418,4.305800144250404e-18,0.055552308199094444,-42.87699890136719,-10.719249725341797,1.0722850273669762
google/flan-t5-xl,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,[-3.7180826663970947],[0.024280477019125963],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.024280477019125963,0.024280477019125963,0.0241837982725495,1.0039976659367937,-3.7180826663970947,-3.7180826663970947,0.9989280980825485
google/flan-t5-xl,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-9.724053382873535, -14.405182838439941, -13.807367324829102, -3.2624051570892334]","[5.9827006641703756e-05, 5.545089783792361e-07, 1.008176479440986e-06, 0.0382961788351816]","[-2.5261614322662354, -8.206729888916016, -11.956279754638672, -7.33678674697876]","[-8.75297737121582, -14.036017417907715, -14.410269737243652, -2.787304162979126]","[0.0001579902285901607, 8.021121363988678e-07, 5.516954095575245e-07, 0.061587018888516]",1.2808487839890266e-18,0.00958939213182028,4.305800144250404e-18,0.2974705608896786,-41.19900870323181,-10.299752175807953,1.0303211816773998
google/flan-t5-xl,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,[-2.604714870452881],[0.07392421217000167],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.07392421217000167,0.07392421217000167,0.0241837982725495,3.0567659941950236,-2.604714870452881,-2.604714870452881,0.6998023188414337
google/flan-t5-xl,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,"[-9.926200866699219, -14.877708435058594, -13.928882598876953, -2.781954288482666]","[4.8877134562507804e-05, 3.4569517923336744e-07, 8.928184333340757e-07, 0.06191738462985393]","[-2.5261614322662354, -8.206729888916016, -11.956279754638672, -7.33678674697876]","[-8.75297737121582, -14.036017417907715, -14.410269737243652, -2.787304162979126]","[0.0001579902285901607, 8.021121363988678e-07, 5.516954095575245e-07, 0.061587018888516]",9.340600819761736e-19,0.015491875069507251,4.305800144250404e-18,0.21693066345019227,-41.51474618911743,-10.378686547279358,1.038217270194986
google/flan-t5-xl,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,[-3.040257215499878],[0.04782258720142353],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.04782258720142353,0.04782258720142353,0.0241837982725495,1.977463864958959,-3.040257215499878,-3.040257215499878,0.8168184062738867
google/flan-t5-xl,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-8.879798889160156, -14.285477638244629, -12.75182056427002, -2.2843847274780273]","[0.00013917215177582543, 6.25022843520814e-07, 2.897041354700865e-06, 0.10183670015790725]","[-2.5261614322662354, -8.206729888916016, -11.956279754638672, -7.33678674697876]","[-8.75297737121582, -14.036017417907715, -14.410269737243652, -2.787304162979126]","[0.0001579902285901607, 8.021121363988678e-07, 5.516954095575245e-07, 0.061587018888516]",2.566298945000259e-17,0.025494848593470322,4.305800144250404e-18,5.960097679933135,-38.20148181915283,-9.550370454788208,0.9553578381765704
google/flan-t5-xl,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,[-2.0977799892425537],[0.12272858482450445],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.12272858482450445,0.12272858482450445,0.0241837982725495,5.074826685261057,-2.0977799892425537,-2.0977799892425537,0.5636053748316225
google/flan-t5-xl,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-9.294514656066895, -14.437765121459961, -15.197725296020508, -2.034508228302002]","[9.192710278177096e-05, 5.367329738770643e-07, 2.5102198901344844e-07, 0.13074476327123682]","[-2.5261614322662354, -8.206729888916016, -11.956279754638672, -7.33678674697876]","[-8.75297737121582, -14.036017417907715, -14.410269737243652, -2.787304162979126]","[0.0001579902285901607, 8.021121363988678e-07, 5.516954095575245e-07, 0.061587018888516]",1.6193395356049597e-18,0.032709369532245375,4.305800144250404e-18,0.3760833019078433,-40.964513301849365,-10.241128325462341,1.0244568274937682
google/flan-t5-xl,0.1,0,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,[-2.769021987915039],[0.06272331891817413],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.06272331891817413,0.06272331891817413,0.0241837982725495,2.5936090853590192,-2.769021987915039,-2.769021987915039,0.7439463067713595
google/flan-t5-xl,0.1,0,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-8.29833698272705, -14.472463607788086, -14.489180564880371, -2.0304765701293945]","[0.0002489304587269854, 5.184285563944376e-07, 5.098340456440015e-07, 0.13127294547421817]","[-2.5261614322662354, -8.206729888916016, -11.956279754638672, -7.33678674697876]","[-8.75297737121582, -14.036017417907715, -14.410269737243652, -2.787304162979126]","[0.0001579902285901607, 8.021121363988678e-07, 5.516954095575245e-07, 0.061587018888516]",8.637161064880384e-18,0.032880726048886796,4.305800144250404e-18,2.005936359218555,-39.2904577255249,-9.822614431381226,0.9825913803900139
google/flan-t5-xl,0.1,0,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,[-2.917847156524658],[0.054049923161075354],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.054049923161075354,0.054049923161075354,0.0241837982725495,2.234964191808788,-2.917847156524658,-2.917847156524658,0.7839307976944949
google/flan-t5-xl,0.1,0,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,"[-8.464239120483398, -13.632658004760742, -12.329038619995117, -1.8033076524734497]","[0.00021087624345230007, 1.2006373648957526e-06, 4.4214687530847435e-06, 0.1647530401805705]","[-2.5261614322662354, -8.206729888916016, -11.956279754638672, -7.33678674697876]","[-8.75297737121582, -14.036017417907715, -14.410269737243652, -2.787304162979126]","[0.0001579902285901607, 8.021121363988678e-07, 5.516954095575245e-07, 0.061587018888516]",1.8443337297620555e-16,0.04124238463253519,4.305800144250404e-18,42.83370495550799,-36.22924339771271,-9.057310849428177,0.9060353159876237
google/flan-t5-xl,0.1,0,8,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,[-3.8697690963745117],[0.020863186254427037],[-1.312601089477539],[-3.7220723628997803],[0.0241837982725495],0.020863186254427037,0.020863186254427037,0.0241837982725495,0.8626927010927139,-3.8697690963745117,-3.8697690963745117,1.0396813170391088
