model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,A,target,All houses in this town have chimneys.,distractor_plausibleliteral,A,"tensor([-6.0032, -8.1377])","[tensor(0.0025), tensor(0.0003)]",tensor([-8.3492]),"tensor([-4.9772, -5.8596])","[tensor(0.0069), tensor(0.0029)]",7.222536e-07,0.0013815888669341803,1.9661938e-05,0.03673359,-14.14089,-7.0704450607299805,1.3048922
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,B,competitor,The people living in this town are very welcoming.,competitor,B,"tensor([ -6.0032, -10.1533])","[tensor(0.0025), tensor(3.8946e-05)]",tensor([-9.4039]),"tensor([-4.9772, -5.9065])","[tensor(0.0069), tensor(0.0027)]",9.623097e-08,0.0012549083912745118,1.8761553e-05,0.005129158,-16.156515,-8.07825756072998,1.4844688
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,C,distractor_plausibleliteral,The town is not one of the cleanest ones.,target,C,"tensor([-6.0032, -8.5908])","[tensor(0.0025), tensor(0.0002)]",tensor([-9.2242]),"tensor([-4.9772, -1.5471])","[tensor(0.0069), tensor(0.2129)]",4.5909232e-07,0.0013283361913636327,0.0014673078,0.00031288073,-14.594015,-7.2970075607299805,2.2368617
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,D,distractor_literal,Mary found a job at a company installing chimneys.,distractor_nonsequitut,D,"tensor([-6.0032, -8.6065])","[tensor(0.0025), tensor(0.0002)]",tensor([-9.2867]),"tensor([-4.9772, -5.2112])","[tensor(0.0069), tensor(0.0055)]",4.519747e-07,0.0013268959010019898,3.760444e-05,0.012019184,-14.60964,-7.3048200607299805,1.43395
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,E,distractor_nonsequitut,The town is a chimney.,distractor_literal,E,"tensor([-6.0032, -0.1143])","[tensor(0.0025), tensor(0.8920)]",tensor([-9.8805]),"tensor([-4.9772, -4.8284])","[tensor(0.0069), tensor(0.0080)]",0.0022040647,0.44724521040916443,5.5143275e-05,39.969784,-6.117452,-3.0587260723114014,0.62387484
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,A,target,Mike and his wife are very much in love with each other.,target,A,"tensor([-7.0351, -1.4435])","[tensor(0.0009), tensor(0.2361)]",tensor([-8.3492]),"tensor([-3.3706, -6.7205])","[tensor(0.0344), tensor(0.0012)]",0.00020785972,0.11849045753479004,4.1446707e-05,5.015108,-8.478647,-4.239323616027832,0.8402102
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,B,competitor,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,B,"tensor([-7.0351, -0.7716])","[tensor(0.0009), tensor(0.4623)]",tensor([-9.4039]),"tensor([-3.3706, -8.9549])","[tensor(0.0344), tensor(0.0001)]",0.0004069696,0.23157140612602234,4.437242e-06,91.7168,-7.806772,-3.903386116027832,0.63338494
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,C,distractor_plausibleliteral,Mike is worried that the bird flu virus affected their baby.,competitor,C,"tensor([-7.0351, -3.9826])","[tensor(0.0009), tensor(0.0186)]",tensor([-9.2242]),"tensor([-3.3706, -7.2127])","[tensor(0.0344), tensor(0.0007)]",1.6408523e-05,0.009759124368429184,2.5335863e-05,0.64764017,-11.01771,-5.508854866027832,1.0410477
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,D,distractor_literal,Their baby is an egg.,distractor_literal,D,"tensor([-7.0351, -2.0841])","[tensor(0.0009), tensor(0.1244)]",tensor([-9.2867]),"tensor([-3.3706, -9.7987])","[tensor(0.0344), tensor(5.5525e-05)]",0.00010953437,0.06264830380678177,1.908434e-06,57.394897,-9.119272,-4.559636116027832,0.6924683
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,E,distractor_nonsequitut,Their baby is growing bigger every day.,distractor_nonsequitut,E,"tensor([-7.0351, -2.6388])","[tensor(0.0009), tensor(0.0714)]",tensor([-9.8805]),"tensor([-3.3706, -0.9393])","[tensor(0.0344), tensor(0.3909)]",6.290029e-05,0.03616330400109291,0.013435536,0.004681636,-9.67396,-4.836979866027832,2.2446153
