model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.30172092244973,target,"[[-9.269088], [-10.130422], [-4.955314], [-0.44649416], [-1.2372065]]","[[], [], [], [], []]","[[-7.4282956], [-8.047858], [-3.0355442], [-2.3347929], [-0.7758796]]"
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.0394758850480255,target,"[[-0.20274484], [-3.5353873], [-6.228181], [-9.621833], [-10.054236]]","[[], [], [], [], []]","[[-0.52441573], [-5.9110646], [-7.5554996], [-8.74211], [-6.746403]]"
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.337280411646583,target,"[[-10.474882], [-10.854374], [-7.437601], [-0.49663994], [-1.1675729]]","[[], [], [], [], []]","[[-7.460223], [-8.047858], [-2.984527], [-2.3296177], [-0.7758796]]"
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.0397515344016144,target,"[[-0.21472351], [-3.5149693], [-6.4655356], [-9.664309], [-9.610184]]","[[], [], [], [], []]","[[-0.53036386], [-5.9278293], [-7.5456104], [-8.744058], [-6.7374167]]"
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.407548525666688,target,"[[-8.892973], [-9.615341], [-5.478038], [-0.6373135], [-0.9816636]]","[[], [], [], [], []]","[[-7.4453216], [-8.077797], [-2.984527], [-2.323661], [-0.7758796]]"
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.0337056597511445,target,"[[-0.2148392], [-3.7424858], [-6.23199], [-9.511], [-9.853464]]","[[], [], [], [], []]","[[-0.53036386], [-5.9278293], [-7.541471], [-8.733177], [-6.746403]]"
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.50900238651697,target,"[[-8.23426], [-8.655308], [-4.7326155], [-0.87722546], [-0.7742913]]","[[], [], [], [], []]","[[-7.4417186], [-8.077797], [-2.984527], [-2.323661], [-0.77291614]]"
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.0160399100500306,target,"[[-0.2890518], [-4.611643], [-7.21548], [-9.846907], [-8.76642]]","[[], [], [], [], []]","[[-0.53036386], [-5.9278293], [-7.564326], [-8.733177], [-6.746403]]"
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.188299170201535,target,"[[-10.557901], [-11.448568], [-8.456995], [-0.26061866], [-1.7192501]]","[[], [], [], [], []]","[[-7.4282956], [-8.062102], [-3.0355442], [-2.3133855], [-0.77828646]]"
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.1656291856447145,target,"[[-0.37128916], [-2.0889287], [-5.310075], [-7.893985], [-8.444124]]","[[], [], [], [], []]","[[-0.53101206], [-5.9143486], [-7.541471], [-8.733177], [-6.746403]]"
