model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_plausibleliteral,"[[-1.2039222717285156], [-1.2039222717285156], [-1.2039222717285156], [-1.2039222717285156], [-1.2039222717285156]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.6357048749923706], [-1.6357048749923706], [-1.6357048749923706], [-1.6357048749923706], [-1.6357048749923706]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_plausibleliteral,"[[-1.290822982788086], [-1.290822982788086], [-1.290822982788086], [-1.290822982788086], [-1.290822982788086]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.9625471830368042], [-1.9625471830368042], [-1.9625471830368042], [-1.9625471830368042], [-1.9625471830368042]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_plausibleliteral,"[[-1.52909517288208], [-1.52909517288208], [-1.52909517288208], [-1.52909517288208], [-1.52909517288208]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.7244222164154053], [-1.7244222164154053], [-1.7244222164154053], [-1.7244222164154053], [-1.7244222164154053]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_plausibleliteral,"[[-2.436495304107666], [-2.436495304107666], [-2.436495304107666], [-2.436495304107666], [-2.436495304107666]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.282438278198242], [-2.282438278198242], [-2.282438278198242], [-2.282438278198242], [-2.282438278198242]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_plausibleliteral,"[[-1.7602640390396118], [-1.7602640390396118], [-1.7602640390396118], [-1.7602640390396118], [-1.7602640390396118]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.251162528991699], [-2.251162528991699], [-2.251162528991699], [-2.251162528991699], [-2.251162528991699]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_nonsequitut,"[[-1.79122793674469], [-1.79122793674469], [-1.79122793674469], [-1.79122793674469], [-1.79122793674469]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.5185282230377197], [-1.5185282230377197], [-1.5185282230377197], [-1.5185282230377197], [-1.5185282230377197]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_nonsequitut,"[[-2.2079918384552], [-2.2079918384552], [-2.2079918384552], [-2.2079918384552], [-2.2079918384552]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.630951166152954], [-2.630951166152954], [-2.630951166152954], [-2.630951166152954], [-2.630951166152954]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_nonsequitut,"[[-2.0688905715942383], [-2.0688905715942383], [-2.0688905715942383], [-2.0688905715942383], [-2.0688905715942383]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.197981119155884], [-2.197981119155884], [-2.197981119155884], [-2.197981119155884], [-2.197981119155884]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_nonsequitut,"[[-2.0909032821655273], [-2.0909032821655273], [-2.0909032821655273], [-2.0909032821655273], [-2.0909032821655273]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.314764142036438], [-1.314764142036438], [-1.314764142036438], [-1.314764142036438], [-1.314764142036438]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_nonsequitut,"[[-1.9769330024719238], [-1.9769330024719238], [-1.9769330024719238], [-1.9769330024719238], [-1.9769330024719238]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.027400493621826], [-2.027400493621826], [-2.027400493621826], [-2.027400493621826], [-2.027400493621826]]"
