model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",4.139177897239089,target,"[[-6.0650234], [-7.0641785], [-2.6463144], [-0.5984258], [-1.6434629]]","[[], [], [], [], []]","[[-5.7946215], [-6.801242], [-2.4043517], [-2.4569929], [-1.0765264]]"
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.2547325350472938,target,"[[-0.4805512], [-1.6191067], [-5.266047], [-8.192969], [-10.150465]]","[[], [], [], [], []]","[[-0.9516705], [-4.365242], [-5.5011826], [-8.292432], [-7.671611]]"
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",4.702117241709768,target,"[[-8.443987], [-9.648277], [-5.652856], [-1.3553545], [-0.46033117]]","[[], [], [], [], []]","[[-5.7946215], [-6.7953215], [-2.4734344], [-2.4569929], [-1.0765264]]"
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.2368785440976797,target,"[[-0.53275895], [-1.7351716], [-6.075741], [-9.283382], [-10.173292]]","[[], [], [], [], []]","[[-0.9516705], [-4.369128], [-5.456609], [-8.316995], [-7.6584444]]"
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",4.233775761667898,target,"[[-6.79108], [-7.4521246], [-3.1880553], [-0.6771156], [-1.4789621]]","[[], [], [], [], []]","[[-5.7946215], [-6.7953215], [-2.4579158], [-2.4569929], [-1.0765264]]"
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.193850183969785,target,"[[-0.45074078], [-1.988173], [-4.9878097], [-8.392722], [-10.078984]]","[[], [], [], [], []]","[[-0.9516705], [-4.3851943], [-5.4957757], [-8.292432], [-7.7310386]]"
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",4.294878999659239,target,"[[-6.0977283], [-6.930707], [-3.2673366], [-0.85078806], [-1.3383868]]","[[], [], [], [], []]","[[-5.783356], [-6.7953215], [-2.4128227], [-2.4569929], [-1.0765264]]"
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.2007269222977595,target,"[[-0.63650244], [-2.0672605], [-5.9941015], [-9.169961], [-9.442385]]","[[], [], [], [], []]","[[-0.9516371], [-4.3851943], [-5.456609], [-8.306875], [-7.671611]]"
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",4.604839494393601,target,"[[-8.777576], [-9.98652], [-5.712161], [-1.128693], [-0.6729113]]","[[], [], [], [], []]","[[-5.7946215], [-6.7953215], [-2.4043517], [-2.4569929], [-1.0765264]]"
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.3160205069272752,target,"[[-0.60076356], [-1.4482062], [-5.0280476], [-7.7489424], [-9.168968]]","[[], [], [], [], []]","[[-0.9516705], [-4.397848], [-5.4802604], [-8.292432], [-7.6604624]]"
