model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.898119120455207,incorrect_literal,"[[-2.6012902], [-1.0075402], [-2.0700402], [-1.2039222], [-2.82004]]","[[], [], [], [], []]","[[-5.648051], [-3.741801], [-2.7574258], [-0.58555096], [-1.5530765]]"
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",4.653944005261215,incorrect_literal,"[[-4.9468966], [-4.759396], [-4.681271], [-1.4468966], [-0.46252164]]","[[], [], [], [], []]","[[-7.3336067], [-7.5526605], [-7.661732], [-2.849232], [-0.23985732]]"
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",2.1851537258512965,incorrect_literal,"[[-1.898052], [-0.601177], [-2.429302], [-2.632427], [-3.6011767]]","[[], [], [], [], []]","[[-5.3474293], [-2.1599293], [-2.0661793], [-0.6580192], [-2.4255545]]"
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",1.5652204617429653,incorrect_literal,"[[-0.81642497], [-0.878925], [-4.20705], [-4.628925], [-4.95705]]","[[], [], [], [], []]","[[-6.1288233], [-5.3773556], [-3.3319483], [-0.45694855], [-1.7836058]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.2627253164213226,target,"[[-1.4058473], [-1.1558473], [-2.4527223], [-2.3902223], [-2.7808473]]","[[], [], [], [], []]","[[-5.6183004], [-4.6808004], [-2.6964254], [-0.60878927], [-1.6339257]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",1.9117233932738382,target,"[[-1.745762], [-0.83951193], [-3.9275897], [-3.9319475], [-3.9645119]]","[[], [], [], [], []]","[[-8.062254], [-8.218504], [-6.9372544], [-1.4841301], [-0.5622552]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",2.001819814601176,target,"[[-1.411822], [-0.9274469], [-3.1930718], [-3.099322], [-3.2711968]]","[[], [], [], [], []]","[[-7.2128863], [-7.6035113], [-5.4003863], [-0.74413633], [-1.6503863]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8461831305481908,target,"[[-1.7227808], [-0.51965576], [-4.4884057], [-5.2071557], [-4.5050564]]","[[], [], [], [], []]","[[-4.0151544], [-2.6714046], [-1.8745296], [-0.8589046], [-1.4839047]]"
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.4790947092989524,target,"[[-2.5497231], [-1.8545069], [-2.3934734], [-0.7059732], [-1.9715981]]","[[], [], [], [], []]","[[-5.59963], [-5.173745], [-3.548745], [-0.6424951], [-1.329995]]"
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",3.2082015030802626,target,"[[-2.66854], [-1.4810399], [-1.7935399], [-1.04354], [-2.2779148]]","[[], [], [], [], []]","[[-6.767557], [-5.470682], [-3.2050571], [-0.58005714], [-1.3925571]]"
