model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,3,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-1.3983062505722046],[0.24701499132506347],[-0.973268985748291],[-2.705825090408325],[0.0668151725393225],0.24701499132506347,0.24701499132506347,0.0668151725393225,3.6969895000972812,-1.3983062505722046,-1.3983062505722046,0.5167762896164112
google/flan-t5-xl,0.1,3,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-1.811623215675354],[0.16338870632624478],[-0.5661458373069763],[-4.02297306060791],[0.017899668952003855],0.16338870632624478,0.16338870632624478,0.017899668952003855,9.128029505146436,-1.811623215675354,-1.811623215675354,0.45031949962936124
google/flan-t5-xl,0.1,3,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-2.272554397583008],[0.10304861646644488],[-0.973268985748291],[-2.705825090408325],[0.0668151725393225],0.10304861646644488,0.10304861646644488,0.0668151725393225,1.5422936520263872,-2.272554397583008,-2.272554397583008,0.839874833609465
google/flan-t5-xl,0.1,3,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-2.9889655113220215],[0.0503394854247813],[-0.5661458373069763],[-4.02297306060791],[0.017899668952003855],0.0503394854247813,0.0503394854247813,0.017899668952003855,2.812313767352989,-2.9889655113220215,-2.9889655113220215,0.7429742795419962
google/flan-t5-xl,0.1,3,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.2981438636779785],[0.2730381189535658],[-0.973268985748291],[-2.212848663330078],[0.10938859298240101],0.2730381189535658,0.2730381189535658,0.10938859298240101,2.496038311759742,-1.2981438636779785,-1.2981438636779785,0.5866392425248024
google/flan-t5-xl,0.1,3,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.4135255813598633],[0.24328405168044864],[-0.5661458373069763],[-2.6033947467803955],[0.07402186571565382],0.24328405168044864,0.24328405168044864,0.07402186571565382,3.286651171628061,-1.4135255813598633,-1.4135255813598633,0.5429547643929
google/flan-t5-xl,0.1,3,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.5888960361480713],[0.20415086254955256],[-0.973268985748291],[-2.212848663330078],[0.10938859298240101],0.20415086254955256,0.20415086254955256,0.10938859298240101,1.8662902317648182,-1.5888960361480713,-1.5888960361480713,0.7180319479041865
google/flan-t5-xl,0.1,3,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.7297406196594238],[0.17733040002471484],[-0.5661458373069763],[-2.6033947467803955],[0.07402186571565382],0.17733040002471484,0.17733040002471484,0.07402186571565382,2.395648884424346,-1.7297406196594238,-1.7297406196594238,0.6644173427017108
google/flan-t5-xl,0.1,3,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-1.4751360416412354],[0.22874760572866096],[-0.973268985748291],[-2.705825090408325],[0.0668151725393225],0.22874760572866096,0.22874760572866096,0.0668151725393225,3.423587742649874,-1.4751360416412354,-1.4751360416412354,0.5451705089402613
google/flan-t5-xl,0.1,3,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-1.7395374774932861],[0.17560160152984697],[-0.5661458373069763],[-4.02297306060791],[0.017899668952003855],0.17560160152984697,0.17560160152984697,0.017899668952003855,9.810326772003707,-1.7395374774932861,-1.7395374774932861,0.4324009759166583
google/flan-t5-xl,0.1,3,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-1.178098201751709],[0.3078636768088672],[-0.973268985748291],[-2.705825090408325],[0.0668151725393225],0.3078636768088672,0.3078636768088672,0.0668151725393225,4.607691114285177,-1.178098201751709,-1.178098201751709,0.4353933319370347
google/flan-t5-xl,0.1,3,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-1.6808700561523438],[0.18621189073680233],[-0.5661458373069763],[-4.02297306060791],[0.017899668952003855],0.18621189073680233,0.18621189073680233,0.017899668952003855,10.403091321750733,-1.6808700561523438,-1.6808700561523438,0.41781787519560176
google/flan-t5-xl,0.1,3,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.1039392948150635],[0.3315623857299123],[-0.973268985748291],[-2.212848663330078],[0.10938859298240101],0.3315623857299123,0.3315623857299123,0.10938859298240101,3.0310508316278986,-1.1039392948150635,-1.1039392948150635,0.49887699647465455
google/flan-t5-xl,0.1,3,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-0.9831264019012451],[0.3741395578266936],[-0.5661458373069763],[-2.6033947467803955],[0.07402186571565382],0.3741395578266936,0.3741395578266936,0.07402186571565382,5.054446469424402,-0.9831264019012451,-0.9831264019012451,0.3776324751046964
google/flan-t5-xl,0.1,3,8,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.8153098821640015],[0.1627874556443703],[-0.973268985748291],[-2.212848663330078],[0.10938859298240101],0.1627874556443703,0.1627874556443703,0.10938859298240101,1.4881575053311122,-1.8153098821640015,-1.8153098821640015,0.8203497655516002
google/flan-t5-xl,0.1,3,8,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.8927178382873535],[0.15066177754194737],[-0.5661458373069763],[-2.6033947467803955],[0.07402186571565382],0.15066177754194737,0.15066177754194737,0.07402186571565382,2.0353685507022568,-1.8927178382873535,-1.8927178382873535,0.7270191509098141
google/flan-t5-xl,0.1,3,9,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-1.605418086051941],[0.2008055833442369],[-0.973268985748291],[-2.705825090408325],[0.0668151725393225],0.2008055833442369,0.2008055833442369,0.0668151725393225,3.0053889814631174,-1.605418086051941,-1.605418086051941,0.5933192399401078
google/flan-t5-xl,0.1,3,9,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-2.295477867126465],[0.1007132542137959],[-0.5661458373069763],[-4.02297306060791],[0.017899668952003855],0.1007132542137959,0.1007132542137959,0.017899668952003855,5.626542841873125,-2.295477867126465,-2.295477867126465,0.5705924033156702
google/flan-t5-xl,0.1,3,10,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-1.6490240097045898],[0.1922374389668152],[-0.973268985748291],[-2.705825090408325],[0.0668151725393225],0.1922374389668152,0.1922374389668152,0.0668151725393225,2.8771524739186805,-1.6490240097045898,-1.6490240097045898,0.6094348136359924
