model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,1,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-5.457049],[0.004266126526884404],[],[-4.6348586],[0.009707479578921147],0.004266126526884404,0.004266126526884404,0.009707479578921147,0.43946798880194243,-5.457049,-5.457049,1.177392768789106
gpt-3.5-turbo-instruct,0.1,1,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-0.83204865],[0.43515688836875965],[],[-1.7129836],[0.18032696566003806],0.43515688836875965,0.43515688836875965,0.18032696566003806,2.413154831147885,-0.83204865,-0.83204865,0.48573065731627546
gpt-3.5-turbo-instruct,0.1,1,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-6.716083],[0.001211273492130011],[],[-4.6348586],[0.009707479578921147],0.001211273492130011,0.001211273492130011,0.009707479578921147,0.1247773412534572,-6.716083,-6.716083,1.4490373018067908
gpt-3.5-turbo-instruct,0.1,1,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-1.8254577],[0.1611438716981674],[],[-1.7129836],[0.18032696566003806],0.1611438716981674,0.1611438716981674,0.18032696566003806,0.8936204915795254,-1.8254577,-1.8254577,1.0656597646352248
gpt-3.5-turbo-instruct,0.1,1,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.9271572],[0.1455614128468859],[],[-1.6809711],[0.1861930761214495],0.1455614128468859,0.1455614128468859,0.1861930761214495,0.7817767227388172,-1.9271572,-1.9271572,1.1464546891972145
gpt-3.5-turbo-instruct,0.1,1,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-2.692089],[0.06773928409985967],[],[-4.524721],[0.01083773774349564],0.06773928409985967,0.06773928409985967,0.01083773774349564,6.250315859554175,-2.692089,-2.692089,0.5949734801328082
gpt-3.5-turbo-instruct,0.1,1,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-3.382062],[0.033977321215444584],[],[-4.6348586],[0.009707479578921147],0.033977321215444584,0.033977321215444584,0.009707479578921147,3.5001177122456224,-3.382062,-3.382062,0.7297012254052366
gpt-3.5-turbo-instruct,0.1,1,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-2.9914372],[0.0502152155301137],[],[-1.7129836],[0.18032696566003806],0.0502152155301137,0.0502152155301137,0.18032696566003806,0.2784675899487051,-2.9914372,-2.9914372,1.7463314885209642
gpt-3.5-turbo-instruct,0.1,1,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-2.8722618],[0.05657082986689041],[],[-1.6809711],[0.1861930761214495],0.05657082986689041,0.05657082986689041,0.1861930761214495,0.3038288589742754,-2.8722618,-2.8722618,1.7086919578807749
gpt-3.5-turbo-instruct,0.1,1,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-3.0597615],[0.04689887926894328],[],[-4.524721],[0.01083773774349564],0.04689887926894328,0.04689887926894328,0.01083773774349564,4.327367978348621,-3.0597615,-3.0597615,0.6762320814918753
