model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The town is a chimney.
C. Mary found a job at a company installing chimneys.
D. The town is not one of the cleanest ones.
E. The people living in this town are very welcoming.
Your answer:
",,A,target,All houses in this town have chimneys.,distractor_plausibleliteral,A,[-5.604466915130615],[0.00368138251057541],[-6.87332820892334],[-6.098053455352783],[0.0022472378135513183],0.00368138251057541,0.00368138251057541,0.0022472378135513183,1.6381810987586167,-5.604466915130615,-5.604466915130615,0.9190583447921558
meta-llama/Llama-2-7b-hf,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The town is a chimney.
C. Mary found a job at a company installing chimneys.
D. The town is not one of the cleanest ones.
E. The people living in this town are very welcoming.
Your answer:
",,B,competitor,The town is a chimney.,distractor_literal,B,[-5.792779922485352],[0.003049493028065454],[-8.983907699584961],[-5.583312034606934],[0.0037600913201289257],0.003049493028065454,0.003049493028065454,0.0037600913201289257,0.8110156824491415,-5.792779922485352,-5.792779922485352,1.0375167797500977
meta-llama/Llama-2-7b-hf,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The town is a chimney.
C. Mary found a job at a company installing chimneys.
D. The town is not one of the cleanest ones.
E. The people living in this town are very welcoming.
Your answer:
",,C,distractor_plausibleliteral,Mary found a job at a company installing chimneys.,distractor_nonsequitut,C,[-5.418872833251953],[0.004432139593734343],[-8.415637969970703],[-4.796779632568359],[0.008256292578625379],0.004432139593734343,0.004432139593734343,0.008256292578625379,0.5368195896071631,-5.418872833251953,-5.418872833251953,1.1296897602841312
meta-llama/Llama-2-7b-hf,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The town is a chimney.
C. Mary found a job at a company installing chimneys.
D. The town is not one of the cleanest ones.
E. The people living in this town are very welcoming.
Your answer:
",,D,distractor_literal,The town is not one of the cleanest ones.,target,D,[-5.674411773681641],[0.0034326875797187958],[-6.7939066886901855],[-5.603349208831787],[0.0036854995153683674],0.0034326875797187958,0.0034326875797187958,0.0036854995153683674,0.9314036171771677,-5.674411773681641,-5.674411773681641,1.0126821588663164
meta-llama/Llama-2-7b-hf,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The town is a chimney.
C. Mary found a job at a company installing chimneys.
D. The town is not one of the cleanest ones.
E. The people living in this town are very welcoming.
Your answer:
",,E,distractor_nonsequitut,The people living in this town are very welcoming.,competitor,E,[-6.530005931854248],[0.0014589971952024797],[-6.80149507522583],[-6.059792518615723],[0.0023348852825064697],0.0014589971952024797,0.0014589971952024797,0.0023348852825064697,0.6248688987564582,-6.530005931854248,-6.530005931854248,1.0775956291892876
meta-llama/Llama-2-7b-hf,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is growing bigger every day.
E. Their baby is an egg.
Your answer:
",,A,target,Mike and his wife are very much in love with each other.,target,A,[-5.833115100860596],[0.0029289388146373175],[-6.87332820892334],[-5.965928077697754],[0.002564663295728437],0.0029289388146373175,0.0029289388146373175,0.002564663295728437,1.142036391098823,-5.833115100860596,-5.833115100860596,0.9777380861607017
meta-llama/Llama-2-7b-hf,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is growing bigger every day.
E. Their baby is an egg.
Your answer:
",,B,competitor,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,B,[-6.088446617126465],[0.0022689306968539293],[-8.983907699584961],[-6.387485980987549],[0.0016824806773687757],0.0022689306968539293,0.0022689306968539293,0.0016824806773687757,1.3485627070631803,-6.088446617126465,-6.088446617126465,0.9531835584843271
meta-llama/Llama-2-7b-hf,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is growing bigger every day.
E. Their baby is an egg.
Your answer:
",,C,distractor_plausibleliteral,Mike is worried that the bird flu virus affected their baby.,competitor,C,[-5.842734336853027],[0.0029008997344402835],[-8.415637969970703],[-5.5083136558532715],[0.00405293626903243],0.0029008997344402835,0.0029008997344402835,0.00405293626903243,0.7157526153582534,-5.842734336853027,-5.842734336853027,1.060711989529571
meta-llama/Llama-2-7b-hf,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is growing bigger every day.
E. Their baby is an egg.
Your answer:
",,D,distractor_literal,Their baby is growing bigger every day.,distractor_nonsequitut,D,[-6.7148261070251465],[0.001212796890446664],[-6.7939066886901855],[-6.198777198791504],[0.002031913744394744],0.001212796890446664,0.001212796890446664,0.002031913744394744,0.5968741998976564,-6.7148261070251465,-6.7148261070251465,1.0832501139634847
meta-llama/Llama-2-7b-hf,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is growing bigger every day.
E. Their baby is an egg.
Your answer:
",,E,distractor_nonsequitut,Their baby is an egg.,distractor_literal,E,[-6.724697113037109],[0.001200884256617063],[-6.80149507522583],[-6.199512958526611],[0.0020304192939220663],0.001200884256617063,0.001200884256617063,0.0020304192939220663,0.591446436808316,-6.724697113037109,-6.724697113037109,1.0847137763924142
