model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,A,"[1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727, 1.823837399482727]","[6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872, 6.195587836755872]",[3.317080497741699],"[2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544, 2.922065019607544]","[18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947, 18.579615141987947]",2.6657253787270618e+17,6.195587836755873,8.294834075814995e+27,3.2137175431868364e-11,40.124422788619995,1.823837399482727,0.6241604438109603
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,B,"[1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951, 1.2818934917449951]","[3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123, 3.6034563848067123]",[2.5208282470703125],"[2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473, 2.0797524452209473]","[8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012, 8.002487615013012]",136265337764.1083,3.6034563848067123,1.1601127869558973e+18,1.1745869823714696e-07,25.637869834899902,1.2818934917449951,0.6163683060888577
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,C,"[2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814, 2.1094276905059814]","[8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973, 8.24352208837973]",[3.567030668258667],"[3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036, 3.131810426712036]","[22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834, 22.91542871503834]",2.5476708222257965e+17,8.24352208837973,6.95715608716658e+25,3.661942883422325e-09,40.07912611961365,2.1094276905059814,0.673548971072488
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,D,"[1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516, 1.9312076568603516]","[6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768, 6.897835431863768]",[3.338230609893799],"[2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747, 2.905207872390747]","[18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118, 18.26904088673118]",5.9464336262339816e+16,6.897835431863768,1.7152007393704852e+25,3.4669024387293863e-09,38.62415313720703,1.9312076568603516,0.664739922816995
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,Alex thinks that Richard's painting is mediocre.,target,Alex thinks that Richard's painting is mediocre.,target,A,"[1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267, 1.7450119256973267]","[5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401, 5.725969761196401]",[4.138399600982666],"[3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177, 3.6226646900177]","[37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635, 37.437193543196635]",1242191640.368012,5.725969761196401,7.579480080354691e+18,1.6388876640597783e-10,20.94014310836792,1.7450119256973267,0.48169291806269837
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?, Alex is proud of the painting job that he did.,incorrect_literal, Alex is proud of the painting job that he did.,incorrect_literal,B,"[2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688, 2.7645187377929688]","[15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952, 15.871399847385952]",[4.626285076141357],"[4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594, 4.104270935058594]","[60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115, 60.59854816158115]",255495229334056.84,15.871399847385954,2.452147736847811e+21,1.041924291488616e-07,33.174224853515625,2.7645187377929688,0.6735712094877825
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,C,"[2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766, 2.4683475494384766]","[11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104, 11.802926974965104]",[4.893331527709961],"[4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252, 4.227684497833252]","[68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135, 68.55830134720135]",619279810488.1938,11.802926974965105,1.5727530461316602e+20,3.937552764633794e-09,27.151823043823242,2.4683475494384766,0.5838533009508017
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,D,"[2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951, 2.323329448699951]","[10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562, 10.209610154146562]",[4.081361770629883],"[3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366, 3.500810384750366]","[33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587, 33.14229909274587]",1365014888070207.2,10.209610154146562,6.393511994967856e+22,2.1350001206607105e-08,34.84994173049927,2.323329448699951,0.6636547522883396
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,She does not want to discuss the topic that Leslie has raised.,target,She does not want to discuss the topic that Leslie has raised.,target,A,"[1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145, 1.966410756111145]","[7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041, 7.144985315106041]",[3.828162431716919],"[3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675, 3.365219831466675]","[28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945, 28.939858491366945]",903688524620.6927,7.144985315106041,2.890344735505842e+20,3.1265769564423167e-09,27.52975058555603,1.966410756111145,0.5843335219066856
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has Bob responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,B,"[2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982, 2.0678927898406982]","[7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368, 7.908141432146368]",[3.7059438228607178],"[3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736, 3.1292316913604736]","[22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407, 22.856412015843407]",473115919300.11365,7.908141432146368,4.646273064776615e+17,1.0182697243664052e-06,26.882606267929077,2.0678927898406982,0.6608308344664806
