model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,3,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The town is not one of the cleanest ones.
B. All houses in this town have chimneys.
C. The town is a chimney.
D. Mary found a job at a company installing chimneys.
E. The people living in this town are very welcoming.
Your answer:
",,A,target,The town is not one of the cleanest ones.,target,A,[-2.357652187347412],[0.09464216462748369],[-3.527845621109009],[-2.2723894119262695],[0.10306561941269111],0.09464216462748369,0.09464216462748369,0.10306561941269111,0.9182709536583817,-2.357652187347412,-2.357652187347412,1.0375211990399422
google/flan-t5-xl,0.1,3,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The town is not one of the cleanest ones.
B. All houses in this town have chimneys.
C. The town is a chimney.
D. Mary found a job at a company installing chimneys.
E. The people living in this town are very welcoming.
Your answer:
",,B,competitor,All houses in this town have chimneys.,distractor_plausibleliteral,B,[-2.357652187347412],[0.09464216462748369],[-2.824583053588867],[-2.2723894119262695],[0.10306561941269111],0.09464216462748369,0.09464216462748369,0.10306561941269111,0.9182709536583817,-2.357652187347412,-2.357652187347412,1.0375211990399422
google/flan-t5-xl,0.1,3,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The town is not one of the cleanest ones.
B. All houses in this town have chimneys.
C. The town is a chimney.
D. Mary found a job at a company installing chimneys.
E. The people living in this town are very welcoming.
Your answer:
",,C,distractor_plausibleliteral,The town is a chimney.,distractor_literal,C,[-2.357652187347412],[0.09464216462748369],[-3.3048248291015625],[-2.2723894119262695],[0.10306561941269111],0.09464216462748369,0.09464216462748369,0.10306561941269111,0.9182709536583817,-2.357652187347412,-2.357652187347412,1.0375211990399422
google/flan-t5-xl,0.1,3,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The town is not one of the cleanest ones.
B. All houses in this town have chimneys.
C. The town is a chimney.
D. Mary found a job at a company installing chimneys.
E. The people living in this town are very welcoming.
Your answer:
",,D,distractor_literal,Mary found a job at a company installing chimneys.,distractor_nonsequitut,D,[-2.357652187347412],[0.09464216462748369],[-4.7416276931762695],[-2.2723894119262695],[0.10306561941269111],0.09464216462748369,0.09464216462748369,0.10306561941269111,0.9182709536583817,-2.357652187347412,-2.357652187347412,1.0375211990399422
google/flan-t5-xl,0.1,3,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The town is not one of the cleanest ones.
B. All houses in this town have chimneys.
C. The town is a chimney.
D. Mary found a job at a company installing chimneys.
E. The people living in this town are very welcoming.
Your answer:
",,E,distractor_nonsequitut,The people living in this town are very welcoming.,competitor,E,[-2.357652187347412],[0.09464216462748369],[-3.9157567024230957],[-2.2723894119262695],[0.10306561941269111],0.09464216462748369,0.09464216462748369,0.10306561941269111,0.9182709536583817,-2.357652187347412,-2.357652187347412,1.0375211990399422
google/flan-t5-xl,0.1,3,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike is worried that the bird flu virus affected their baby.
B. Their baby is an egg.
C. The baby in his wife's womb is the size of an egg.
D. Mike and his wife are very much in love with each other.
E. Their baby is growing bigger every day.
Your answer:
",,A,target,Mike is worried that the bird flu virus affected their baby.,competitor,A,[-1.6841471195220947],[0.18560266135751477],[-3.527845621109009],[-2.181250810623169],[0.11290022548448359],0.18560266135751477,0.18560266135751477,0.11290022548448359,1.6439529731765063,-1.6841471195220947,-1.6841471195220947,0.772101544361579
google/flan-t5-xl,0.1,3,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike is worried that the bird flu virus affected their baby.
B. Their baby is an egg.
C. The baby in his wife's womb is the size of an egg.
D. Mike and his wife are very much in love with each other.
E. Their baby is growing bigger every day.
Your answer:
",,B,competitor,Their baby is an egg.,distractor_literal,B,[-1.6841471195220947],[0.18560266135751477],[-2.824583053588867],[-2.181250810623169],[0.11290022548448359],0.18560266135751477,0.18560266135751477,0.11290022548448359,1.6439529731765063,-1.6841471195220947,-1.6841471195220947,0.772101544361579
google/flan-t5-xl,0.1,3,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike is worried that the bird flu virus affected their baby.
B. Their baby is an egg.
C. The baby in his wife's womb is the size of an egg.
D. Mike and his wife are very much in love with each other.
E. Their baby is growing bigger every day.
Your answer:
",,C,distractor_plausibleliteral,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,C,[-1.6841471195220947],[0.18560266135751477],[-3.3048248291015625],[-2.181250810623169],[0.11290022548448359],0.18560266135751477,0.18560266135751477,0.11290022548448359,1.6439529731765063,-1.6841471195220947,-1.6841471195220947,0.772101544361579
google/flan-t5-xl,0.1,3,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike is worried that the bird flu virus affected their baby.
B. Their baby is an egg.
C. The baby in his wife's womb is the size of an egg.
D. Mike and his wife are very much in love with each other.
E. Their baby is growing bigger every day.
Your answer:
",,D,distractor_literal,Mike and his wife are very much in love with each other.,target,D,[-1.6841471195220947],[0.18560266135751477],[-4.7416276931762695],[-2.181250810623169],[0.11290022548448359],0.18560266135751477,0.18560266135751477,0.11290022548448359,1.6439529731765063,-1.6841471195220947,-1.6841471195220947,0.772101544361579
google/flan-t5-xl,0.1,3,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike is worried that the bird flu virus affected their baby.
B. Their baby is an egg.
C. The baby in his wife's womb is the size of an egg.
D. Mike and his wife are very much in love with each other.
E. Their baby is growing bigger every day.
Your answer:
",,E,distractor_nonsequitut,Their baby is growing bigger every day.,distractor_nonsequitut,E,[-1.6841471195220947],[0.18560266135751477],[-3.9157567024230957],[-2.181250810623169],[0.11290022548448359],0.18560266135751477,0.18560266135751477,0.11290022548448359,1.6439529731765063,-1.6841471195220947,-1.6841471195220947,0.772101544361579
