model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,likely,"very unlikely, unlikely, neutral, likely, very likely",4.163988737345999,target,"[[-7.0956926], [-7.0956926], [-4.205068], [-0.5488181], [-1.9706931]]","[[], [], [], [], []]","[[-7.1797533], [-7.4610033], [-3.0391283], [-0.8516282], [-1.0078782]]"
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.999060630162572,target,"[[-3.6531098], [-2.6999848], [-3.2624846], [-0.91326016], [-1.3874847]]","[[], [], [], [], []]","[[-1.5456643], [-0.5769145], [-4.1081643], [-3.8581643], [-2.7175393]]"
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,likely,"very unlikely, unlikely, neutral, likely, very likely",4.2807129424921015,target,"[[-7.9392567], [-8.223278], [-6.7126946], [-1.0876944], [-1.9939442]]","[[], [], [], [], []]","[[-7.1797533], [-7.4610033], [-3.0391283], [-0.8516282], [-1.0078782]]"
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",4.231125535097636,target,"[[-5.806269], [-5.806269], [-4.368769], [-0.8551342], [-1.7750193]]","[[], [], [], [], []]","[[-1.5456643], [-0.5769145], [-4.1081643], [-3.8581643], [-2.7175393]]"
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.6542526298658298,competitor,"[[-4.6275053], [-3.2681298], [-1.8150052], [-0.7525051], [-3.721255]]","[[], [], [], [], []]","[[-7.1797533], [-7.4610033], [-3.0391283], [-0.8516282], [-1.0078782]]"
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",4.07149198354478,competitor,"[[-3.3008595], [-2.9571095], [-3.6446095], [-1.0695682], [-1.2227346]]","[[], [], [], [], []]","[[-1.5456643], [-0.5769145], [-4.1081643], [-3.8581643], [-2.7175393]]"
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.6728266281328894,competitor,"[[-3.9289982], [-2.5696237], [-2.3821237], [-3.3196237], [-5.9289985]]","[[], [], [], [], []]","[[-7.1797533], [-7.4610033], [-3.0391283], [-0.8516282], [-1.0078782]]"
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.740828684401224,competitor,"[[-3.0846188], [-2.928369], [-3.053369], [-1.3033689], [-1.928369]]","[[], [], [], [], []]","[[-1.5456643], [-0.5631329], [-4.1081643], [-3.8581643], [-2.7175393]]"
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,likely,"very unlikely, unlikely, neutral, likely, very likely",4.136742979197012,target,"[[-6.7211704], [-7.15867], [-4.877421], [-0.48679557], [-2.1742957]]","[[], [], [], [], []]","[[-7.1797533], [-7.4610033], [-3.0391283], [-0.8516282], [-1.0078782]]"
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how likely the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",4.091168382316073,target,"[[-3.9854035], [-3.6885288], [-3.4072785], [-0.5322787], [-1.5166538]]","[[], [], [], [], []]","[[-1.5456643], [-0.5769145], [-4.1081643], [-3.8581643], [-2.7175393]]"
