model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.5325946660842904,distractor_plausibleliteral,"[[-3.1977768], [-1.8071518], [-2.7134018], [-0.80715185], [-2.0884018]]","[[], [], [], [], []]","[[-6.042651], [-2.8707764], [-2.3551517], [-0.43327668], [-2.8864014]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.556364641986407,distractor_plausibleliteral,"[[-2.5582862], [-0.7457862], [-3.1989112], [-1.6364112], [-3.355161]]","[[], [], [], [], []]","[[-7.461674], [-6.9772997], [-6.383549], [-1.6647997], [-0.3522997]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.195479575309956,distractor_plausibleliteral,"[[-4.538071], [-3.6005716], [-3.0380716], [-0.70994663], [-1.1786966]]","[[], [], [], [], []]","[[-7.392623], [-7.205123], [-4.158248], [-0.68949825], [-1.1426232]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.3611975970497623,distractor_plausibleliteral,"[[-2.2952218], [-0.74834675], [-2.1702218], [-2.2170966], [-3.8420968]]","[[], [], [], [], []]","[[-1.8577667], [-0.76401675], [-3.6858916], [-4.1546416], [-5.2171416]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8275290218764524,distractor_plausibleliteral,"[[-1.0020461], [-1.0176711], [-3.564546], [-2.986421], [-3.470796]]","[[], [], [], [], []]","[[-7.4432964], [-7.1932964], [-4.990172], [-0.427672], [-1.6307969]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.837256027795886,distractor_plausibleliteral,"[[-2.358893], [-2.296393], [-2.968268], [-1.390143], [-0.937018]]","[[], [], [], [], []]","[[-6.7214484], [-7.2995734], [-6.3620734], [-3.1433237], [-0.20582375]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.142686547151094,distractor_plausibleliteral,"[[-0.29415447], [-2.3410294], [-5.497279], [-6.0441537], [-6.0129037]]","[[], [], [], [], []]","[[-4.355556], [-2.7461805], [-2.527431], [-0.9024309], [-1.324306]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.111832701546646,distractor_plausibleliteral,"[[-3.9485023], [-3.0891275], [-2.9641273], [-0.8860025], [-1.2297525]]","[[], [], [], [], []]","[[-6.1376305], [-4.622006], [-2.387631], [-0.29388103], [-2.8720057]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.507504840993705,distractor_plausibleliteral,"[[-2.914052], [-1.8359272], [-2.039052], [-1.023427], [-1.7265521]]","[[], [], [], [], []]","[[-0.6349639], [-1.6662139], [-4.6349635], [-4.619339], [-4.0568385]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.5062292574381386,distractor_plausibleliteral,"[[-1.7958206], [-1.1395706], [-2.6395705], [-1.9520705], [-2.7176955]]","[[], [], [], [], []]","[[-7.373596], [-7.092346], [-3.9985967], [-0.29547173], [-1.8579717]]"
