model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8732218203189532,distractor_nonsequitut,"[[-10.535775184631348, -4.7729172706604], [-10.535775184631348, -4.929447650909424], [-10.535775184631348, -5.890605449676514], [-10.535775184631348, -7.129953861236572], [-10.535775184631348, -7.548135757446289]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.323390007019043, -5.296307563781738], [-10.323390007019043, -5.622769355773926], [-10.323390007019043, -6.631125450134277], [-10.323390007019043, -7.892444610595703], [-10.323390007019043, -7.996200084686279]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9510302739029377,distractor_nonsequitut,"[[-10.587065696716309, -4.648855209350586], [-10.587065696716309, -4.651149749755859], [-10.587065696716309, -5.537775039672852], [-10.587065696716309, -6.758629322052002], [-10.587065696716309, -7.2666096687316895]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.395074844360352, -5.1333513259887695], [-10.395074844360352, -5.295290946960449], [-10.395074844360352, -6.198611259460449], [-10.395074844360352, -7.513790607452393], [-10.395074844360352, -7.792862415313721]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9502917145727248,distractor_nonsequitut,"[[-10.561478614807129, -4.564395904541016], [-10.561478614807129, -4.631977081298828], [-10.561478614807129, -5.5038981437683105], [-10.561478614807129, -6.609262466430664], [-10.561478614807129, -7.156294345855713]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.431631088256836, -5.118896961212158], [-10.431631088256836, -5.383145809173584], [-10.431631088256836, -6.191342353820801], [-10.431631088256836, -7.458234786987305], [-10.431631088256836, -7.767906188964844]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8915552311979997,distractor_nonsequitut,"[[-10.518630981445312, -4.923482894897461], [-10.518630981445312, -4.983397960662842], [-10.518630981445312, -5.985165596008301], [-10.518630981445312, -7.192866802215576], [-10.518630981445312, -7.7285284996032715]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.387066841125488, -5.282938003540039], [-10.387066841125488, -5.4058990478515625], [-10.387066841125488, -6.421742916107178], [-10.387066841125488, -7.642863750457764], [-10.387066841125488, -7.9353413581848145]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9548851377960645,distractor_nonsequitut,"[[-10.633016586303711, -4.628140449523926], [-10.633016586303711, -4.59677267074585], [-10.633016586303711, -5.547373294830322], [-10.633016586303711, -6.705152988433838], [-10.633016586303711, -7.188769340515137]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.577505111694336, -5.035273551940918], [-10.577505111694336, -5.233268737792969], [-10.577505111694336, -6.071383476257324], [-10.577505111694336, -7.347835063934326], [-10.577505111694336, -7.608535289764404]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.0270091567112347,target,"[[-9.962176322937012, -4.6058549880981445], [-9.962176322937012, -4.697617530822754], [-9.962176322937012, -5.361686706542969], [-9.962176322937012, -6.506932735443115], [-9.962176322937012, -6.899613857269287]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.5000581741333, -5.030147552490234], [-10.5000581741333, -5.205150604248047], [-10.5000581741333, -5.981758117675781], [-10.5000581741333, -7.257574558258057], [-10.5000581741333, -7.683212757110596]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9353302366407097,target,"[[-10.072900772094727, -4.781164169311523], [-10.072900772094727, -4.9553351402282715], [-10.072900772094727, -5.778995513916016], [-10.072900772094727, -6.979660987854004], [-10.072900772094727, -7.250637531280518]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.532306671142578, -5.374436378479004], [-10.532306671142578, -5.439986705780029], [-10.532306671142578, -6.449741363525391], [-10.532306671142578, -7.761516094207764], [-10.532306671142578, -8.15688419342041]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.948066769458136,target,"[[-10.112569808959961, -4.882748603820801], [-10.112569808959961, -5.12691593170166], [-10.112569808959961, -5.905490398406982], [-10.112569808959961, -7.063292503356934], [-10.112569808959961, -7.211625576019287]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.247000694274902, -5.336220741271973], [-10.247000694274902, -5.693681240081787], [-10.247000694274902, -6.481837749481201], [-10.247000694274902, -7.642913818359375], [-10.247000694274902, -7.738814353942871]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9231623686935289,target,"[[-10.031983375549316, -4.877623558044434], [-10.031983375549316, -5.114428997039795], [-10.031983375549316, -5.9121994972229], [-10.031983375549316, -7.049694061279297], [-10.031983375549316, -7.41537618637085]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.404563903808594, -5.323160171508789], [-10.404563903808594, -5.519627571105957], [-10.404563903808594, -6.544057846069336], [-10.404563903808594, -7.693538188934326], [-10.404563903808594, -7.937739372253418]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.952496105971816,target,"[[-10.107479095458984, -4.767698287963867], [-10.107479095458984, -4.962472915649414], [-10.107479095458984, -5.73485803604126], [-10.107479095458984, -6.850094318389893], [-10.107479095458984, -7.229109764099121]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.408799171447754, -5.3113884925842285], [-10.408799171447754, -5.502224922180176], [-10.408799171447754, -6.483116626739502], [-10.408799171447754, -7.6396355628967285], [-10.408799171447754, -7.930081367492676]]"
