model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.465497955606831,distractor_plausibleliteral,"[[-9.66336727142334], [-10.398247718811035], [-10.140381813049316], [-10.246499061584473], [-11.285462379455566]]","[[], [], [], [], []]","[[-9.547368049621582], [-10.467668533325195], [-9.350611686706543], [-8.79280948638916], [-10.764938354492188]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.1556160684404801,distractor_plausibleliteral,"[[-9.52073860168457], [-11.732762336730957], [-13.893172264099121], [-14.768816947937012], [-14.558547019958496]]","[[], [], [], [], []]","[[-10.489137649536133], [-11.697065353393555], [-10.776466369628906], [-8.435084342956543], [-8.8642578125]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.631649985559792,distractor_plausibleliteral,"[[-9.69127082824707], [-10.582069396972656], [-10.160635948181152], [-10.037679672241211], [-10.92056655883789]]","[[], [], [], [], []]","[[-9.845521926879883], [-11.04835319519043], [-10.289617538452148], [-8.753334045410156], [-10.233085632324219]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.4177887037201815,distractor_plausibleliteral,"[[-9.44146728515625], [-11.108951568603516], [-12.34129524230957], [-12.740470886230469], [-12.79286003112793]]","[[], [], [], [], []]","[[-9.230480194091797], [-11.423218727111816], [-13.150534629821777], [-13.704901695251465], [-13.50400447845459]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.4237336664758982,distractor_plausibleliteral,"[[-9.739433288574219], [-11.36426830291748], [-12.23017406463623], [-13.207207679748535], [-13.3233060836792]]","[[], [], [], [], []]","[[-9.59874153137207], [-10.657940864562988], [-10.168710708618164], [-8.858199119567871], [-10.189231872558594]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.026279905046178,target,"[[-10.029129028320312], [-11.107056617736816], [-10.495036125183105], [-9.781750679016113], [-10.573637962341309]]","[[], [], [], [], []]","[[-10.238729476928711], [-11.517868041992188], [-10.697702407836914], [-8.564139366149902], [-8.832891464233398]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.3009331951667082,target,"[[-9.633456230163574], [-11.536261558532715], [-12.70048999786377], [-13.582527160644531], [-13.666590690612793]]","[[], [], [], [], []]","[[-9.568013191223145], [-10.675345420837402], [-9.983565330505371], [-8.7697172164917], [-10.02823543548584]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6292866145367713,target,"[[-9.449210166931152], [-10.760104179382324], [-10.311612129211426], [-9.730412483215332], [-10.810449600219727]]","[[], [], [], [], []]","[[-9.572052955627441], [-10.483524322509766], [-10.315231323242188], [-9.9704008102417], [-11.082777976989746]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.402228146789773,target,"[[-9.405051231384277], [-10.873116493225098], [-10.820040702819824], [-10.085592269897461], [-10.974681854248047]]","[[], [], [], [], []]","[[-9.41956615447998], [-11.678779602050781], [-13.315605163574219], [-13.897275924682617], [-13.762331008911133]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.3519274539731243,target,"[[-9.369827270507812], [-11.261870384216309], [-12.45156192779541], [-12.870142936706543], [-12.980008125305176]]","[[], [], [], [], []]","[[-10.171404838562012], [-11.403817176818848], [-10.693327903747559], [-8.127484321594238], [-9.050190925598145]]"
