model_name,phenomenon,metric,accuracy
google/flan-t5-xl,coherence,label_score,0.75
google/flan-t5-xl,deceits,label_score,0.73
google/flan-t5-xl,humour,label_score,0.296
google/flan-t5-xl,indirect_speech,label_score,0.83
google/flan-t5-xl,irony,label_score,0.544
google/flan-t5-xl,maxims,label_score,0.4526315789473684
google/flan-t5-xl,metaphor,label_score,0.71
gpt-3.5-turbo-instruct,coherence,label_score,0.58
gpt-3.5-turbo-instruct,deceits,label_score,0.61
gpt-3.5-turbo-instruct,humour,label_score,0.392
gpt-3.5-turbo-instruct,indirect_speech,label_score,0.65
gpt-3.5-turbo-instruct,irony,label_score,0.592
gpt-3.5-turbo-instruct,maxims,label_score,0.4210526315789473
gpt-3.5-turbo-instruct,metaphor,label_score,0.74
meta-llama/Llama-2-7b-hf,coherence,label_score,0.435
meta-llama/Llama-2-7b-hf,deceits,label_score,0.22
meta-llama/Llama-2-7b-hf,humour,label_score,0.168
meta-llama/Llama-2-7b-hf,indirect_speech,label_score,0.28
meta-llama/Llama-2-7b-hf,irony,label_score,0.224
meta-llama/Llama-2-7b-hf,maxims,label_score,0.1684210526315789
meta-llama/Llama-2-7b-hf,metaphor,label_score,0.23
text-davinci-002,coherence,label_score,0.63
text-davinci-002,deceits,label_score,0.91
text-davinci-002,humour,label_score,0.408
text-davinci-002,indirect_speech,label_score,0.86
text-davinci-002,irony,label_score,0.696
text-davinci-002,maxims,label_score,0.6947368421052632
text-davinci-002,metaphor,label_score,0.75
google/flan-t5-xl,coherence,free,0.8
gpt-3.5-turbo-instruct,coherence,free,0.78
meta-llama/Llama-2-7b-hf,coherence,free,0.305
text-davinci-002,coherence,free,0.605
google/flan-t5-xl,deceits,free,0.4
gpt-3.5-turbo-instruct,deceits,free,0.8
meta-llama/Llama-2-7b-hf,deceits,free,0.07
text-davinci-002,deceits,free,0.66
google/flan-t5-xl,humour,free,0.04
gpt-3.5-turbo-instruct,humour,free,0.424
text-davinci-002,humour,free,0.32
google/flan-t5-xl,indirect_speech,free,0.55
gpt-3.5-turbo-instruct,indirect_speech,free,0.83
text-davinci-002,indirect_speech,free,0.55
google/flan-t5-xl,irony,free,0.08
gpt-3.5-turbo-instruct,irony,free,0.744
meta-llama/Llama-2-7b-hf,irony,free,0.12
text-davinci-002,irony,free,0.528
google/flan-t5-xl,maxims,free,0.2105263157894736
gpt-3.5-turbo-instruct,maxims,free,0.4947368421052631
meta-llama/Llama-2-7b-hf,maxims,free,0.0736842105263157
text-davinci-002,maxims,free,0.5684210526315789
google/flan-t5-xl,metaphor,free,0.59
gpt-3.5-turbo-instruct,metaphor,free,0.89
meta-llama/Llama-2-7b-hf,metaphor,free,0.16
text-davinci-002,metaphor,free,1.0
meta-llama/Llama-2-7b-hf,indirect_speech,free,0.0
meta-llama/Llama-2-7b-hf,humour,free,0.0
google/flan-t5-xl,coherence,rating,0.475
google/flan-t5-xl,deceits,rating,0.05
google/flan-t5-xl,humour,rating,0.24
google/flan-t5-xl,irony,rating,0.48
google/flan-t5-xl,maxims,rating,0.1052631578947368
google/flan-t5-xl,metaphor,rating,0.25
gpt-3.5-turbo-instruct,coherence,rating,0.375
gpt-3.5-turbo-instruct,deceits,rating,0.6
gpt-3.5-turbo-instruct,humour,rating,0.4
gpt-3.5-turbo-instruct,indirect_speech,rating,0.7
gpt-3.5-turbo-instruct,irony,rating,0.44
