phenomenon,item_id,model,answer_label_complex,prob,seed
Humor,1,Human,AssociativeNonSequitur,0.0213903743315508,
Humor,1,Human,CorrectNonLiteral,0.9251336898395722,
Humor,1,Human,FunnyNonSequitur,0.013368983957219251,
Humor,1,Human,IncorrectStraightforward,0.026737967914438502,
Humor,1,Human,NeutralNonSequitur,0.013368983957219251,
Humor,2,Human,AssociativeNonSequitur,0.0106951871657754,
Humor,2,Human,CorrectNonLiteral,0.8048128342245989,
Humor,2,Human,FunnyNonSequitur,0.029411764705882353,
Humor,2,Human,IncorrectStraightforward,0.12299465240641712,
Humor,2,Human,NeutralNonSequitur,0.03208556149732621,
Humor,3,Human,AssociativeNonSequitur,0.3181818181818182,
Humor,3,Human,CorrectNonLiteral,0.6229946524064172,
Humor,3,Human,FunnyNonSequitur,0.0106951871657754,
Humor,3,Human,IncorrectStraightforward,0.034759358288770054,
Humor,3,Human,NeutralNonSequitur,0.013368983957219251,
Humor,4,Human,AssociativeNonSequitur,0.008021390374331552,
Humor,4,Human,CorrectNonLiteral,0.9278074866310161,
Humor,4,Human,FunnyNonSequitur,0.016042780748663103,
Humor,4,Human,IncorrectStraightforward,0.0481283422459893,
Humor,4,Human,NeutralNonSequitur,0.0,
Humor,5,Human,AssociativeNonSequitur,0.0213903743315508,
Humor,5,Human,CorrectNonLiteral,0.8582887700534759,
Humor,5,Human,FunnyNonSequitur,0.053475935828877004,
Humor,5,Human,IncorrectStraightforward,0.053475935828877004,
Humor,5,Human,NeutralNonSequitur,0.013368983957219251,
Humor,6,Human,AssociativeNonSequitur,0.0053475935828877,
Humor,6,Human,CorrectNonLiteral,0.9652406417112299,
Humor,6,Human,FunnyNonSequitur,0.008021390374331552,
Humor,6,Human,IncorrectStraightforward,0.01871657754010695,
Humor,6,Human,NeutralNonSequitur,0.00267379679144385,
Humor,7,Human,AssociativeNonSequitur,0.0106951871657754,
Humor,7,Human,CorrectNonLiteral,0.8529411764705882,
Humor,7,Human,FunnyNonSequitur,0.058823529411764705,
Humor,7,Human,IncorrectStraightforward,0.058823529411764705,
Humor,7,Human,NeutralNonSequitur,0.01871657754010695,
Humor,8,Human,AssociativeNonSequitur,0.0213903743315508,
Humor,8,Human,CorrectNonLiteral,0.9171122994652406,
Humor,8,Human,FunnyNonSequitur,0.0213903743315508,
Humor,8,Human,IncorrectStraightforward,0.040106951871657755,
Humor,8,Human,NeutralNonSequitur,0.0,
Humor,9,Human,AssociativeNonSequitur,0.008021390374331552,
Humor,9,Human,CorrectNonLiteral,0.7593582887700535,
Humor,9,Human,FunnyNonSequitur,0.10427807486631016,
Humor,9,Human,IncorrectStraightforward,0.12299465240641712,
Humor,9,Human,NeutralNonSequitur,0.0053475935828877,
Humor,10,Human,AssociativeNonSequitur,0.01871657754010695,
Humor,10,Human,CorrectNonLiteral,0.8155080213903744,
Humor,10,Human,FunnyNonSequitur,0.10695187165775401,
Humor,10,Human,IncorrectStraightforward,0.045454545454545456,
Humor,10,Human,NeutralNonSequitur,0.013368983957219251,
Humor,11,Human,AssociativeNonSequitur,0.00267379679144385,
Humor,11,Human,CorrectNonLiteral,0.9278074866310161,
Humor,11,Human,FunnyNonSequitur,0.013368983957219251,
Humor,11,Human,IncorrectStraightforward,0.05614973262032086,
Humor,11,Human,NeutralNonSequitur,0.0,
Humor,12,Human,AssociativeNonSequitur,0.008021390374331552,
Humor,12,Human,CorrectNonLiteral,0.9224598930481284,
Humor,12,Human,FunnyNonSequitur,0.00267379679144385,
Humor,12,Human,IncorrectStraightforward,0.05080213903743316,
Humor,12,Human,NeutralNonSequitur,0.016042780748663103,
Humor,13,Human,AssociativeNonSequitur,0.029411764705882353,
Humor,13,Human,CorrectNonLiteral,0.9064171122994652,
Humor,13,Human,FunnyNonSequitur,0.03208556149732621,
Humor,13,Human,IncorrectStraightforward,0.029411764705882353,
Humor,13,Human,NeutralNonSequitur,0.00267379679144385,
Humor,14,Human,AssociativeNonSequitur,0.026737967914438502,
Humor,14,Human,CorrectNonLiteral,0.9010695187165776,
Humor,14,Human,FunnyNonSequitur,0.0106951871657754,
Humor,14,Human,IncorrectStraightforward,0.058823529411764705,
Humor,14,Human,NeutralNonSequitur,0.00267379679144385,
Humor,15,Human,AssociativeNonSequitur,0.02406417112299465,
Humor,15,Human,CorrectNonLiteral,0.8502673796791443,
Humor,15,Human,FunnyNonSequitur,0.045454545454545456,
Humor,15,Human,IncorrectStraightforward,0.053475935828877004,
Humor,15,Human,NeutralNonSequitur,0.026737967914438502,
Humor,16,Human,AssociativeNonSequitur,0.0427807486631016,
Humor,16,Human,CorrectNonLiteral,0.7994652406417112,
Humor,16,Human,FunnyNonSequitur,0.013368983957219251,
Humor,16,Human,IncorrectStraightforward,0.06684491978609626,
Humor,16,Human,NeutralNonSequitur,0.07754010695187166,
Humor,17,Human,AssociativeNonSequitur,0.00267379679144385,
Humor,17,Human,CorrectNonLiteral,0.8877005347593583,
Humor,17,Human,FunnyNonSequitur,0.0374331550802139,
Humor,17,Human,IncorrectStraightforward,0.040106951871657755,
Humor,17,Human,NeutralNonSequitur,0.03208556149732621,
Humor,18,Human,AssociativeNonSequitur,0.0,
Humor,18,Human,CorrectNonLiteral,0.9491978609625669,
Humor,18,Human,FunnyNonSequitur,0.0213903743315508,
Humor,18,Human,IncorrectStraightforward,0.016042780748663103,
Humor,18,Human,NeutralNonSequitur,0.013368983957219251,
Humor,19,Human,AssociativeNonSequitur,0.06417112299465241,
Humor,19,Human,CorrectNonLiteral,0.41711229946524064,
Humor,19,Human,FunnyNonSequitur,0.0481283422459893,
Humor,19,Human,IncorrectStraightforward,0.46524064171123,
Humor,19,Human,NeutralNonSequitur,0.0053475935828877,
Humor,20,Human,AssociativeNonSequitur,0.03208556149732621,
Humor,20,Human,CorrectNonLiteral,0.8368983957219251,
Humor,20,Human,FunnyNonSequitur,0.08823529411764706,
Humor,20,Human,IncorrectStraightforward,0.040106951871657755,
Humor,20,Human,NeutralNonSequitur,0.00267379679144385,
Humor,21,Human,AssociativeNonSequitur,0.06684491978609626,
