model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-6.0815, -0.0295])","[tensor(0.0023), tensor(0.9709)]",tensor([-8.3492]),"tensor([-3.9814, -2.2981])","[tensor(0.0187), tensor(0.1004)]",0.0022181943,0.4865913987159729,0.0018743558,1.1834435,-6.111062,-3.0555310249328613,0.973178
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-6.0815, -3.7170])","[tensor(0.0023), tensor(0.0243)]",tensor([-9.4039]),"tensor([-3.9814, -1.1497])","[tensor(0.0187), tensor(0.3167)]",5.5531396e-05,0.013295318931341171,0.005910335,0.009395642,-9.798562,-4.899281024932861,1.9096591
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-4.7444, -0.0106])","[tensor(0.0087), tensor(0.9895)]",tensor([-8.3492]),"tensor([-3.9814, -2.2981])","[tensor(0.0187), tensor(0.1004)]",0.008608531,0.49907878041267395,0.0018743558,4.5927944,-4.7550015,-2.3775007724761963,0.7572273
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-4.7444, -6.8231])","[tensor(0.0087), tensor(0.0011)]",tensor([-9.4039]),"tensor([-3.9814, -1.1497])","[tensor(0.0187), tensor(0.3167)]",9.468865e-06,0.004894299432635307,0.005910335,0.001602086,-11.567501,-5.783750534057617,2.2544107
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. incoherent
B. coherent
Your answer:
",Is this story coherent or not?,A,target,incoherent,competitor,A,"tensor([-7.0328, -0.0680])","[tensor(0.0009), tensor(0.9343)]",tensor([-8.3492]),"tensor([-4.5002, -1.1443])","[tensor(0.0111), tensor(0.3184)]",0.0008244215,0.4675813615322113,0.0035368784,0.23309298,-7.1008286,-3.5504143238067627,1.2580061
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. incoherent
B. coherent
Your answer:
",Is this story coherent or not?,B,competitor,coherent,target,B,"tensor([-7.0328, -2.9586])","[tensor(0.0009), tensor(0.0519)]",tensor([-9.4039]),"tensor([-4.5002, -2.2459])","[tensor(0.0111), tensor(0.1058)]",4.5789606e-05,0.026386870071291924,0.0011754864,0.038953755,-9.991453,-4.995726585388184,1.4810768
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-7.7153, -3.5182])","[tensor(0.0004), tensor(0.0297)]",tensor([-8.3492]),"tensor([-3.9814, -2.2981])","[tensor(0.0187), tensor(0.1004)]",1.3223282e-05,0.015048709698021412,0.0018743558,0.0070548407,-11.233532,-5.616765975952148,1.7889241
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-7.7153, -0.0339])","[tensor(0.0004), tensor(0.9667)]",tensor([-9.4039]),"tensor([-3.9814, -1.1497])","[tensor(0.0187), tensor(0.3167)]",0.000431106,0.4835720956325531,0.005910335,0.07294104,-7.7491565,-3.8745782375335693,1.5102469
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,A,target,coherent,target,A,"tensor([-5.9589, -0.3890])","[tensor(0.0026), tensor(0.6777)]",tensor([-8.3492]),"tensor([-3.9814, -2.2981])","[tensor(0.0187), tensor(0.1004)]",0.0017504623,0.34016379714012146,0.0018743558,0.9339008,-6.3478756,-3.1739377975463867,1.0108902
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
A. coherent
B. incoherent
Your answer:
",Is this story coherent or not?,B,competitor,incoherent,competitor,B,"tensor([-5.9589, -1.2015])","[tensor(0.0026), tensor(0.3007)]",tensor([-9.4039]),"tensor([-3.9814, -1.1497])","[tensor(0.0187), tensor(0.3167)]",0.0007767629,0.1516651064157486,0.005910335,0.13142452,-7.1603756,-3.5801877975463867,1.3954983
