model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.0301424189140063,incorrect_literal,"[[-9.797698020935059], [-10.387955665588379], [-10.652828216552734], [-11.443819046020508], [-12.254056930541992]]","[[], [], [], [], []]","[[-9.569781303405762], [-9.808704376220703], [-9.166306495666504], [-9.202253341674805], [-11.134078025817871]]"
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",3.2359932710859005,incorrect_literal,"[[-10.118453979492188], [-11.276496887207031], [-10.72755241394043], [-9.596427917480469], [-10.304271697998047]]","[[], [], [], [], []]","[[-10.086130142211914], [-10.956911087036133], [-10.358352661132812], [-8.951589584350586], [-9.825754165649414]]"
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",1.9529317569721139,incorrect_literal,"[[-10.010734558105469], [-10.573102951049805], [-11.123661041259766], [-11.888702392578125], [-12.437774658203125]]","[[], [], [], [], []]","[[-9.635034561157227], [-10.052124977111816], [-9.7942476272583], [-9.71912670135498], [-10.925052642822266]]"
google/flan-t5-xl,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",1.2580310775234553,incorrect_literal,"[[-9.592053413391113], [-11.387361526489258], [-13.3383207321167], [-14.017254829406738], [-13.71082878112793]]","[[], [], [], [], []]","[[-9.53433895111084], [-10.160841941833496], [-9.815579414367676], [-9.53712272644043], [-10.81192398071289]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,Alex thinks that Richard's painting is mediocre.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.078294641642876,incorrect_literal,"[[-10.202320098876953], [-11.030157089233398], [-11.110856056213379], [-11.665632247924805], [-12.491401672363281]]","[[], [], [], [], []]","[[-9.37889289855957], [-10.365477561950684], [-9.471309661865234], [-8.20560073852539], [-10.439682960510254]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",2.5439382560448234,incorrect_literal,"[[-9.866116523742676], [-10.803472518920898], [-10.362022399902344], [-10.321832656860352], [-11.351493835449219]]","[[], [], [], [], []]","[[-9.832655906677246], [-11.01981258392334], [-10.247190475463867], [-8.161141395568848], [-9.558812141418457]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",1.9577306828200063,incorrect_literal,"[[-10.202747344970703], [-11.14358139038086], [-11.360414505004883], [-11.96950912475586], [-12.644363403320312]]","[[], [], [], [], []]","[[-9.48216438293457], [-10.48196792602539], [-9.861614227294922], [-8.465352058410645], [-10.288257598876953]]"
google/flan-t5-xl,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",2.0254870580111253,incorrect_literal,"[[-9.982232093811035], [-10.855969429016113], [-10.613465309143066], [-11.856047630310059], [-12.611352920532227]]","[[], [], [], [], []]","[[-9.114320755004883], [-9.946983337402344], [-9.489550590515137], [-9.667330741882324], [-10.995535850524902]]"
google/flan-t5-xl,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,She does not want to discuss the topic that Leslie has raised.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",1.6802996568385495,incorrect_literal,"[[-9.687370300292969], [-10.978946685791016], [-11.54254150390625], [-12.239259719848633], [-12.470945358276367]]","[[], [], [], [], []]","[[-9.310087203979492], [-10.339282989501953], [-10.041790008544922], [-8.990013122558594], [-10.601425170898438]]"
google/flan-t5-xl,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has Bob responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has Bob responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",2.3341914096757055,incorrect_literal,"[[-10.024031639099121], [-10.859188079833984], [-10.467358589172363], [-11.029420852661133], [-11.820391654968262]]","[[], [], [], [], []]","[[-9.963631629943848], [-10.90259075164795], [-10.13274097442627], [-8.443960189819336], [-9.5466947555542]]"
