model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not want to get into trouble for not studying. ,target,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,A,"[-10.281238, -6.9208045, -3.7684315e-06, -2.2159093e-06, -0.24817537, -3.311528, -2.4912305, -0.002235244, -0.00038865104, -8.150182, -1.3938419, -0.28499952, -10.834787]","[3.427007615068932e-05, 0.0009870355509301345, 0.9999962315756006, 0.9999977840931551, 0.7802231035539235, 0.036460419647229875, 0.08280800860380863, 0.9977672522975787, 0.9996114244750322, 0.0002886828145744959, 0.24812021806711174, 0.7520146152863113, 1.9702067076179733e-05]",[],"[-13.864868, -9.440363, -0.19965751, -0.07680735, -0.075351626, -3.608037, -4.155559, -1.9632123, -2.213631, -1.8227268, -6.3869634, -0.18209356, -12.36328]","[9.518408409574993e-07, 7.945156239814632e-05, 0.819011208197399, 0.9260682434696446, 0.9274173249442011, 0.027105001796243953, 0.01567702522267885, 0.14040666738792304, 0.10930304774179223, 0.1615845409353287, 0.0016833601395577823, 0.833523352322666, 4.272634252419079e-06]",8.434118373502936e-20,0.4537175960083449,3.360456335369046e-25,250981.34097840314,-43.919416669380794,-3.378416666875446,0.779368746291791
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He has been reading for some time.,incorrect_literal,He does not want to get into trouble for not studying. ,target,B,"[-10.281238, -1.2344191, -1.5773073, -8.7612095, -8.977895, -4.175857, -0.000113805574, -6.308127]","[3.427007615068932e-05, 0.2910037573611547, 0.2065304747474586, 0.0001566949713586688, 0.00012616815213081878, 0.01536202076030758, 0.9998862009016087, 0.001821441606406777]",[],"[-13.864868, -8.90981, -0.742305, -9.584534, -4.2052646, -5.9907875, -1.4854846e-05, -6.9642267]","[9.518408409574993e-07, 0.00013505749247467975, 0.47601543443156874, 6.878437131150284e-05, 0.014916838551353598, 0.0025016931908902747, 0.9999851452643327, 0.0009450934939192743]",1.1392440954613772e-18,0.18936512857207205,1.4844753215822024e-22,7674.388916395953,-41.316166705574,-5.16452083819675,0.8220190671063795
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,He has been reading for some time.,incorrect_literal,C,"[-10.281238, -4.638031, -3.666513, -4.6091976, -6.6619094e-07, -2.2930222, -0.6820221, -1.6207987e-06, -0.9983192, -5.197998e-06, -13.401101, -0.014315392, -3.704967]","[3.427007615068932e-05, 0.009676732367718361, 0.025565461463923512, 0.009959806851433712, 0.9999993338092819, 0.10096087635570855, 0.505593597197724, 0.9999983792026135, 0.3684982928734411, 0.9999948020155096, 1.5134768564684487e-06, 0.9857865860256295, 0.024601029188206405]",[],"[-13.868688, -9.896269, -6.7407265, -5.4180536, -0.0061927885, -5.4004784, -0.047526766, -0.0013520437, -5.8366294, -1.8052652, -8.613298, -1.3002205, -3.8006415]","[9.482117449315509e-07, 5.0362233454495234e-05, 0.00118178827548264, 0.004435772037573058, 0.9938263472930197, 0.004514420727054484, 0.9535849491362917, 0.9986488698992949, 0.0029186637129472296, 0.16443084373458916, 0.00018167376124625473, 0.27247170639844365, 0.02235642560807093]",5.829713652187384e-20,0.3869746677618614,5.680509364911012e-28,102626600.49815284,-44.28873397698764,-3.406825690537511,0.7059614688965402
text-davinci-002,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,D,"[-10.281238, -6.9208045, -3.7684315e-06, -2.2159093e-06, -0.24817537, -16.034843, -0.32370046, -4.4858594, -0.078332305, -13.655587, -1.6396428, -7.9478745, -7.101521, -2.223877, -0.025778694, -3.8879933, -0.04434916, -0.43518102, -7.186982]","[3.427007615068932e-05, 0.0009870355509301345, 0.9999962315756006, 0.9999977840931551, 0.7802231035539235, 1.0868163590586881e-07, 0.7234669172072137, 0.0112672003267887, 0.9246571073044646, 1.173421168860435e-06, 0.19404934433860704, 0.0003534125452436695, 0.0008238508926096913, 0.10818884651494953, 0.9745507396715365, 0.02048641490649976, 0.9566198857548899, 0.6471475098322224, 0.0007563683991606578]",[],"[-13.856958, -9.461085, -0.20247805, -0.07463554, -0.07473921, -6.516516, -1.2420142, -7.158225, -0.82203674, -2.055345, -9.362271, -1.808116, -4.074771, -2.7413363, -0.0012678908, -1.7030379, -0.02423216, -1.2073162, -11.401818]","[9.593997581146125e-07, 7.782210820409605e-05, 0.8167044090631461, 0.9280816733436564, 0.9279854641036731, 0.001478812319788895, 0.2888019268694769, 0.0007784350498778767, 0.43953552264159346, 0.12804865117150604, 8.590478725226525e-05, 0.16396275182050252, 0.01699610633970847, 0.06448411916450345, 0.998732912633949, 0.1821293919002141, 0.9760590815755492, 0.2989986561748636, 1.1175149941173278e-05]",1.4496437758822031e-36,0.38650564761298684,8.998958766241764e-33,0.0001610901676003143,-82.52174549334079,-4.343249762807409,1.1183596618201477
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not want to hurt Monica by saying that he dislikes the gift.,target,He does not want to hurt Monica by saying that he dislikes the gift.,target,A,"[-11.463905, -11.208458, -0.0053855525, -0.001002707, -0.0018625472, -0.043888252, -0.7925092, -10.214708, -5.3265038, -0.13074, -0.00020394142, -5.1399627, -4.277735e-07, -0.88304806, -0.31357092, -0.70345396]","[1.0502418436881644e-05, 1.3559027450007721e-05, 0.9946289235889606, 0.9989977955426822, 0.9981391862646491, 0.9570609011391454, 0.45270743545042125, 3.662761843781121e-05, 0.004861035489895931, 0.8774458806649158, 0.9997960793746378, 0.005857908209236852, 0.9999995722265915, 0.4135205533291471, 0.7308325465214468, 0.4948730766996849]",[],"[-13.864868, -9.440363, -0.19965751, -0.07680735, -0.075351626, -4.5168486, -17.592089, -8.335447, -2.1328113, -1.8315957, -0.6698438, -4.4340963, -1.7400124e-06, -1.5667336, -1.3651564, -2.8975255]","[9.518408409574993e-07, 7.945156239814632e-05, 0.819011208197399, 0.9260682434696446, 0.9274173249442011, 0.010923393465788238, 2.2900914332497215e-08, 0.00023986195202716816, 0.11850367573823117, 0.1601577999636932, 0.5117885129091633, 0.011865784173017532, 0.9999982599891138, 0.20872585220547488, 0.2553407375736186, 0.05515954361119418]",8.373599877937379e-21,0.5580488489728588,1.0815080003155199e-30,7742522362.751324,-46.2292030678935,-2.889325191743344,0.6699962530355685
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He likes the gift very much.,incorrect_literal,He likes the gift very much.,incorrect_literal,B,"[-11.463905, -10.962437, -0.01571338, -2.193529, -14.823717, -4.9586424e-06, -2.3084776]","[1.0502418436881644e-05, 1.734099858060214e-05, 0.9844094310551554, 0.11152249048909453, 3.6487281359240743e-07, 0.999995041369894, 0.0994124819764044]",[],"[-13.86653, -12.825343, -3.8801613, -7.7224073, -6.6459055, -7.8540467e-07, -1.7642775]","[9.502601953601638e-07, 2.6916854479000507e-06, 0.02064749447223969, 0.0004427933833465079, 0.0012993313408914925, 0.9999992145956385, 0.17131051362922498]",7.2524027535551415e-19,0.3136239504543399,5.205217913985975e-21,139.32947425829295,-41.767783938642395,-5.966826276948913,0.8942965197552992
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,C,"[-11.463905, -7.574359, -4.7180376, -1.3823812e-06, -11.7598295, -0.13185166, -0.08452448, -11.64865, -3.076318e-07, -7.819387, -0.21701416, -3.829628]","[1.0502418436881644e-05, 0.0005134494374233967, 0.008932690872295162, 0.9999986176197555, 7.8121565927176e-06, 0.8764710011448948, 0.9189491592260621, 8.73083103177597e-06, 0.9999996923682474, 0.00040186795236882685, 0.8049185715773322, 0.021717693109180883]",[],"[-13.868688, -9.896269, -19.249773, -0.0455664, -6.0993137, -0.14940092, -0.06613889, -10.57347, -4.361666e-06, -0.5507611, -3.5466821, -7.359229]","[9.482117449315509e-07, 5.0362233454495234e-05, 4.364452871306045e-09, 0.9554561581767209, 0.002244407527926514, 0.8612237638431115, 0.9360008541046438, 2.5585877982433395e-05, 0.999995638343512, 0.5765108609432038, 0.02882010341818369, 0.0006366891576906396]",1.858973266085894e-26,0.3859941490594684,9.751552510144994e-32,190633.56979844157,-59.247188090013,-4.937265674167749,0.8297310006061328
text-davinci-002,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,D,"[-11.463905, -11.208458, -0.0053855525, -8.4581785, -3.468658, -10.810594, -0.0011318288, -0.0009883279, -0.23137465, -1.7282485, -9.193519, -0.00039461427, -0.5998702, -0.0035953987, -4.742427, -7.0986037, -8.276232]","[1.0502418436881644e-05, 1.3559027450007721e-05, 0.9946289235889606, 0.0002121581650290465, 0.031158817749072646, 2.0184531787294815e-05, 0.9988688114766323, 0.9990121603351603, 0.7934421472430131, 0.17759519570509652, 0.00010169636478929341, 0.9996054635799705, 0.5488828764677917, 0.996411057006642, 0.008717463207123266, 0.0008262578219791844, 0.0002544943303054608]",[],"[-13.865008, -9.511357, -0.20389886, -5.564242, -2.7630908, -9.037798, -0.024340376, -0.008961257, -7.9865913, -3.242224, -1.3868518, -6.6713445e-05, -0.49036595, -0.496429, -0.6236869, -6.450483, -11.928551]","[9.517075925673702e-07, 7.400654668181875e-05, 0.8155448512224597, 0.0038324844677456275, 0.0630964481653149, 0.0001188322171106987, 0.9759534620809401, 0.9910787753940739, 0.0003399910378385031, 0.039076891380283425, 0.24986067911501939, 0.9999332887802924, 0.6124022445717412, 0.6087004525578189, 0.5359647419601621, 0.0015797589608582574, 6.599273438945174e-06]",2.7083210106609865e-34,0.38528010405995533,1.1038201415989784e-32,0.02453589048246348,-77.29156427217,-4.5465626042452945,1.0503862393832422
text-davinci-002,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,Dan does not want his mom to be angry with him for breaking the vase.,target,Dan does not want his mom to be angry with him for breaking the vase.,target,A,"[-5.2766995, -9.174289, -6.6294406e-06, -3.051303e-06, -3.450114, -10.465888, -5.460492e-07, -1.0594475, -2.5145307, -0.60545284, -2.2159093e-06, -6.719529, -0.0055709803, -0.5057173, -2.9311614e-06, -7.1062755e-06, -2.3379903]","[0.005109266127759483, 0.00010367091029183117, 0.9999933705813747, 0.9999969487016552, 0.03174201758179614, 2.8491977543986827e-05, 0.9999994539509491, 0.3466472800539054, 0.08090087007752002, 0.5458271982780204, 0.9999977840931551, 0.0012071066273076506, 0.9944445088341827, 0.6030728360983013, 0.9999970688428959, 0.9999928937497495, 0.0965214225439894]",[],"[-21.374659, -12.036725, -0.0029172723, -0.65558654, -3.4334538, -8.186449, -0.0021013182, -4.066965, -2.4016464, -0.8959081, -0.0143365525, -5.4859257, -2.5540175, -1.7299978, -1.3497273, -2.3360508e-06, -3.371369]","[5.213189882575475e-10, 5.922659322802981e-06, 0.9970869788039555, 0.5191374783738026, 0.032275275702277936, 0.00027840073205487884, 0.9979008880234924, 0.017129297113068848, 0.09056871813520588, 0.40823671050776716, 0.9857657265092756, 0.004144696557294368, 0.07776860219599083, 0.17728479999600877, 0.25931096510508445, 0.9999976639519286, 0.034342590141107354]",5.123640217717831e-19,0.5120930699429646,4.552903543066559e-30,112535663654.03073,-42.115251600438995,-2.477367741202294,0.6233590478379157
text-davinci-002,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.
Your answer:
",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,Dan wants his mom to know that he knocked it over.,incorrect_lexical_overlap,B,"[-5.2766995, -8.947764, -0.4543839, -12.98519, -0.30400786, -9.595086, -0.01566555, -2.0037165, -0.001190132, -6.289782e-05, -3.8217877e-05, -5.8796654]","[0.005109266127759483, 0.00013002757690066047, 0.6348389717776427, 2.2940539996913316e-06, 0.7378550668869732, 6.806237457937944e-05, 0.9844565164842819, 0.13483324315031778, 0.998810575926219, 0.9999371041580264, 0.9999617828532937, 0.0027957205666554316]",[],"[-21.371803, -14.0106535, -1.3971131, -5.3789845, -5.6162367, -7.6951523, -9.839131, -0.46168438, -1.0797995, -2.7543566, -2.6060465e-05, -4.397837]","[5.228100034442137e-10, 8.227170488007833e-07, 0.24730989329955044, 0.0046125035498528226, 0.003638307419936158, 0.0004550276825931445, 5.332362922420472e-05, 0.6302212189762942, 0.3396636213741997, 0.06364995888075892, 0.999973939874571, 0.012303924530188175]",1.800801605546327e-20,0.4582332193280541,7.261093434716386e-33,2480069457495.784,-45.463469957696994,-3.7886224964747495,0.6143481556675704
