model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",1.7469996782825772,competitor,"[[-10.783750534057617, -4.763832092285156], [-10.783750534057617, -5.504945755004883], [-10.783750534057617, -6.350256443023682], [-10.783750534057617, -7.56389045715332], [-10.783750534057617, -7.400157451629639]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.709872245788574, -5.394828796386719], [-10.709872245788574, -6.253789901733398], [-10.709872245788574, -7.1651201248168945], [-10.709872245788574, -8.399887084960938], [-10.709872245788574, -7.951744556427002]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8437472598726994,competitor,"[[-10.805304527282715, -4.6251325607299805], [-10.805304527282715, -5.2064900398254395], [-10.805304527282715, -5.965954303741455], [-10.805304527282715, -7.125129222869873], [-10.805304527282715, -7.0587158203125]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.72392463684082, -5.208003997802734], [-10.72392463684082, -5.890298366546631], [-10.72392463684082, -6.7028326988220215], [-10.72392463684082, -7.889081001281738], [-10.72392463684082, -7.594057559967041]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8072031332414702,competitor,"[[-10.807747840881348, -4.559199810028076], [-10.807747840881348, -5.226871490478516], [-10.807747840881348, -5.982678413391113], [-10.807747840881348, -7.099367141723633], [-10.807747840881348, -7.1140456199646]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.8521728515625, -5.125753402709961], [-10.8521728515625, -5.947769641876221], [-10.8521728515625, -6.686105251312256], [-10.8521728515625, -7.875073432922363], [-10.8521728515625, -7.697829723358154]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",1.7885369118328294,competitor,"[[-10.807883262634277, -4.9132585525512695], [-10.807883262634277, -5.508194923400879], [-10.807883262634277, -6.330174922943115], [-10.807883262634277, -7.598489284515381], [-10.807883262634277, -7.561344146728516]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.787611961364746, -5.259425163269043], [-10.787611961364746, -5.904717922210693], [-10.787611961364746, -6.849268436431885], [-10.787611961364746, -8.018170356750488], [-10.787611961364746, -7.816533088684082]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8197519154973514,competitor,"[[-10.934996604919434, -4.553621292114258], [-10.934996604919434, -5.092418670654297], [-10.934996604919434, -5.930641174316406], [-10.934996604919434, -7.105480670928955], [-10.934996604919434, -7.10953950881958]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.92161750793457, -5.113134860992432], [-10.92161750793457, -5.908999919891357], [-10.92161750793457, -6.652958393096924], [-10.92161750793457, -7.891168594360352], [-10.92161750793457, -7.586402893066406]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",1.9005140458127683,target,"[[-10.228693962097168, -4.654932498931885], [-10.228693962097168, -5.279040336608887], [-10.228693962097168, -5.807741165161133], [-10.228693962097168, -7.08903169631958], [-10.228693962097168, -6.938250541687012]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.663761138916016, -5.069728374481201], [-10.663761138916016, -5.804317951202393], [-10.663761138916016, -6.49827766418457], [-10.663761138916016, -7.694936275482178], [-10.663761138916016, -7.481709003448486]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",1.7719950253893837,target,"[[-10.356095314025879, -4.813761234283447], [-10.356095314025879, -5.619481086730957], [-10.356095314025879, -6.266886234283447], [-10.356095314025879, -7.616058826446533], [-10.356095314025879, -7.380753993988037]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.85792350769043, -5.318188667297363], [-10.85792350769043, -5.955407619476318], [-10.85792350769043, -6.919876575469971], [-10.85792350769043, -8.184749603271484], [-10.85792350769043, -7.939413070678711]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8324560493667208,target,"[[-10.43149185180664, -4.9098663330078125], [-10.43149185180664, -5.704889297485352], [-10.43149185180664, -6.260194778442383], [-10.43149185180664, -7.5326128005981445], [-10.43149185180664, -7.277342796325684]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.498414039611816, -5.430743217468262], [-10.498414039611816, -6.284879207611084], [-10.498414039611816, -6.920441627502441], [-10.498414039611816, -8.194555282592773], [-10.498414039611816, -7.782440662384033]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8197207803438227,target,"[[-10.435609817504883, -4.961873531341553], [-10.435609817504883, -5.748855113983154], [-10.435609817504883, -6.3472113609313965], [-10.435609817504883, -7.561196804046631], [-10.435609817504883, -7.390895366668701]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.782154083251953, -5.280640602111816], [-10.782154083251953, -5.98130989074707], [-10.782154083251953, -6.919003963470459], [-10.782154083251953, -8.001420021057129], [-10.782154083251953, -7.724382400512695]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,likely,"very unlikely, unlikely, neutral, likely, very likely",1.8487634385528064,target,"[[-10.488877296447754, -4.7625555992126465], [-10.488877296447754, -5.49857234954834], [-10.488877296447754, -6.059451580047607], [-10.488877296447754, -7.3032917976379395], [-10.488877296447754, -7.141149997711182]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.84912109375, -5.277801513671875], [-10.84912109375, -5.920353412628174], [-10.84912109375, -6.837721824645996], [-10.84912109375, -7.937998294830322], [-10.84912109375, -7.716909885406494]]"
