model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.769352363468819,competitor,"[[-10.444710731506348, -4.6198201179504395], [-10.444710731506348, -5.04166316986084], [-10.444710731506348, -6.211278438568115], [-10.444710731506348, -7.151103496551514], [-10.444710731506348, -7.453092098236084]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.685175895690918, -4.638214588165283], [-10.685175895690918, -4.742692470550537], [-10.685175895690918, -5.935892581939697], [-10.685175895690918, -6.849283218383789], [-10.685175895690918, -7.140589714050293]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8357990635087393,competitor,"[[-10.358546257019043, -4.4024200439453125], [-10.358546257019043, -4.914076328277588], [-10.358546257019043, -5.884217262268066], [-10.358546257019043, -6.604603290557861], [-10.358546257019043, -7.0087103843688965]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.639545440673828, -4.381621837615967], [-10.639545440673828, -4.561752796173096], [-10.639545440673828, -5.512803077697754], [-10.639545440673828, -6.112438201904297], [-10.639545440673828, -6.5414204597473145]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.818700368953412,competitor,"[[-10.396360397338867, -4.6108174324035645], [-10.396360397338867, -4.824044227600098], [-10.396360397338867, -6.061459064483643], [-10.396360397338867, -6.919720649719238], [-10.396360397338867, -7.491055488586426]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.685175895690918, -4.638214588165283], [-10.685175895690918, -4.742692470550537], [-10.685175895690918, -5.935892581939697], [-10.685175895690918, -6.849283218383789], [-10.685175895690918, -7.140589714050293]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9100255392624823,competitor,"[[-10.285658836364746, -4.3157639503479], [-10.285658836364746, -4.56494665145874], [-10.285658836364746, -5.556644439697266], [-10.285658836364746, -6.248244285583496], [-10.285658836364746, -6.948339462280273]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.639545440673828, -4.381621837615967], [-10.639545440673828, -4.561752796173096], [-10.639545440673828, -5.512803077697754], [-10.639545440673828, -6.112438201904297], [-10.639545440673828, -6.5414204597473145]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8168938478933783,competitor,"[[-10.734722137451172, -4.557673454284668], [-10.734722137451172, -4.789117813110352], [-10.734722137451172, -6.02330207824707], [-10.734722137451172, -6.883868217468262], [-10.734722137451172, -7.401930332183838]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.685175895690918, -4.638214588165283], [-10.685175895690918, -4.742692470550537], [-10.685175895690918, -5.935892581939697], [-10.685175895690918, -6.849283218383789], [-10.685175895690918, -7.140589714050293]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9327351236526238,competitor,"[[-10.619121551513672, -4.285166263580322], [-10.619121551513672, -4.542508125305176], [-10.619121551513672, -5.532347202301025], [-10.619121551513672, -6.1509013175964355], [-10.619121551513672, -6.775915145874023]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.639545440673828, -4.381621837615967], [-10.639545440673828, -4.561752796173096], [-10.639545440673828, -5.512803077697754], [-10.639545440673828, -6.112438201904297], [-10.639545440673828, -6.5414204597473145]]"
meta-llama/Llama-2-7b-hf,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.7723942111101358,competitor,"[[-10.450862884521484, -4.632491588592529], [-10.450862884521484, -5.105008125305176], [-10.450862884521484, -6.232792854309082], [-10.450862884521484, -7.141292095184326], [-10.450862884521484, -7.406336784362793]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.685175895690918, -4.638214588165283], [-10.685175895690918, -4.742692470550537], [-10.685175895690918, -5.935892581939697], [-10.685175895690918, -6.849283218383789], [-10.685175895690918, -7.140589714050293]]"
meta-llama/Llama-2-7b-hf,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8352443310000455,competitor,"[[-10.297089576721191, -4.359160423278809], [-10.297089576721191, -4.9629106521606445], [-10.297089576721191, -5.831997871398926], [-10.297089576721191, -6.577983379364014], [-10.297089576721191, -6.927059650421143]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.639545440673828, -4.381621837615967], [-10.639545440673828, -4.561752796173096], [-10.639545440673828, -5.512803077697754], [-10.639545440673828, -6.112438201904297], [-10.639545440673828, -6.5414204597473145]]"
meta-llama/Llama-2-7b-hf,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8452308678064542,competitor,"[[-10.366884231567383, -4.487936973571777], [-10.366884231567383, -4.765754222869873], [-10.366884231567383, -5.907507419586182], [-10.366884231567383, -6.7471795082092285], [-10.366884231567383, -7.134132385253906]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.685175895690918, -4.638214588165283], [-10.685175895690918, -4.742692470550537], [-10.685175895690918, -5.935892581939697], [-10.685175895690918, -6.849283218383789], [-10.685175895690918, -7.140589714050293]]"
meta-llama/Llama-2-7b-hf,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9440084541006293,competitor,"[[-10.147821426391602, -4.217496395111084], [-10.147821426391602, -4.575012683868408], [-10.147821426391602, -5.440178871154785], [-10.147821426391602, -6.08448600769043], [-10.147821426391602, -6.6216301918029785]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.639545440673828, -4.381621837615967], [-10.639545440673828, -4.561752796173096], [-10.639545440673828, -5.512803077697754], [-10.639545440673828, -6.112438201904297], [-10.639545440673828, -6.5414204597473145]]"
