model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
EleutherAI/pythia-12b,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,A,target,All houses in this town have chimneys.,distractor_plausibleliteral,A,"tensor([-1.0469, -1.2510], dtype=torch.float16)","[tensor(0.3511, dtype=torch.float16), tensor(0.2861, dtype=torch.float16)]","tensor([-3.5957], dtype=torch.float16)","tensor([-1.1270, -1.5840], dtype=torch.float16)","[tensor(0.3240, dtype=torch.float16), tensor(0.2052, dtype=torch.float16)]",0.10046,0.318603515625,0.06647,1.512,-2.297,-1.1484375,0.847
EleutherAI/pythia-12b,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,B,competitor,The people living in this town are very welcoming.,competitor,B,"tensor([-1.0469, -4.2266], dtype=torch.float16)","[tensor(0.3511, dtype=torch.float16), tensor(0.0146, dtype=torch.float16)]","tensor([-5.1289], dtype=torch.float16)","tensor([-1.1270, -4.9180], dtype=torch.float16)","[tensor(0.3240, dtype=torch.float16), tensor(0.0073, dtype=torch.float16)]",0.005127,0.182861328125,0.002369,2.164,-5.273,-2.63671875,0.872
EleutherAI/pythia-12b,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,C,distractor_plausibleliteral,The town is not one of the cleanest ones.,target,C,"tensor([-1.0469, -4.5703], dtype=torch.float16)","[tensor(0.3511, dtype=torch.float16), tensor(0.0104, dtype=torch.float16)]","tensor([-5.3906], dtype=torch.float16)","tensor([-1.1270, -5.1367], dtype=torch.float16)","[tensor(0.3240, dtype=torch.float16), tensor(0.0059, dtype=torch.float16)]",0.003635,0.1806640625,0.0019045,1.909,-5.617,-2.80859375,0.8965
EleutherAI/pythia-12b,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,D,distractor_literal,Mary found a job at a company installing chimneys.,distractor_nonsequitut,D,"tensor([-1.0469, -4.1250], dtype=torch.float16)","[tensor(0.3511, dtype=torch.float16), tensor(0.0162, dtype=torch.float16)]","tensor([-5.5391], dtype=torch.float16)","tensor([-1.1270, -4.5117], dtype=torch.float16)","[tensor(0.3240, dtype=torch.float16), tensor(0.0110, dtype=torch.float16)]",0.005672,0.18359375,0.003557,1.595,-5.17,-2.5859375,0.917
EleutherAI/pythia-12b,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,E,distractor_nonsequitut,The town is a chimney.,distractor_literal,E,"tensor([-1.0469, -3.5312], dtype=torch.float16)","[tensor(0.3511, dtype=torch.float16), tensor(0.0293, dtype=torch.float16)]","tensor([-5.8242], dtype=torch.float16)","tensor([-1.1270, -4.1133], dtype=torch.float16)","[tensor(0.3240, dtype=torch.float16), tensor(0.0164, dtype=torch.float16)]",0.01028,0.190185546875,0.0053,1.939,-4.58,-2.2890625,0.8735
EleutherAI/pythia-12b,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,A,target,Mike and his wife are very much in love with each other.,target,A,"tensor([-1.1934, -1.3594], dtype=torch.float16)","[tensor(0.3032, dtype=torch.float16), tensor(0.2568, dtype=torch.float16)]","tensor([-3.5957], dtype=torch.float16)","tensor([-1.1924, -1.6934], dtype=torch.float16)","[tensor(0.3035, dtype=torch.float16), tensor(0.1840, dtype=torch.float16)]",0.0779,0.280029296875,0.05582,1.3955,-2.553,-1.2763671875,0.8843
EleutherAI/pythia-12b,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,B,competitor,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,B,"tensor([-1.1934, -4.5469], dtype=torch.float16)","[tensor(0.3032, dtype=torch.float16), tensor(0.0106, dtype=torch.float16)]","tensor([-5.1289], dtype=torch.float16)","tensor([-1.1924, -4.9531], dtype=torch.float16)","[tensor(0.3035, dtype=torch.float16), tensor(0.0071, dtype=torch.float16)]",0.003214,0.1568603515625,0.002142,1.5,-5.742,-2.87109375,0.9346
EleutherAI/pythia-12b,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,C,distractor_plausibleliteral,Mike is worried that the bird flu virus affected their baby.,competitor,C,"tensor([-1.1934, -4.6484], dtype=torch.float16)","[tensor(0.3032, dtype=torch.float16), tensor(0.0096, dtype=torch.float16)]","tensor([-5.3906], dtype=torch.float16)","tensor([-1.1924, -4.6172], dtype=torch.float16)","[tensor(0.3035, dtype=torch.float16), tensor(0.0099, dtype=torch.float16)]",0.002903,0.1563720703125,0.002998,0.9683,-5.844,-2.921875,1.006
EleutherAI/pythia-12b,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,D,distractor_literal,Their baby is an egg.,distractor_literal,D,"tensor([-1.1934, -3.8984], dtype=torch.float16)","[tensor(0.3032, dtype=torch.float16), tensor(0.0203, dtype=torch.float16)]","tensor([-5.5391], dtype=torch.float16)","tensor([-1.1924, -3.9512], dtype=torch.float16)","[tensor(0.3035, dtype=torch.float16), tensor(0.0192, dtype=torch.float16)]",0.00615,0.1617431640625,0.005833,1.055,-5.094,-2.546875,0.99
EleutherAI/pythia-12b,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,E,distractor_nonsequitut,Their baby is growing bigger every day.,distractor_nonsequitut,E,"tensor([-1.1934, -3.2812], dtype=torch.float16)","[tensor(0.3032, dtype=torch.float16), tensor(0.0376, dtype=torch.float16)]","tensor([-5.8242], dtype=torch.float16)","tensor([-1.1924, -3.7559], dtype=torch.float16)","[tensor(0.3035, dtype=torch.float16), tensor(0.0234, dtype=torch.float16)]",0.01139,0.17041015625,0.007095,1.605,-4.477,-2.23828125,0.9043
