model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.943260415049657,incorrect_associate,"[[-10.641717910766602, -4.637859344482422], [-10.641717910766602, -5.013176918029785], [-10.641717910766602, -5.755105018615723], [-10.641717910766602, -6.567455291748047], [-10.641717910766602, -7.102744102478027]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.68482494354248, -4.717360973358154], [-10.68482494354248, -5.118583679199219], [-10.68482494354248, -6.023340225219727], [-10.68482494354248, -6.9223785400390625], [-10.68482494354248, -7.113583564758301]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9455081802186636,incorrect_associate,"[[-10.595352172851562, -4.882720947265625], [-10.595352172851562, -5.196061134338379], [-10.595352172851562, -5.971214771270752], [-10.595352172851562, -6.771599769592285], [-10.595352172851562, -7.4269561767578125]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.738360404968262, -4.972789764404297], [-10.738360404968262, -5.273463249206543], [-10.738360404968262, -6.226261138916016], [-10.738360404968262, -7.172874927520752], [-10.738360404968262, -7.488552570343018]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9422219873565822,incorrect_associate,"[[-10.615849494934082, -4.690725803375244], [-10.615849494934082, -4.967695713043213], [-10.615849494934082, -5.782552242279053], [-10.615849494934082, -6.59598970413208], [-10.615849494934082, -7.246991157531738]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.57305908203125, -4.8479461669921875], [-10.57305908203125, -5.172147750854492], [-10.57305908203125, -6.148015022277832], [-10.57305908203125, -7.073883056640625], [-10.57305908203125, -7.304834365844727]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.044731531135116,incorrect_associate,"[[-9.968976974487305, -4.663108825683594], [-9.968976974487305, -4.934713363647461], [-9.968976974487305, -5.481358528137207], [-9.968976974487305, -6.353298187255859], [-9.968976974487305, -6.961935997009277]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.216660499572754, -5.0917067527771], [-10.216660499572754, -5.436465740203857], [-10.216660499572754, -6.175002574920654], [-10.216660499572754, -7.222329139709473], [-10.216660499572754, -7.6307373046875]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.031114153170504,incorrect_associate,"[[-10.013602256774902, -4.404021739959717], [-10.013602256774902, -4.666660785675049], [-10.013602256774902, -5.249608993530273], [-10.013602256774902, -6.162351608276367], [-10.013602256774902, -6.696878433227539]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.320721626281738, -4.877664566040039], [-10.320721626281738, -5.255034446716309], [-10.320721626281738, -6.084169387817383], [-10.320721626281738, -7.077733993530273], [-10.320721626281738, -7.219155311584473]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9476218180496843,incorrect_associate,"[[-9.570268630981445, -4.735544204711914], [-9.570268630981445, -5.079174041748047], [-9.570268630981445, -6.102345943450928], [-9.570268630981445, -6.723171710968018], [-9.570268630981445, -6.870383262634277]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.06248950958252, -5.046192169189453], [-10.06248950958252, -5.5643157958984375], [-10.06248950958252, -6.708903789520264], [-10.06248950958252, -7.554935455322266], [-10.06248950958252, -7.343446731567383]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9910252698813735,incorrect_associate,"[[-10.143133163452148, -4.502313613891602], [-10.143133163452148, -4.647156715393066], [-10.143133163452148, -5.484600067138672], [-10.143133163452148, -6.232784271240234], [-10.143133163452148, -6.99239444732666]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.444762229919434, -5.028872489929199], [-10.444762229919434, -5.298839569091797], [-10.444762229919434, -6.306623458862305], [-10.444762229919434, -7.2172532081604], [-10.444762229919434, -7.624963760375977]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.132161720434269,incorrect_associate,"[[-9.837701797485352, -4.404977798461914], [-9.837701797485352, -4.44386100769043], [-9.837701797485352, -5.011427879333496], [-9.837701797485352, -5.925168991088867], [-9.837701797485352, -6.432389259338379]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-9.771224975585938, -4.71068000793457], [-9.771224975585938, -4.840982437133789], [-9.771224975585938, -5.499465465545654], [-9.771224975585938, -6.582968711853027], [-9.771224975585938, -6.934745788574219]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0344053842540517,incorrect_associate,"[[-10.368765830993652, -4.368607997894287], [-10.368765830993652, -4.494602203369141], [-10.368765830993652, -5.16073751449585], [-10.368765830993652, -6.057991027832031], [-10.368765830993652, -6.785502910614014]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.533476829528809, -4.840609073638916], [-10.533476829528809, -5.0802226066589355], [-10.533476829528809, -5.967030048370361], [-10.533476829528809, -6.913517951965332], [-10.533476829528809, -7.336157321929932]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.01604634047027,incorrect_associate,"[[-10.52145004272461, -4.389346599578857], [-10.52145004272461, -4.526366233825684], [-10.52145004272461, -5.220358371734619], [-10.52145004272461, -6.1693525314331055], [-10.52145004272461, -6.803659439086914]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.628521919250488, -4.831338882446289], [-10.628521919250488, -5.074479103088379], [-10.628521919250488, -6.002239227294922], [-10.628521919250488, -7.01788330078125], [-10.628521919250488, -7.475512981414795]]"
