model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.260672349483388,target,"[[-7.6634264], [-8.259818], [-2.6766286], [-0.9541948], [-1.3627535]]","[[], [], [], [], []]","[[-4.990542], [-5.6137547], [-1.6171254], [-2.792422], [-1.8380134]]"
text-davinci-002,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.1595912796385832,target,"[[-0.37660798], [-2.2446747], [-4.549251], [-8.226329], [-9.700018]]","[[], [], [], [], []]","[[-0.61841744], [-4.6628327], [-6.1977844], [-7.4061794], [-8.044009]]"
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.325637068071169,target,"[[-8.467315], [-8.912977], [-3.8409123], [-0.7618307], [-1.3125681]]","[[], [], [], [], []]","[[-4.8841286], [-5.6137547], [-1.6171254], [-2.792422], [-1.8380134]]"
text-davinci-002,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.3493931760653544,target,"[[-0.5772363], [-1.3748705], [-3.998684], [-7.9333243], [-9.062142]]","[[], [], [], [], []]","[[-0.61841744], [-4.6628327], [-6.26068], [-7.4061794], [-8.032262]]"
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.264653089545107,target,"[[-7.707478], [-7.9689317], [-3.257916], [-0.6506445], [-1.358742]]","[[], [], [], [], []]","[[-4.922906], [-5.6137547], [-1.6575805], [-2.8035138], [-1.8173152]]"
text-davinci-002,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.1693804997406072,target,"[[-0.45348376], [-2.3130736], [-4.341976], [-7.7468233], [-9.19262]]","[[], [], [], [], []]","[[-0.61841744], [-4.5711894], [-6.188138], [-7.4182568], [-8.044009]]"
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.8950322437019245,target,"[[-5.0290213], [-5.5245104], [-1.878871], [-0.76441294], [-2.2682266]]","[[], [], [], [], []]","[[-4.990542], [-5.600233], [-1.6171254], [-2.792422], [-1.8380134]]"
text-davinci-002,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.1961346871050118,target,"[[-0.63449347], [-2.2045505], [-4.9161696], [-7.4457245], [-8.99768]]","[[], [], [], [], []]","[[-0.61841744], [-4.586076], [-6.188138], [-7.4137993], [-8.044009]]"
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.7835214827681085,target,"[[-8.830127], [-9.279515], [-5.45687], [-1.7784323], [-0.43041986]]","[[], [], [], [], []]","[[-4.916571], [-5.6137547], [-1.653082], [-2.7986448], [-1.8380134]]"
text-davinci-002,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how plausible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.3734452140332505,target,"[[-0.6452817], [-1.3224363], [-4.11774], [-7.212024], [-8.9093485]]","[[], [], [], [], []]","[[-0.61318064], [-4.5711894], [-6.1983476], [-7.4089537], [-8.044009]]"
