model_name,temperature,seed,item_id,task,prompt,prior_prompt,question_number,question,item,item_type,correct1,correct2,correct3,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
EleutherAI/pythia-12b,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Laura look at all of today's letters?,Critical,Partial,No,Yes,Over50,A,Yes,No,No,A,"tensor([-1.0049, -1.6260], dtype=torch.float16)","[tensor(0.3660, dtype=torch.float16), tensor(0.1968, dtype=torch.float16)]","tensor([-3.5957], dtype=torch.float16)","tensor([-1.0322, -2.0781], dtype=torch.float16)","[tensor(0.3562, dtype=torch.float16), tensor(0.1251, dtype=torch.float16)]",0.072,0.28125,0.04456,1.616,-2.63,-1.3154296875,0.846
EleutherAI/pythia-12b,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Laura look at all of today's letters?,Critical,Partial,No,Yes,Over50,B,No,Yes,Yes,B,"tensor([-1.0049, -4.6875], dtype=torch.float16)","[tensor(0.3660, dtype=torch.float16), tensor(0.0092, dtype=torch.float16)]","tensor([-5.1289], dtype=torch.float16)","tensor([-1.0322, -5.6953], dtype=torch.float16)","[tensor(0.3562, dtype=torch.float16), tensor(0.0034, dtype=torch.float16)]",0.00337,0.1876220703125,0.001197,2.816,-5.69,-2.845703125,0.846
EleutherAI/pythia-12b,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did Laura say that some of today's letters had checks inside?,Critical,Partial,No,Yes,Over50,A,Yes,Yes,Yes,A,"tensor([-0.7900, -1.8926], dtype=torch.float16)","[tensor(0.4539, dtype=torch.float16), tensor(0.1506, dtype=torch.float16)]","tensor([-3.5957], dtype=torch.float16)","tensor([-0.9189, -2.1426], dtype=torch.float16)","[tensor(0.3989, dtype=torch.float16), tensor(0.1174, dtype=torch.float16)]",0.06836,0.30224609375,0.0468,1.46,-2.684,-1.341796875,0.8765
EleutherAI/pythia-12b,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did Laura say that some of today's letters had checks inside?,Critical,Partial,No,Yes,Over50,B,No,No,No,B,"tensor([-0.7900, -5.3672], dtype=torch.float16)","[tensor(0.4539, dtype=torch.float16), tensor(0.0047, dtype=torch.float16)]","tensor([-5.1289], dtype=torch.float16)","tensor([-0.9189, -6.1367], dtype=torch.float16)","[tensor(0.3989, dtype=torch.float16), tensor(0.0022, dtype=torch.float16)]",0.002117,0.229248046875,0.000863,2.453,-6.156,-3.078125,0.8726
EleutherAI/pythia-12b,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the letters have checks inside.,Critical,Partial,No,Yes,Over50,A,Less than 50 percent,Less than 50 percent,Less than 50 percent,A,"tensor([-1.0244, -1.8252], dtype=torch.float16)","[tensor(0.3589, dtype=torch.float16), tensor(0.1611, dtype=torch.float16)]","tensor([-3.5957], dtype=torch.float16)","tensor([-0.9204, -1.9805], dtype=torch.float16)","[tensor(0.3984, dtype=torch.float16), tensor(0.1381, dtype=torch.float16)]",0.05783,0.260009765625,0.05502,1.051,-2.85,-1.4248046875,0.9824
EleutherAI/pythia-12b,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the letters have checks inside.,Critical,Partial,No,Yes,Over50,B,More than 50 percent,More than 50 percent,More than 50 percent,B,"tensor([-1.0244, -5.4961], dtype=torch.float16)","[tensor(0.3589, dtype=torch.float16), tensor(0.0041, dtype=torch.float16)]","tensor([-5.1289], dtype=torch.float16)","tensor([-0.9204, -5.4258], dtype=torch.float16)","[tensor(0.3984, dtype=torch.float16), tensor(0.0044, dtype=torch.float16)]",0.001473,0.1815185546875,0.001754,0.8403,-6.52,-3.259765625,1.027
EleutherAI/pythia-12b,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did Zach check all of today's tickets? ,Critical,Full,Yes,Yes,Under50,A,Yes,Yes,Yes,A,"tensor([-1.0693, -2.2324], dtype=torch.float16)","[tensor(0.3433, dtype=torch.float16), tensor(0.1072, dtype=torch.float16)]","tensor([-3.5957], dtype=torch.float16)","tensor([-0.9600, -2.2051], dtype=torch.float16)","[tensor(0.3828, dtype=torch.float16), tensor(0.1102, dtype=torch.float16)]",0.0368,0.2252197265625,0.0422,0.872,-3.3,-1.650390625,1.043
EleutherAI/pythia-12b,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did Zach check all of today's tickets? ,Critical,Full,Yes,Yes,Under50,B,No,No,No,B,"tensor([-1.0693, -5.9688], dtype=torch.float16)","[tensor(0.3433, dtype=torch.float16), tensor(0.0026, dtype=torch.float16)]","tensor([-5.1289], dtype=torch.float16)","tensor([-0.9600, -5.7266], dtype=torch.float16)","[tensor(0.3828, dtype=torch.float16), tensor(0.0033, dtype=torch.float16)]",0.000878,0.1728515625,0.001247,0.7036,-7.04,-3.51953125,1.053
EleutherAI/pythia-12b,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Zach say that some of today's tickets have won? ,Critical,Full,Yes,Yes,Under50,A,Yes,No,No,A,"tensor([-1.1396, -2.0879], dtype=torch.float16)","[tensor(0.3198, dtype=torch.float16), tensor(0.1240, dtype=torch.float16)]","tensor([-3.5957], dtype=torch.float16)","tensor([-1.0488, -2.2734], dtype=torch.float16)","[tensor(0.3503, dtype=torch.float16), tensor(0.1030, dtype=torch.float16)]",0.03964,0.221923828125,0.03607,1.099,-3.227,-1.61328125,0.971
EleutherAI/pythia-12b,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Zach say that some of today's tickets have won? ,Critical,Full,Yes,Yes,Under50,B,No,Yes,Yes,B,"tensor([-1.1396, -4.6719], dtype=torch.float16)","[tensor(0.3198, dtype=torch.float16), tensor(0.0094, dtype=torch.float16)]","tensor([-5.1289], dtype=torch.float16)","tensor([-1.0488, -5.2734], dtype=torch.float16)","[tensor(0.3503, dtype=torch.float16), tensor(0.0051, dtype=torch.float16)]",0.00299,0.16455078125,0.001796,1.665,-5.812,-2.90625,0.9194
