model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,A,"[-10.869693756103516, -15.633902549743652, -16.909378051757812, -15.848998069763184, -9.258336067199707, -13.6984281539917, -9.844099998474121, -11.703542709350586, -18.328153610229492, -19.374074935913086, -14.100569725036621, -11.138267517089844, -11.209930419921875, -10.06674861907959, -11.725318908691406, -8.673542022705078, -17.060277938842773, -18.419200897216797, -10.99814224243164, -20.5546875, -19.247344970703125, -13.45835018157959]","[1.9026196674233876e-05, 1.6228649925987618e-07, 4.5326315738020663e-08, 1.3087828474099195e-07, 9.531378901142408e-05, 1.1242120654139154e-06, 5.305932140835582e-05, 8.264488555645823e-06, 1.0969429053013018e-08, 3.854305753960324e-09, 7.519697611538695e-07, 1.4544938168278502e-05, 1.3539077558782037e-05, 4.24684708764707e-05, 8.086464780904202e-06, 0.00017105215932070579, 3.8977630244900725e-08, 1.0014809422490797e-08, 1.6732757340131483e-05, 1.1836209444637012e-09, 4.375062766097708e-09, 1.4292650718390698e-06]","[-7.019280433654785, -10.122580528259277, -16.2490177154541, -15.224791526794434, -7.082910060882568, -10.115592956542969, -8.264748573303223, -10.129534721374512, -16.335168838500977, -16.02660369873047, -13.038396835327148, -9.71455192565918, -9.982787132263184, -8.117064476013184, -11.425535202026367, -7.682929992675781, -15.303370475769043, -17.025293350219727, -9.38582706451416, -27.839881896972656, -18.35665512084961, -13.335916519165039]","[-9.740618705749512, -12.736550331115723, -18.57988929748535, -14.917917251586914, -7.18735408782959, -10.536046028137207, -8.466781616210938, -10.94433879852295, -27.779390335083008, -16.054903030395508, -14.345508575439453, -10.622016906738281, -11.579822540283203, -9.481986045837402, -12.861806869506836, -8.246025085449219, -16.82715606689453, -17.444082260131836, -9.597865104675293, -25.211162567138672, -19.162614822387695, -12.853615760803223]","[5.8844116383355137e-05, 2.941619343565211e-06, 8.528184821139123e-09, 3.320709282345277e-07, 0.0007560870160375082, 2.656154597560372e-05, 0.00021034077250902885, 1.7657696655151427e-05, 8.621127476322781e-13, 1.0652320050594324e-07, 5.886061366034741e-07, 2.4373431137579222e-05, 9.352914609638428e-06, 7.621242537983952e-05, 2.595304078738111e-06, 0.0002622991044154852, 4.921063555981637e-08, 2.6554084477459702e-08, 6.787348470990705e-05, 1.1244268686973649e-11, 4.761920315711342e-09, 2.6166497997788705e-06]",1.530223212638782e-134,2.0263680752330136e-05,2.9048021486457524e-133,0.05267908567721857,-308.1209888458252,-14.005499492992055,1.0096453284418268
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,B,"[-10.87121295928955, -9.339329719543457, -12.794344902038574, -10.044052124023438, -8.374933242797852, -14.894678115844727, -18.34036636352539, -10.592514991760254, -10.717536926269531, -14.587875366210938, -9.463388442993164, -12.098609924316406, -10.624861717224121, -12.246792793273926, -9.061294555664062, -11.774593353271484, -10.524188995361328, -11.342639923095703, -11.497544288635254, -13.997108459472656]","[1.899731396053864e-05, 8.789833288064894e-05, 2.77642923965067e-06, 4.344337795254065e-05, 0.00023057525963788905, 3.3987833695978965e-07, 1.0836276854648082e-08, 2.5103205978393206e-05, 2.2153015600019706e-05, 4.619194248272045e-07, 7.764305571201306e-05, 5.5672467596623515e-06, 2.430419187808466e-05, 4.800488889422698e-06, 0.00011607261681832516, 7.69766629763393e-06, 2.687836163189444e-05, 1.185643353815514e-05, 1.0155000754482734e-05, 8.339365976560253e-07]","[-7.019280433654785, -8.827110290527344, -9.670625686645508, -8.234224319458008, -7.5322346687316895, -11.281096458435059, -15.13667106628418, -10.67512035369873, -8.736917495727539, -9.993388175964355, -8.498307228088379, -12.167045593261719, -9.103549003601074, -11.062358856201172, -8.681448936462402, -11.557096481323242, -9.814324378967285, -10.867358207702637, -11.811285972595215, -13.014516830444336]","[-9.744842529296875, -9.171181678771973, -12.29297924041748, -9.858552932739258, -7.611108779907227, -14.53079891204834, -15.721925735473633, -11.34870719909668, -10.041603088378906, -12.021913528442383, -9.382131576538086, -12.777932167053223, -10.512222290039062, -13.130105972290039, -9.260900497436523, -12.633978843688965, -11.367764472961426, -11.443151473999023, -12.541387557983398, -12.587252616882324]","[5.859609339037193e-05, 0.00010399355012530911, 4.583813609797397e-06, 5.229797363151841e-05, 0.0004949227936883878, 4.890510715887395e-07, 1.4861218112073465e-07, 1.1784715071365355e-05, 4.3549902721901224e-05, 6.011035497854127e-06, 8.421549929333737e-05, 2.8223740455567514e-06, 2.720193928288207e-05, 1.984574603586045e-06, 9.506967658731817e-05, 3.2593627938861253e-06, 1.156225698382862e-05, 1.0722658121116355e-05, 3.5755642647358252e-06, 3.415274741173205e-06]",5.3431337252366495e-102,3.587842840828262e-05,9.757812107284978e-100,0.0054757497546479485,-233.18786716461182,-11.659393358230592,1.0228415474862274
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,C,"[-10.878192901611328, -13.872379302978516, -8.630916595458984, -13.462032318115234, -9.553627967834473, -11.494003295898438, -17.875036239624023, -19.303028106689453, -13.512179374694824, -11.13863468170166, -11.069692611694336, -9.491201400756836, -12.378357887268066, -7.599662780761719, -12.01191520690918, -10.190019607543945, -11.865796089172363, -10.477412223815918, -13.52767562866211]","[1.8865175500716654e-05, 9.447180601846742e-07, 0.00017850095699204423, 1.4240119998981409e-06, 7.094341518944435e-05, 1.0191023278505269e-05, 1.7257202582094774e-08, 4.138104075872062e-09, 1.3543629325196409e-06, 1.4539598761982555e-05, 1.557735015815761e-05, 7.551332699798999e-05, 4.208695199077658e-06, 0.0005006202237498625, 6.071437218242094e-06, 3.754315046128455e-05, 7.026680957423528e-06, 2.8165514348340732e-05, 1.3335371580447832e-06]","[-7.019280433654785, -13.432772636413574, -7.5294671058654785, -8.424571990966797, -7.993464946746826, -9.991665840148926, -16.797250747680664, -16.399900436401367, -12.773520469665527, -9.550649642944336, -10.68787670135498, -8.788155555725098, -10.748292922973633, -7.19819450378418, -10.803060531616211, -8.912047386169434, -9.444291114807129, -8.779803276062012, -13.208456993103027]","[-9.739897727966309, -13.72921371459961, -6.882617950439453, -9.940287590026855, -7.8608551025390625, -10.832037925720215, -24.73386001586914, -16.691879272460938, -13.648125648498535, -10.489936828613281, -11.42894458770752, -9.452452659606934, -11.973913192749023, -7.842957019805908, -11.896614074707031, -10.04591178894043, -10.806391716003418, -10.496177673339844, -13.137983322143555]","[5.888655698146551e-05, 1.090129878101885e-06, 0.0010254559352244398, 4.819344268573929e-05, 0.00038554405068023527, 1.9756304038599095e-05, 1.812262395590478e-11, 5.633897473610739e-08, 1.182209221264066e-06, 2.7814952320228093e-05, 1.0876080955660799e-05, 7.849680304026558e-05, 6.306604169547054e-06, 0.00039250667292406466, 6.813435578999348e-06, 4.3362662901422864e-05, 2.026953139335989e-05, 2.7641904067018695e-05, 1.9690028278084166e-06]",6.867121880543534e-100,5.1202346014230365e-05,5.588417815239447e-97,0.0012288132540514598,-228.3317642211914,-12.017461274799548,1.0302382559280252
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,D,"[-10.87121295928955, -14.607544898986816, -8.669790267944336, -9.504556655883789, -14.155948638916016, -9.920167922973633, -13.153434753417969, -11.47973918914795, -14.482105255126953, -8.774531364440918, -14.637188911437988, -9.12962532043457, -12.261998176574707, -10.637996673583984, -11.079306602478027, -11.523242950439453, -19.57813835144043, -20.704360961914062, -13.619486808776855, -11.124961853027344]","[1.899731396053864e-05, 4.5292245868912386e-07, 0.0001716951104170273, 7.451153175617588e-05, 7.114585780318923e-07, 4.917289883232664e-05, 1.938812756487507e-06, 1.0337430826504039e-05, 5.134540707376695e-07, 0.00015462134514280057, 4.396930744812742e-07, 0.00010840619507703679, 4.728047759120334e-06, 2.3987044794646453e-05, 1.5428307253843508e-05, 9.897355572049023e-06, 3.142841998102995e-09, 1.019084703607071e-09, 1.2165557972028686e-06, 1.4739761481840239e-05]","[-7.019280433654785, -12.061199188232422, -7.803342819213867, -9.889169692993164, -11.889115333557129, -8.661507606506348, -9.726265907287598, -9.457558631896973, -12.325729370117188, -8.454632759094238, -13.314763069152832, -8.482240676879883, -10.616827011108398, -10.547082901000977, -8.915565490722656, -9.804737091064453, -22.926734924316406, -17.442825317382812, -13.182829856872559, -11.681341171264648]","[-9.744842529296875, -14.12139892578125, -8.885405540466309, -9.925518035888672, -12.598917961120605, -9.790644645690918, -10.41789436340332, -10.02280044555664, -12.012016296386719, -8.907657623291016, -15.123661041259766, -9.1807279586792, -12.628070831298828, -11.380053520202637, -10.212825775146484, -11.118695259094238, -22.574403762817383, -18.640640258789062, -12.960598945617676, -9.145263671875]","[5.859609339037193e-05, 7.364688284904814e-07, 0.00013839404537321432, 4.891052077318776e-05, 3.37566586042804e-06, 5.597280301252979e-05, 2.9892756531043358e-05, 4.437650276760506e-05, 6.070823490847004e-06, 0.00013534850014257282, 2.703195548591813e-07, 0.00010300552208673136, 3.278676145238848e-06, 1.142103736606879e-05, 3.6696624773907566e-05, 1.4832419603905508e-05, 1.5705834383685845e-10, 8.025512887247602e-09, 2.3511665572957756e-06, 0.00010672408787284191]",2.905009382618295e-109,3.3089970076812066e-05,1.0798393496181732e-104,2.6902236741469874e-05,-249.91533851623535,-12.495766925811768,1.0439584425582038
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,Alex thinks that Richard's painting is mediocre.,target,A,"[-12.292694091796875, -13.960803985595703, -6.305741786956787, -15.32618236541748, -12.54018783569336, -14.458603858947754, -10.819058418273926, -9.343045234680176, -20.088054656982422, -13.777783393859863, -15.310546875, -13.094419479370117]","[4.585120864297394e-06, 8.647685089036108e-07, 0.0018257913181161675, 2.2076161882966183e-07, 3.579856523127897e-06, 5.256638699716996e-07, 2.001440250604338e-05, 8.757235126416974e-05, 1.8874206848073216e-09, 1.0384478683700614e-06, 2.2424046083382784e-07, 2.056675982040585e-06]","[-9.036094665527344, -12.376310348510742, -6.7866716384887695, -6.636003494262695, -12.252998352050781, -14.264776229858398, -10.979222297668457, -9.973957061767578, -19.04688835144043, -15.448019981384277, -16.520143508911133, -13.14396858215332]","[-9.837376594543457, -13.29406452178955, -6.949603080749512, -10.053098678588867, -13.247457504272461, -13.796610832214355, -10.264126777648926, -9.882012367248535, -18.94597625732422, -16.707773208618164, -16.199077606201172, -12.423964500427246]","[5.3417262601716075e-05, 1.6844616819524461e-06, 0.0009590157299647436, 4.3052137421056204e-05, 1.7648276796485976e-06, 1.0190794560656225e-06, 3.486152481753797e-05, 5.108537183233032e-05, 5.913805776736277e-09, 5.5450605214095056e-08, 9.222103323559536e-08, 4.021062042988273e-06]",4.76477079428191e-69,0.00016220629125028666,1.4469736074399474e-66,0.003292921702084092,-157.31712198257446,-13.109760165214539,1.0377040699047066
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal, Alex is proud of the painting job that he did.,incorrect_literal,B,"[-8.568183898925781, -13.293742179870605, -9.911101341247559, -14.454948425292969, -10.092137336730957, -8.813409805297852, -11.446745872497559, -11.156949043273926, -10.246946334838867, -11.683225631713867, -13.450603485107422, -12.951995849609375]","[0.00019005750020578642, 1.6850047420842167e-06, 4.962075613780203e-05, 5.275889156679421e-07, 4.140382306915396e-05, 0.00014872526615737576, 1.0684185798715343e-05, 1.4275738880963376e-05, 3.546563583893646e-05, 8.43411614478992e-06, 1.4403801515173289e-06, 2.371481127724099e-06]","[-13.370709419250488, -8.643869400024414, -9.065019607543945, -11.039299964904785, -10.569938659667969, -8.208600044250488, -12.712906837463379, -9.850432395935059, -9.136656761169434, -10.829985618591309, -13.547846794128418, -14.106815338134766]","[-8.48055362701416, -10.097424507141113, -8.831938743591309, -14.011147499084473, -11.031112670898438, -8.495985984802246, -11.306900024414062, -11.132957458496094, -9.6976900100708, -11.929736137390137, -13.105602264404297, -13.977380752563477]","[0.00020746381334619312, 4.118549168717242e-05, 0.000145994918217478, 8.223107277012845e-07, 1.6190066692839547e-05, 0.00020428673550507327, 1.2287844645578537e-05, 1.4622378065427688e-05, 6.142522294159628e-05, 6.591457025921492e-06, 2.033804737102127e-06, 8.50551603566683e-07]",8.045527727406765e-60,4.205762309754307e-05,4.2695383804948826e-58,0.01884402249236651,-136.06998920440674,-11.339165767033894,1.0300651531903966
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,C,"[-12.298782348632812, -14.41392707824707, -9.654414176940918, -14.1553955078125, -8.199102401733398, -11.629655838012695, -10.811771392822266, -10.153694152832031, -8.888419151306152, -14.401784896850586, -12.6246976852417]","[4.557290276700343e-06, 5.496813565990078e-07, 6.414180792416004e-05, 7.118522167571398e-07, 0.00027490020921538445, 8.898250816512587e-06, 2.016078064940106e-05, 3.8931994960953535e-05, 0.00013797760738409575, 5.563963723097196e-07, 3.2897542723170855e-06]","[-9.036094665527344, -12.658477783203125, -7.20473051071167, -14.324626922607422, -8.588560104370117, -10.254271507263184, -11.575060844421387, -10.361632347106934, -8.334938049316406, -13.036964416503906, -14.051074981689453]","[-9.83282470703125, -13.322288513183594, -9.139873504638672, -15.235751152038574, -8.734411239624023, -11.04345417022705, -11.622900009155273, -11.616326332092285, -9.222929954528809, -14.236286163330078, -12.663663864135742]","[5.366096620720011e-05, 1.6375840980244207e-06, 0.00010730090171961315, 2.416558689322041e-07, 0.00016095089498032334, 1.5991484914597032e-05, 8.958569397747588e-06, 9.017654129116415e-06, 9.874893347161508e-05, 6.565374083526925e-07, 3.1640305135199005e-06]",5.5462419774852215e-56,5.042505685865371e-05,9.718736280066822e-56,0.5706752213104694,-127.23164463043213,-11.566513148221103,1.0044282930298083
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,D,"[-12.304195404052734, -9.676919937133789, -14.423727035522461, -7.237123966217041, -15.116762161254883, -10.325896263122559, -11.253445625305176, -10.029682159423828, -12.136167526245117, -13.562399864196777, -11.12649154663086, -10.57720947265625, -9.20053482055664, -12.553869247436523, -11.645113945007324]","[4.532688058525892e-06, 6.271437080575276e-05, 5.443208122438659e-07, 0.00071937774245774, 2.7219090471802517e-07, 3.2773304435526457e-05, 1.296255650500166e-05, 4.407216475775195e-05, 5.3620321286929536e-06, 1.2880258453772183e-06, 1.4717231399438886e-05, 2.5490378960607782e-05, 0.00010098537833568745, 3.531212549933288e-06, 8.761758378610204e-06]","[-9.033679962158203, -9.303248405456543, -13.29384708404541, -7.578401565551758, -7.823705673217773, -10.406110763549805, -11.659725189208984, -9.881778717041016, -8.69933795928955, -10.771949768066406, -10.016477584838867, -10.07484245300293, -9.931774139404297, -13.158161163330078, -11.545007705688477]","[-9.836038589477539, -8.762201309204102, -13.35657024383545, -7.968866348266602, -9.546747207641602, -11.028528213500977, -12.204452514648438, -10.096391677856445, -9.936141014099121, -11.436576843261719, -10.55646800994873, -10.665410041809082, -9.54105281829834, -12.335943222045898, -10.04488754272461]","[5.34887830063465e-05, 0.00015653963688765118, 1.5823962532649902e-06, 0.0003460710876871088, 7.143324307817737e-05, 1.6231963347207955e-05, 5.0081072200141004e-06, 4.122805124368522e-05, 4.839369534956211e-05, 1.0793387895079135e-05, 2.602460789766896e-05, 2.3338410350323588e-05, 7.184117212743777e-05, 4.391045422226581e-06, 4.3407099698033107e-05]",4.592125550551435e-75,6.915902375570723e-05,4.768805336513938e-69,9.629509335158438e-07,-171.16953897476196,-11.411302598317464,1.0880599500948336
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,She does not want to discuss the topic that Leslie has raised.,target,A,"[-12.56792163848877, -10.825409889221191, -9.586079597473145, -12.475263595581055, -8.689369201660156, -12.00687313079834, -8.444945335388184, -10.96181583404541, -10.048296928405762, -15.932788848876953, -20.34664535522461, -11.623807907104492, -14.901687622070312, -12.789549827575684]","[3.481937596606139e-06, 1.9887684458992577e-05, 6.867814047721409e-05, 3.819986781924159e-06, 0.00016836619785003646, 6.102127172322813e-06, 0.00021498434737621784, 1.735177356471918e-05, 4.325936014752555e-05, 1.2035876466832391e-07, 1.457351113018659e-09, 8.950439622025224e-06, 3.375042878174234e-07, 2.7897743945312985e-06]","[-6.17369270324707, -10.10472297668457, -8.48412036895752, -10.241883277893066, -8.229667663574219, -10.2481107711792, -7.619566917419434, -11.820321083068848, -8.47995376586914, -8.493568420410156, -16.400775909423828, -9.953858375549316, -12.996748924255371, -12.298282623291016]","[-11.369086265563965, -10.989084243774414, -9.500900268554688, -12.416543960571289, -9.06674861907959, -12.03511905670166, -8.181297302246094, -12.570596694946289, -8.628129959106445, -12.086930274963379, -17.594196319580078, -11.544487953186035, -13.845226287841797, -13.20057487487793]","[1.1546984174045875e-05, 1.6885011150052756e-05, 7.478447346297672e-05, 4.051011477197779e-06, 0.00011544127266595249, 5.932178419369604e-06, 0.0002798386692094614, 3.4726356640979642e-06, 0.00017899906795248278, 5.6326514581399554e-06, 2.2852705600765266e-08, 9.689304078295455e-06, 9.707214414335136e-07, 1.849537639180144e-06]",4.452328699848121e-75,3.986650641755101e-05,1.575573797153205e-71,0.0002825845865101796,-171.20045471191406,-12.228603907993861,1.0501232083645915
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,B,"[-12.571428298950195, -13.939083099365234, -6.002377986907959, -8.739837646484375, -9.202261924743652, -8.266485214233398, -10.886184692382812, -16.57432746887207, -14.919920921325684, -10.235746383666992, -9.397475242614746, -12.631575584411621, -12.774134635925293]","[3.469749006819827e-06, 8.837575299094147e-07, 0.0024728647393409786, 0.00016007987533045228, 0.0001008111165933463, 0.0002569869598516025, 1.8715009810874745e-05, 6.336669247262443e-08, 3.314062339008386e-07, 3.586508194153639e-05, 8.293318763225138e-05, 3.267205307781262e-06, 2.8331124757056696e-06]","[-6.17369270324707, -12.650382041931152, -6.298331260681152, -8.8896484375, -8.582874298095703, -7.76284122467041, -8.905326843261719, -10.565585136413574, -13.115432739257812, -9.326662063598633, -9.009645462036133, -12.413827896118164, -12.71768569946289]","[-11.37020492553711, -13.86038875579834, -6.167438507080078, -9.233358383178711, -9.428607940673828, -8.595237731933594, -11.030294418334961, -12.688411712646484, -14.292106628417969, -10.021300315856934, -9.9805326461792, -13.671716690063477, -12.724815368652344]","[1.1534074247295281e-05, 9.56113931488781e-07, 0.002096599553142724, 9.772448822592714e-05, 8.039103116517019e-05, 0.00018498464581338602, 1.620331967781884e-05, 3.086688536789323e-06, 6.208932757872621e-07, 4.4443123234552914e-05, 4.6292405140063435e-05, 1.1546460743733704e-06, 2.97634247499139e-06]",3.402828003850167e-64,0.00024146958213443318,7.377588578019937e-63,0.04612385155209412,-146.14083909988403,-11.241603007683388,1.021503775739838
