model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.10914416024006,competitor,"[[-2.702238], [-3.9809942], [-0.6634951], [-1.7889795], [-3.3040497]]","[[], [], [], [], []]","[[-5.5871043], [-6.3068895], [-1.5182713], [-1.1583443], [-4.1748443]]"
text-davinci-002,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.1772160531012363,competitor,"[[-3.7623117], [-4.5636196], [-0.82160944], [-1.9686612], [-4.254737]]","[[], [], [], [], []]","[[-7.576009], [-8.353888], [-2.270644], [-0.91882265], [-5.131355]]"
text-davinci-002,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",2.580014890087654,competitor,"[[-1.6955321], [-2.6087165], [-0.45827037], [-3.4812412], [-4.6404657]]","[[], [], [], [], []]","[[-3.4803877], [-4.5657997], [-1.0861635], [-1.4148347], [-3.0766275]]"
text-davinci-002,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",2.729036026324408,competitor,"[[-2.168491], [-3.6493695], [-0.74733114], [-3.2556584], [-4.0557985]]","[[], [], [], [], []]","[[-5.2151694], [-6.508737], [-1.1261766], [-1.5596395], [-5.720659]]"
text-davinci-002,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.989544086995628,competitor,"[[-3.7381794], [-4.1261706], [-0.26618743], [-2.9890895], [-6.1132374]]","[[], [], [], [], []]","[[-4.296121], [-5.6223483], [-0.58543515], [-2.3157437], [-5.311175]]"
text-davinci-002,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.3355912321277064,competitor,"[[-5.4959188], [-6.3426065], [-0.6212152], [-1.5874429], [-3.3846207]]","[[], [], [], [], []]","[[-7.122506], [-8.507624], [-1.1150873], [-1.7722224], [-2.1718175]]"
text-davinci-002,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",2.8102224856367233,competitor,"[[-2.1979206], [-4.1661973], [-0.48050007], [-3.5707023], [-3.5529513]]","[[], [], [], [], []]","[[-5.266176], [-6.5768294], [-1.6518842], [-1.8417405], [-3.2297623]]"
text-davinci-002,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",3.042613523706344,competitor,"[[-3.1624904], [-4.835442], [-0.3988053], [-2.3158739], [-4.2172713]]","[[], [], [], [], []]","[[-5.01267], [-6.6989837], [-1.735804], [-1.5274055], [-3.3662665]]"
text-davinci-002,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",1.976567365775846,competitor,"[[-1.0257595], [-1.6363304], [-1.214112], [-3.9797873], [-6.676239]]","[[], [], [], [], []]","[[-5.031775], [-5.3394933], [-0.9192954], [-1.6657352], [-7.6639476]]"
text-davinci-002,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.8970510196668777,competitor,"[[-6.820141], [-8.019402], [-2.2497008], [-0.5290571], [-3.3758223]]","[[], [], [], [], []]","[[-5.551593], [-8.077776], [-1.8840641], [-1.4291396], [-2.936417]]"
