model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,possible,"very impossible, impossible, neutral, possible, very possible",2.0103807862858565,distractor_nonsequitur,"[[-10.267977714538574, -4.198629379272461], [-10.267977714538574, -4.615467071533203], [-10.267977714538574, -4.988117218017578], [-10.267977714538574, -6.200585842132568], [-10.267977714538574, -6.500685691833496]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.671547889709473, -5.212196350097656], [-10.671547889709473, -5.961218357086182], [-10.671547889709473, -6.85888147354126], [-10.671547889709473, -8.161234855651855], [-10.671547889709473, -8.136815071105957]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.9839644757603263,distractor_nonsequitur,"[[-10.050581932067871, -4.301736831665039], [-10.050581932067871, -4.791420936584473], [-10.050581932067871, -5.153037071228027], [-10.050581932067871, -6.448256492614746], [-10.050581932067871, -6.593851089477539]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.577831268310547, -5.315938949584961], [-10.577831268310547, -6.009675025939941], [-10.577831268310547, -6.852590084075928], [-10.577831268310547, -8.169543266296387], [-10.577831268310547, -8.134543418884277]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,possible,"very impossible, impossible, neutral, possible, very possible",2.0445195688246214,distractor_nonsequitur,"[[-10.265974044799805, -4.112063407897949], [-10.265974044799805, -4.51408052444458], [-10.265974044799805, -4.848263740539551], [-10.265974044799805, -6.082074165344238], [-10.265974044799805, -6.262864112854004]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.75057601928711, -4.946597099304199], [-10.75057601928711, -5.4827880859375], [-10.75057601928711, -6.3562421798706055], [-10.75057601928711, -7.677680492401123], [-10.75057601928711, -7.600904941558838]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",2.1396530738854076,distractor_nonsequitur,"[[-10.951888084411621, -4.474193572998047], [-10.951888084411621, -4.924136638641357], [-10.951888084411621, -5.239563465118408], [-10.951888084411621, -6.448517799377441], [-10.951888084411621, -6.086929798126221]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.958077430725098, -6.229393005371094], [-11.958077430725098, -7.0314621925354], [-11.958077430725098, -7.955291271209717], [-11.958077430725098, -8.852107048034668], [-11.958077430725098, -8.233797073364258]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.8034824094862483,competitor,"[[-10.694511413574219, -4.675914764404297], [-10.694511413574219, -5.335268497467041], [-10.694511413574219, -5.948831558227539], [-10.694511413574219, -7.229673862457275], [-10.694511413574219, -7.46791934967041]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.620226860046387, -5.041645526885986], [-10.620226860046387, -5.675036907196045], [-10.620226860046387, -6.71029806137085], [-10.620226860046387, -7.941703796386719], [-10.620226860046387, -7.815069198608398]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.8158825501360116,competitor,"[[-10.667534828186035, -4.664732933044434], [-10.667534828186035, -5.302207946777344], [-10.667534828186035, -5.915226459503174], [-10.667534828186035, -7.182795524597168], [-10.667534828186035, -7.415531158447266]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.649272918701172, -5.045376300811768], [-10.649272918701172, -5.665173053741455], [-10.649272918701172, -6.684131145477295], [-10.649272918701172, -7.940577983856201], [-10.649272918701172, -7.810089111328125]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,possible,"very impossible, impossible, neutral, possible, very possible",1.8030058817010235,competitor,"[[-10.632859230041504, -4.502077579498291], [-10.632859230041504, -5.196977138519287], [-10.632859230041504, -5.726639270782471], [-10.632859230041504, -7.061257362365723], [-10.632859230041504, -7.36297607421875]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.349915504455566, -5.122318267822266], [-10.349915504455566, -5.865111351013184], [-10.349915504455566, -6.610836982727051], [-10.349915504455566, -7.920875072479248], [-10.349915504455566, -7.824166774749756]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",1.7574644909635984,competitor,"[[-10.687458038330078, -4.537367820739746], [-10.687458038330078, -5.266620635986328], [-10.687458038330078, -5.870718002319336], [-10.687458038330078, -7.25730562210083], [-10.687458038330078, -7.5140910148620605]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.7774019241333, -5.184291362762451], [-10.7774019241333, -5.8283538818359375], [-10.7774019241333, -6.821219444274902], [-10.7774019241333, -8.141646385192871], [-10.7774019241333, -8.159296035766602]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.7566685991137807,target,"[[-9.9652738571167, -4.564487457275391], [-9.9652738571167, -5.268894195556641], [-9.9652738571167, -5.920947551727295], [-9.9652738571167, -7.150113105773926], [-9.9652738571167, -7.657823085784912]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.417097091674805, -4.94055700302124], [-10.417097091674805, -5.723189830780029], [-10.417097091674805, -6.480567455291748], [-10.417097091674805, -7.839449405670166], [-10.417097091674805, -7.7743940353393555]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.7412617322227233,target,"[[-10.118736267089844, -4.674722671508789], [-10.118736267089844, -5.2809367179870605], [-10.118736267089844, -6.052509307861328], [-10.118736267089844, -7.323653221130371], [-10.118736267089844, -7.951501846313477]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.542088508605957, -4.886131763458252], [-10.542088508605957, -5.550094127655029], [-10.542088508605957, -6.391408920288086], [-10.542088508605957, -7.649991989135742], [-10.542088508605957, -7.688593864440918]]"
