model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.815845695077157,distractor_plausibleliteral,"[[-3.8990448], [-2.4615448], [-2.649045], [-0.55529493], [-1.9771699]]","[[], [], [], [], []]","[[-7.2399473], [-4.474323], [-2.4743228], [-0.3493228], [-2.8180728]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",2.890614099337193,distractor_plausibleliteral,"[[-2.8096151], [-1.1533651], [-1.6689901], [-1.3252401], [-3.2783651]]","[[], [], [], [], []]","[[-8.148662], [-7.820537], [-6.726787], [-2.1017873], [-0.2580375]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,possible,"very impossible, impossible, neutral, possible, very possible",4.062239012648126,distractor_plausibleliteral,"[[-4.83411], [-4.1153593], [-3.099734], [-0.4591093], [-1.8653592]]","[[], [], [], [], []]","[[-7.4594307], [-7.443805], [-4.2719307], [-1.0375556], [-0.7406806]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,possible,"very impossible, impossible, neutral, possible, very possible",2.765974997064224,distractor_plausibleliteral,"[[-2.9554706], [-1.1742204], [-1.4867206], [-1.6273456], [-4.2054706]]","[[], [], [], [], []]","[[-1.8537638], [-0.6350139], [-3.4960299], [-4.1350136], [-4.978764]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,possible,"very impossible, impossible, neutral, possible, very possible",2.006815224304377,distractor_plausibleliteral,"[[-1.5857667], [-0.6638917], [-3.1795166], [-2.7888916], [-4.179517]]","[[], [], [], [], []]","[[-7.980066], [-8.323815], [-5.4331903], [-0.27694076], [-2.0425658]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.858899121304428,distractor_plausibleliteral,"[[-2.6994536], [-2.6525786], [-2.4650786], [-1.0432037], [-1.191782]]","[[], [], [], [], []]","[[-6.891862], [-7.641862], [-5.532487], [-3.719987], [-0.251237]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.1916394292445454,distractor_plausibleliteral,"[[-0.32970443], [-2.0953293], [-5.1422043], [-5.4547043], [-5.4859543]]","[[], [], [], [], []]","[[-4.78408], [-3.0809548], [-2.31533], [-0.86220497], [-1.44033]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,possible,"very impossible, impossible, neutral, possible, very possible",3.988176535277999,distractor_plausibleliteral,"[[-4.115211], [-3.365211], [-2.662086], [-0.6620861], [-1.7245861]]","[[], [], [], [], []]","[[-6.966945], [-6.17007], [-2.9981952], [-0.17007037], [-3.3419452]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,possible,"very impossible, impossible, neutral, possible, very possible",3.552869996161596,distractor_plausibleliteral,"[[-3.3976614], [-2.0539112], [-1.8195364], [-0.9289114], [-1.9914113]]","[[], [], [], [], []]","[[-0.7305465], [-1.2930466], [-4.4336715], [-4.6680465], [-3.8086712]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,possible,"very impossible, impossible, neutral, possible, very possible",3.2144121635621983,distractor_plausibleliteral,"[[-2.3690202], [-1.7752701], [-2.0408952], [-1.2596452], [-2.1033955]]","[[], [], [], [], []]","[[-7.608116], [-7.873741], [-5.0299916], [-0.49874172], [-1.3893669]]"
