model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",1.7061544223143355,competitor,"[[-10.474335670471191, -4.609776496887207], [-10.474335670471191, -5.348101615905762], [-10.474335670471191, -6.276877403259277], [-10.474335670471191, -7.541173934936523], [-10.474335670471191, -7.415587902069092]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.606224060058594, -4.586220741271973], [-10.606224060058594, -4.898046970367432], [-10.606224060058594, -5.938972473144531], [-10.606224060058594, -6.958259582519531], [-10.606224060058594, -6.9899187088012695]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.7407957398768499,competitor,"[[-10.305808067321777, -4.353297710418701], [-10.305808067321777, -5.178033351898193], [-10.305808067321777, -5.86922550201416], [-10.305808067321777, -7.195688247680664], [-10.305808067321777, -7.053618431091309]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.546062469482422, -4.3165202140808105], [-10.546062469482422, -4.684144020080566], [-10.546062469482422, -5.47916316986084], [-10.546062469482422, -6.547710418701172], [-10.546062469482422, -6.5338544845581055]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",1.7897238892273555,competitor,"[[-10.294395446777344, -4.48399019241333], [-10.294395446777344, -4.92746114730835], [-10.294395446777344, -5.9400739669799805], [-10.294395446777344, -7.075018882751465], [-10.294395446777344, -7.225624084472656]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.606224060058594, -4.586220741271973], [-10.606224060058594, -4.898046970367432], [-10.606224060058594, -5.938972473144531], [-10.606224060058594, -6.958259582519531], [-10.606224060058594, -6.9899187088012695]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.8459678002635531,competitor,"[[-10.161126136779785, -4.191457748413086], [-10.161126136779785, -4.652711868286133], [-10.161126136779785, -5.434918403625488], [-10.161126136779785, -6.669037818908691], [-10.161126136779785, -6.787356376647949]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.546062469482422, -4.3165202140808105], [-10.546062469482422, -4.684144020080566], [-10.546062469482422, -5.47916316986084], [-10.546062469482422, -6.547710418701172], [-10.546062469482422, -6.5338544845581055]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",1.7597447638674448,competitor,"[[-10.572263717651367, -4.5335564613342285], [-10.572263717651367, -5.085649490356445], [-10.572263717651367, -6.069209098815918], [-10.572263717651367, -7.2538957595825195], [-10.572263717651367, -7.284982204437256]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.606224060058594, -4.586220741271973], [-10.606224060058594, -4.898046970367432], [-10.606224060058594, -5.938972473144531], [-10.606224060058594, -6.958259582519531], [-10.606224060058594, -6.9899187088012695]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.8280935383497765,competitor,"[[-10.45905590057373, -4.230251789093018], [-10.45905590057373, -4.8210768699646], [-10.45905590057373, -5.551657199859619], [-10.45905590057373, -6.7872514724731445], [-10.45905590057373, -6.763472080230713]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.546062469482422, -4.3165202140808105], [-10.546062469482422, -4.684144020080566], [-10.546062469482422, -5.47916316986084], [-10.546062469482422, -6.547710418701172], [-10.546062469482422, -6.5338544845581055]]"
meta-llama/Llama-2-7b-hf,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",1.7069581472724427,competitor,"[[-10.459283828735352, -4.574438095092773], [-10.459283828735352, -5.340714454650879], [-10.459283828735352, -6.218533039093018], [-10.459283828735352, -7.522923469543457], [-10.459283828735352, -7.371838092803955]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.606224060058594, -4.586220741271973], [-10.606224060058594, -4.898046970367432], [-10.606224060058594, -5.938972473144531], [-10.606224060058594, -6.958259582519531], [-10.606224060058594, -6.9899187088012695]]"
meta-llama/Llama-2-7b-hf,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.756499521277762,competitor,"[[-10.295868873596191, -4.321852684020996], [-10.295868873596191, -5.163628101348877], [-10.295868873596191, -5.76780366897583], [-10.295868873596191, -7.153376579284668], [-10.295868873596191, -6.983521461486816]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.546062469482422, -4.3165202140808105], [-10.546062469482422, -4.684144020080566], [-10.546062469482422, -5.47916316986084], [-10.546062469482422, -6.547710418701172], [-10.546062469482422, -6.5338544845581055]]"
meta-llama/Llama-2-7b-hf,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",1.788158104506811,competitor,"[[-10.288381576538086, -4.345021724700928], [-10.288381576538086, -4.923227787017822], [-10.288381576538086, -5.809436798095703], [-10.288381576538086, -7.050831317901611], [-10.288381576538086, -6.93335485458374]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.606224060058594, -4.586220741271973], [-10.606224060058594, -4.898046970367432], [-10.606224060058594, -5.938972473144531], [-10.606224060058594, -6.958259582519531], [-10.606224060058594, -6.9899187088012695]]"
meta-llama/Llama-2-7b-hf,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.8534429778665087,competitor,"[[-10.068146705627441, -4.070878028869629], [-10.068146705627441, -4.709074974060059], [-10.068146705627441, -5.326735019683838], [-10.068146705627441, -6.621445655822754], [-10.068146705627441, -6.483255863189697]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.546062469482422, -4.3165202140808105], [-10.546062469482422, -4.684144020080566], [-10.546062469482422, -5.47916316986084], [-10.546062469482422, -6.547710418701172], [-10.546062469482422, -6.5338544845581055]]"
meta-llama/Llama-2-7b-hf,0.1,0,6,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Bob was looking forward to the long holiday. He turned on the TV for a weather report.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",1.7550187820478595,competitor,"[[-10.426630020141602, -4.4773125648498535], [-10.426630020141602, -5.005496025085449], [-10.426630020141602, -6.001861572265625], [-10.426630020141602, -7.227200508117676], [-10.426630020141602, -7.284214973449707]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.606224060058594, -4.586220741271973], [-10.606224060058594, -4.898046970367432], [-10.606224060058594, -5.938972473144531], [-10.606224060058594, -6.958259582519531], [-10.606224060058594, -6.9899187088012695]]"
meta-llama/Llama-2-7b-hf,0.1,0,6,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Bob was looking forward to the long holiday. He turned on the TV for a weather report.Is this story coherent or not?
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not?,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",1.7991890448325498,competitor,"[[-10.321084022521973, -4.211722373962402], [-10.321084022521973, -4.775279521942139], [-10.321084022521973, -5.5783772468566895], [-10.321084022521973, -6.840426445007324], [-10.321084022521973, -6.889719486236572]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.546062469482422, -4.3165202140808105], [-10.546062469482422, -4.684144020080566], [-10.546062469482422, -5.47916316986084], [-10.546062469482422, -6.547710418701172], [-10.546062469482422, -6.5338544845581055]]"
