model_name,metric_formula,phenomenon,metric,dependent_variable
google/flan-t5-xl,mean_sentence_cond_probs,coherence,label_score,0.665
google/flan-t5-xl,mean_sentence_cond_probs,deceits,label_score,0.7
google/flan-t5-xl,mean_sentence_cond_probs,humour,label_score,0.264
google/flan-t5-xl,mean_sentence_cond_probs,indirect_speech,label_score,0.73
google/flan-t5-xl,mean_sentence_cond_probs,irony,label_score,0.508
google/flan-t5-xl,mean_sentence_cond_probs,maxims,label_score,0.4263157894736842
google/flan-t5-xl,mean_sentence_cond_probs,metaphor,label_score,0.735
google/flan-t5-xl,mean_sentence_surprisal,coherence,label_score,0.665
google/flan-t5-xl,mean_sentence_surprisal,deceits,label_score,0.7
google/flan-t5-xl,mean_sentence_surprisal,humour,label_score,0.264
google/flan-t5-xl,mean_sentence_surprisal,indirect_speech,label_score,0.73
google/flan-t5-xl,mean_sentence_surprisal,irony,label_score,0.508
google/flan-t5-xl,mean_sentence_surprisal,maxims,label_score,0.4263157894736842
google/flan-t5-xl,mean_sentence_surprisal,metaphor,label_score,0.735
google/flan-t5-xl,sentence_cond_probs,coherence,label_score,0.665
google/flan-t5-xl,sentence_cond_probs,deceits,label_score,0.7
google/flan-t5-xl,sentence_cond_probs,humour,label_score,0.264
google/flan-t5-xl,sentence_cond_probs,indirect_speech,label_score,0.73
google/flan-t5-xl,sentence_cond_probs,irony,label_score,0.508
google/flan-t5-xl,sentence_cond_probs,maxims,label_score,0.4263157894736842
google/flan-t5-xl,sentence_cond_probs,metaphor,label_score,0.735
google/flan-t5-xl,sentence_mi,coherence,label_score,0.8375
google/flan-t5-xl,sentence_mi,deceits,label_score,0.245
google/flan-t5-xl,sentence_mi,humour,label_score,0.312
google/flan-t5-xl,sentence_mi,indirect_speech,label_score,0.675
google/flan-t5-xl,sentence_mi,irony,label_score,0.332
google/flan-t5-xl,sentence_mi,maxims,label_score,0.24736842105263157
google/flan-t5-xl,sentence_mi,metaphor,label_score,0.685
google/flan-t5-xl,sentence_mi_surprisal,coherence,label_score,0.8375
google/flan-t5-xl,sentence_mi_surprisal,deceits,label_score,0.245
google/flan-t5-xl,sentence_mi_surprisal,humour,label_score,0.312
google/flan-t5-xl,sentence_mi_surprisal,indirect_speech,label_score,0.675
google/flan-t5-xl,sentence_mi_surprisal,irony,label_score,0.332
google/flan-t5-xl,sentence_mi_surprisal,maxims,label_score,0.24736842105263157
google/flan-t5-xl,sentence_mi_surprisal,metaphor,label_score,0.685
google/flan-t5-xl,sentence_surprisal,coherence,label_score,0.665
google/flan-t5-xl,sentence_surprisal,deceits,label_score,0.7
google/flan-t5-xl,sentence_surprisal,humour,label_score,0.264
google/flan-t5-xl,sentence_surprisal,indirect_speech,label_score,0.73
google/flan-t5-xl,sentence_surprisal,irony,label_score,0.508
google/flan-t5-xl,sentence_surprisal,maxims,label_score,0.4263157894736842
google/flan-t5-xl,sentence_surprisal,metaphor,label_score,0.735
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,coherence,label_score,0.5825
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,deceits,label_score,0.595
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,humour,label_score,0.36
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,indirect_speech,label_score,0.645
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,irony,label_score,0.588
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,maxims,label_score,0.39473684210526316
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,metaphor,label_score,0.73
gpt-3.5-turbo-instruct,mean_sentence_surprisal,coherence,label_score,0.5775
gpt-3.5-turbo-instruct,mean_sentence_surprisal,deceits,label_score,0.595
gpt-3.5-turbo-instruct,mean_sentence_surprisal,humour,label_score,0.36
gpt-3.5-turbo-instruct,mean_sentence_surprisal,indirect_speech,label_score,0.645
gpt-3.5-turbo-instruct,mean_sentence_surprisal,irony,label_score,0.588
gpt-3.5-turbo-instruct,mean_sentence_surprisal,maxims,label_score,0.39473684210526316
gpt-3.5-turbo-instruct,mean_sentence_surprisal,metaphor,label_score,0.73
gpt-3.5-turbo-instruct,sentence_cond_probs,coherence,label_score,0.58
gpt-3.5-turbo-instruct,sentence_cond_probs,deceits,label_score,0.595
gpt-3.5-turbo-instruct,sentence_cond_probs,humour,label_score,0.36
gpt-3.5-turbo-instruct,sentence_cond_probs,indirect_speech,label_score,0.645
gpt-3.5-turbo-instruct,sentence_cond_probs,irony,label_score,0.588
gpt-3.5-turbo-instruct,sentence_cond_probs,maxims,label_score,0.39473684210526316
gpt-3.5-turbo-instruct,sentence_cond_probs,metaphor,label_score,0.73
gpt-3.5-turbo-instruct,sentence_mi,coherence,label_score,0.635
gpt-3.5-turbo-instruct,sentence_mi,deceits,label_score,0.455
gpt-3.5-turbo-instruct,sentence_mi,humour,label_score,0.336
gpt-3.5-turbo-instruct,sentence_mi,indirect_speech,label_score,0.62
gpt-3.5-turbo-instruct,sentence_mi,irony,label_score,0.544
gpt-3.5-turbo-instruct,sentence_mi,maxims,label_score,0.3263157894736842
gpt-3.5-turbo-instruct,sentence_mi,metaphor,label_score,0.64
gpt-3.5-turbo-instruct,sentence_mi_surprisal,coherence,label_score,0.635
gpt-3.5-turbo-instruct,sentence_mi_surprisal,deceits,label_score,0.455
gpt-3.5-turbo-instruct,sentence_mi_surprisal,humour,label_score,0.336
gpt-3.5-turbo-instruct,sentence_mi_surprisal,indirect_speech,label_score,0.62
gpt-3.5-turbo-instruct,sentence_mi_surprisal,irony,label_score,0.544
gpt-3.5-turbo-instruct,sentence_mi_surprisal,maxims,label_score,0.3263157894736842
gpt-3.5-turbo-instruct,sentence_mi_surprisal,metaphor,label_score,0.64
gpt-3.5-turbo-instruct,sentence_surprisal,coherence,label_score,0.5825
gpt-3.5-turbo-instruct,sentence_surprisal,deceits,label_score,0.595
gpt-3.5-turbo-instruct,sentence_surprisal,humour,label_score,0.364
gpt-3.5-turbo-instruct,sentence_surprisal,indirect_speech,label_score,0.645
gpt-3.5-turbo-instruct,sentence_surprisal,irony,label_score,0.588
gpt-3.5-turbo-instruct,sentence_surprisal,maxims,label_score,0.39473684210526316
gpt-3.5-turbo-instruct,sentence_surprisal,metaphor,label_score,0.73
meta-llama/Llama-2-7b-hf,mean_sentence_cond_probs,coherence,label_score,0.4575
meta-llama/Llama-2-7b-hf,mean_sentence_cond_probs,deceits,label_score,0.23
meta-llama/Llama-2-7b-hf,mean_sentence_cond_probs,humour,label_score,0.18
meta-llama/Llama-2-7b-hf,mean_sentence_cond_probs,indirect_speech,label_score,0.26
meta-llama/Llama-2-7b-hf,mean_sentence_cond_probs,irony,label_score,0.22
meta-llama/Llama-2-7b-hf,mean_sentence_cond_probs,maxims,label_score,0.20526315789473684
meta-llama/Llama-2-7b-hf,mean_sentence_cond_probs,metaphor,label_score,0.195
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,coherence,label_score,0.4575
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,deceits,label_score,0.23
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,humour,label_score,0.18
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,indirect_speech,label_score,0.26
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,irony,label_score,0.22
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,maxims,label_score,0.20526315789473684
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,metaphor,label_score,0.195
meta-llama/Llama-2-7b-hf,sentence_cond_probs,coherence,label_score,0.4575
meta-llama/Llama-2-7b-hf,sentence_cond_probs,deceits,label_score,0.23
meta-llama/Llama-2-7b-hf,sentence_cond_probs,humour,label_score,0.18
meta-llama/Llama-2-7b-hf,sentence_cond_probs,indirect_speech,label_score,0.26
meta-llama/Llama-2-7b-hf,sentence_cond_probs,irony,label_score,0.22
meta-llama/Llama-2-7b-hf,sentence_cond_probs,maxims,label_score,0.20526315789473684
meta-llama/Llama-2-7b-hf,sentence_cond_probs,metaphor,label_score,0.195
meta-llama/Llama-2-7b-hf,sentence_mi,coherence,label_score,0.5075
meta-llama/Llama-2-7b-hf,sentence_mi,deceits,label_score,0.295
meta-llama/Llama-2-7b-hf,sentence_mi,humour,label_score,0.252
meta-llama/Llama-2-7b-hf,sentence_mi,indirect_speech,label_score,0.27
meta-llama/Llama-2-7b-hf,sentence_mi,irony,label_score,0.336
meta-llama/Llama-2-7b-hf,sentence_mi,maxims,label_score,0.26842105263157895
meta-llama/Llama-2-7b-hf,sentence_mi,metaphor,label_score,0.265
meta-llama/Llama-2-7b-hf,sentence_mi_surprisal,coherence,label_score,0.5075
meta-llama/Llama-2-7b-hf,sentence_mi_surprisal,deceits,label_score,0.295
meta-llama/Llama-2-7b-hf,sentence_mi_surprisal,humour,label_score,0.252
meta-llama/Llama-2-7b-hf,sentence_mi_surprisal,indirect_speech,label_score,0.27
meta-llama/Llama-2-7b-hf,sentence_mi_surprisal,irony,label_score,0.336
meta-llama/Llama-2-7b-hf,sentence_mi_surprisal,maxims,label_score,0.26842105263157895
meta-llama/Llama-2-7b-hf,sentence_mi_surprisal,metaphor,label_score,0.265
meta-llama/Llama-2-7b-hf,sentence_surprisal,coherence,label_score,0.4575
meta-llama/Llama-2-7b-hf,sentence_surprisal,deceits,label_score,0.23
meta-llama/Llama-2-7b-hf,sentence_surprisal,humour,label_score,0.18
meta-llama/Llama-2-7b-hf,sentence_surprisal,indirect_speech,label_score,0.26
meta-llama/Llama-2-7b-hf,sentence_surprisal,irony,label_score,0.22
meta-llama/Llama-2-7b-hf,sentence_surprisal,maxims,label_score,0.20526315789473684
meta-llama/Llama-2-7b-hf,sentence_surprisal,metaphor,label_score,0.195
text-davinci-002,mean_sentence_cond_probs,coherence,label_score,0.6375
text-davinci-002,mean_sentence_cond_probs,deceits,label_score,0.87
text-davinci-002,mean_sentence_cond_probs,humour,label_score,0.404
text-davinci-002,mean_sentence_cond_probs,indirect_speech,label_score,0.865
text-davinci-002,mean_sentence_cond_probs,irony,label_score,0.664
text-davinci-002,mean_sentence_cond_probs,maxims,label_score,0.6894736842105263
text-davinci-002,mean_sentence_cond_probs,metaphor,label_score,0.76
text-davinci-002,mean_sentence_surprisal,coherence,label_score,0.6375
text-davinci-002,mean_sentence_surprisal,deceits,label_score,0.87
text-davinci-002,mean_sentence_surprisal,humour,label_score,0.404
